open_time,open,high,low,close,volume,close_time,quote_asset_volume
2026-01-20,0.1992,0.445,0.18553,0.24658,1522329196.0,2026-01-20 23:59:59.999,490363837.00289
2026-01-21,0.24653,0.33818,0.20133,0.20732,766253397.0,2026-01-21 23:59:59.999,198536028.54715
2026-01-22,0.20732,0.22835,0.1838,0.21731,364238475.0,2026-01-22 23:59:59.999,76029286.76238
2026-01-23,0.21726,0.26112,0.20488,0.21789,312039840.0,2026-01-23 23:59:59.999,72332499.74933
2026-01-24,0.21781,0.23998,0.20797,0.2177,124698910.0,2026-01-24 23:59:59.999,28074350.59598
2026-01-25,0.2177,0.2339,0.185,0.19621,122754327.0,2026-01-25 23:59:59.999,25532603.47183
2026-01-26,0.19631,0.204,0.16301,0.17953,147197839.0,2026-01-26 23:59:59.999,26392660.286
2026-01-27,0.17952,0.18434,0.15618,0.17266,143390219.0,2026-01-27 23:59:59.999,24512949.1187
2026-01-28,0.17278,0.21699,0.16253,0.17736,250568518.0,2026-01-28 23:59:59.999,47222118.15707
2026-01-29,0.17739,0.18976,0.16105,0.16978,144193090.0,2026-01-29 23:59:59.999,25127209.64152
2026-01-30,0.16976,0.17184,0.15035,0.16884,88652337.0,2026-01-30 23:59:59.999,14531786.44278
2026-01-31,0.16884,0.17529,0.10235,0.11823,156704905.0,2026-01-31 23:59:59.999,21356693.13128
2026-02-01,0.11821,0.12767,0.11085,0.11702,140679204.0,2026-02-01 23:59:59.999,16923898.73786
2026-02-02,0.11702,0.12189,0.108,0.1149,99053714.0,2026-02-02 23:59:59.999,11362524.15117
2026-02-03,0.11483,0.11987,0.10691,0.11345,82702802.0,2026-02-03 23:59:59.999,9458369.38176
2026-02-04,0.11347,0.12558,0.11201,0.11879,91147093.0,2026-02-04 23:59:59.999,10785853.65141
2026-02-05,0.1188,0.12424,0.0955,0.09871,110544483.0,2026-02-05 23:59:59.999,12204777.04048
2026-02-06,0.09871,0.10666,0.07828,0.10212,125326758.0,2026-02-06 23:59:59.999,11811169.34195
