open_time,open,high,low,close,volume,close_time,quote_asset_volume
2025-11-07,0.0244,0.0285,0.0242,0.0281,156175212.0,2025-11-07 23:59:59.999,4020112.3314
2025-11-08,0.028,0.0285,0.0266,0.0277,105108797.0,2025-11-08 23:59:59.999,2878278.61
2025-11-09,0.0276,0.0282,0.0263,0.0276,82288770.0,2025-11-09 23:59:59.999,2246646.435
2025-11-10,0.0277,0.0281,0.0265,0.027,121705903.0,2025-11-10 23:59:59.999,3332505.9678
2025-11-11,0.0271,0.0274,0.0253,0.0253,113140361.0,2025-11-11 23:59:59.999,3004920.7439
2025-11-12,0.0254,0.0272,0.0244,0.0251,119147652.0,2025-11-12 23:59:59.999,3065761.7201
2025-11-13,0.0252,0.026,0.0228,0.0239,139712021.0,2025-11-13 23:59:59.999,3479817.1277
2025-11-14,0.024,0.0242,0.0223,0.0226,135249699.0,2025-11-14 23:59:59.999,3163849.9778
2025-11-15,0.0226,0.024,0.0226,0.0235,56934956.0,2025-11-15 23:59:59.999,1338850.6188
2025-11-16,0.0235,0.0241,0.0224,0.0231,97474565.0,2025-11-16 23:59:59.999,2263516.1197
2025-11-17,0.0231,0.0239,0.0219,0.0225,106449469.0,2025-11-17 23:59:59.999,2451787.4962
2025-11-18,0.0225,0.0237,0.0222,0.0232,97476061.0,2025-11-18 23:59:59.999,2226535.0936
2025-11-19,0.0231,0.0234,0.0212,0.0225,100824929.0,2025-11-19 23:59:59.999,2256150.7502
2025-11-20,0.0225,0.0251,0.022,0.0233,114213132.0,2025-11-20 23:59:59.999,2659243.1918
2025-11-21,0.0234,0.0242,0.0195,0.0206,180918652.0,2025-11-21 23:59:59.999,3919680.0172
2025-11-22,0.0206,0.0214,0.0198,0.0212,98827222.0,2025-11-22 23:59:59.999,2031864.7742
2025-11-23,0.0213,0.0227,0.0211,0.0214,111061628.0,2025-11-23 23:59:59.999,2433048.1416
2025-11-24,0.0214,0.0231,0.0209,0.0227,99786883.0,2025-11-24 23:59:59.999,2167006.5895
2025-11-25,0.0228,0.023,0.0219,0.0228,96527082.0,2025-11-25 23:59:59.999,2170783.4629
2025-11-26,0.0227,0.0234,0.022,0.0232,82090770.0,2025-11-26 23:59:59.999,1856972.8886
2025-11-27,0.0233,0.0236,0.0228,0.023,51036828.0,2025-11-27 23:59:59.999,1182881.2845
2025-11-28,0.023,0.0235,0.0224,0.0226,63153738.0,2025-11-28 23:59:59.999,1444046.1101
2025-11-29,0.0227,0.0229,0.0216,0.0219,41747299.0,2025-11-29 23:59:59.999,929563.73
2025-11-30,0.0219,0.0225,0.0215,0.022,51678604.0,2025-11-30 23:59:59.999,1135746.5607
2025-12-01,0.022,0.022,0.0192,0.0196,112389746.0,2025-12-01 23:59:59.999,2272004.0948
2025-12-02,0.0196,0.0217,0.019,0.0211,125956520.0,2025-12-02 23:59:59.999,2556139.5456
2025-12-03,0.0212,0.0218,0.0207,0.0216,72816658.0,2025-12-03 23:59:59.999,1547437.6573
2025-12-04,0.0217,0.0218,0.0201,0.0205,74319419.0,2025-12-04 23:59:59.999,1553023.0732
2025-12-05,0.0204,0.0209,0.0184,0.0195,120474555.0,2025-12-05 23:59:59.999,2377740.8487
2025-12-06,0.0195,0.021,0.0194,0.0206,102034265.0,2025-12-06 23:59:59.999,2068763.5148
2025-12-07,0.0207,0.0212,0.0192,0.0196,195124847.0,2025-12-07 23:59:59.999,3948473.8674
2025-12-08,0.0196,0.0221,0.0195,0.02,235523379.0,2025-12-08 23:59:59.999,4924251.4782
2025-12-09,0.0201,0.0213,0.0193,0.0207,118845061.0,2025-12-09 23:59:59.999,2398833.5726
2025-12-10,0.0206,0.0215,0.0198,0.02,120358706.0,2025-12-10 23:59:59.999,2461066.7867
2025-12-11,0.02,0.02,0.0185,0.0193,103198826.0,2025-12-11 23:59:59.999,1970160.0219
2025-12-12,0.0193,0.0194,0.0179,0.0188,117224760.0,2025-12-12 23:59:59.999,2196040.9077
2025-12-13,0.0187,0.0196,0.0182,0.0184,113556249.0,2025-12-13 23:59:59.999,2133592.5102
2025-12-14,0.0183,0.0185,0.0169,0.0173,93799268.0,2025-12-14 23:59:59.999,1657560.6266
2025-12-15,0.0173,0.0192,0.0162,0.0165,208972062.0,2025-12-15 23:59:59.999,3695486.3695
2025-12-16,0.0165,0.0171,0.0163,0.017,104927694.0,2025-12-16 23:59:59.999,1755597.9762
2025-12-17,0.017,0.0173,0.0157,0.0159,117911368.0,2025-12-17 23:59:59.999,1943359.7903
2025-12-18,0.0159,0.0165,0.015,0.0154,120255422.0,2025-12-18 23:59:59.999,1892516.2558
2025-12-19,0.0154,0.0166,0.0151,0.0165,103725107.0,2025-12-19 23:59:59.999,1657648.654
2025-12-20,0.0164,0.0166,0.0161,0.0164,54321694.0,2025-12-20 23:59:59.999,889277.6988
2025-12-21,0.0163,0.0164,0.0153,0.0158,63103560.0,2025-12-21 23:59:59.999,997131.8391
2025-12-22,0.0159,0.0163,0.0157,0.016,68469826.0,2025-12-22 23:59:59.999,1101625.6451
2025-12-23,0.0161,0.0165,0.0156,0.0164,68670897.0,2025-12-23 23:59:59.999,1096782.9392
2025-12-24,0.0165,0.017,0.016,0.0168,67951564.0,2025-12-24 23:59:59.999,1126698.5614
2025-12-25,0.0167,0.0175,0.0167,0.017,55935244.0,2025-12-25 23:59:59.999,954363.8771
2025-12-26,0.0169,0.0175,0.0169,0.0172,80633276.0,2025-12-26 23:59:59.999,1387101.1545
