open_time,open,high,low,close,volume,close_time,quote_asset_volume
2020-09-23,3.93,4.6092,3.3778,3.5136,14289266.0,2020-09-23 23:59:59.999,57783882.5364
2020-09-24,3.5123,4.86,3.4171,4.6133,12968822.0,2020-09-24 23:59:59.999,52652127.9493
2020-09-25,4.6129,5.0295,4.189,4.6867,11945245.0,2020-09-25 23:59:59.999,54781116.7189
2020-09-26,4.6892,4.8025,4.3459,4.5203,6912586.0,2020-09-26 23:59:59.999,31539237.6436
2020-09-27,4.5244,4.7,4.0976,4.6391,5967454.0,2020-09-27 23:59:59.999,26364401.8666
2020-09-28,4.6383,4.687,4.15,4.1955,5522693.0,2020-09-28 23:59:59.999,24187083.3222
2020-09-29,4.195,4.2786,3.95,4.1314,5153781.0,2020-09-29 23:59:59.999,21310800.3766
2020-09-30,4.1334,4.3976,3.99,4.321,5638476.0,2020-09-30 23:59:59.999,23592804.2131
2020-10-01,4.3246,4.5269,4.0,4.1477,6333875.0,2020-10-01 23:59:59.999,26818734.9518
2020-10-02,4.1471,4.2137,3.6414,3.8972,8854778.0,2020-10-02 23:59:59.999,34606557.0588
2020-10-03,3.8952,4.1864,3.8554,4.0169,5275795.0,2020-10-03 23:59:59.999,21083943.0344
2020-10-04,4.0102,4.0691,3.8143,3.9608,5280970.0,2020-10-04 23:59:59.999,20731884.1484
2020-10-05,3.956,4.0456,3.8675,3.976,4681565.0,2020-10-05 23:59:59.999,18539976.2725
2020-10-06,3.978,3.9928,3.48,3.5338,6161670.0,2020-10-06 23:59:59.999,22639016.9881
2020-10-07,3.536,3.5397,3.1893,3.4413,6660381.0,2020-10-07 23:59:59.999,22359156.056
2020-10-08,3.4445,3.9534,3.3088,3.9034,7083340.0,2020-10-08 23:59:59.999,25644568.4936
2020-10-09,3.9024,4.3209,3.7964,4.2356,5565602.0,2020-10-09 23:59:59.999,22550807.3011
2020-10-10,4.2327,4.2689,3.9765,4.0142,4994696.0,2020-10-10 23:59:59.999,20558433.9991
2020-10-11,4.0143,4.1896,3.9279,4.0924,4784523.0,2020-10-11 23:59:59.999,19442846.2136
2020-10-12,4.0917,4.6939,4.0503,4.4123,6133208.0,2020-10-12 23:59:59.999,26795547.7172
2020-10-13,4.4137,4.5481,4.3252,4.4774,4270352.0,2020-10-13 23:59:59.999,19039215.4851
2020-10-14,4.4785,4.4879,4.0105,4.1513,4583035.0,2020-10-14 23:59:59.999,19457256.6885
2020-10-15,4.1517,4.2283,3.9922,4.1266,3671854.0,2020-10-15 23:59:59.999,15075134.2366
2020-10-16,4.1262,4.1368,3.8578,4.0281,4534013.0,2020-10-16 23:59:59.999,18158244.6281
2020-10-17,4.0324,4.2024,3.9559,4.189,3906457.0,2020-10-17 23:59:59.999,15970612.4026
2020-10-18,4.1927,4.2464,4.072,4.1186,3384876.0,2020-10-18 23:59:59.999,14093987.6692
2020-10-19,4.1197,4.1689,3.982,4.0401,3674582.0,2020-10-19 23:59:59.999,14903699.3391
2020-10-20,4.0397,4.0787,3.6789,3.7938,4524236.0,2020-10-20 23:59:59.999,17626636.1943
2020-10-21,3.7909,4.0958,3.7724,3.9601,4517279.0,2020-10-21 23:59:59.999,17838001.7101
2020-10-22,3.9612,4.4853,3.9608,4.3346,4726770.0,2020-10-22 23:59:59.999,20407703.0373
2020-10-23,4.3336,4.4724,4.1338,4.2541,4002237.0,2020-10-23 23:59:59.999,17242850.4525
2020-10-24,4.2538,4.36,4.1586,4.1815,3340426.0,2020-10-24 23:59:59.999,14304796.0938
2020-10-25,4.1802,4.2548,4.1021,4.1429,3524740.0,2020-10-25 23:59:59.999,14748234.5728
2020-10-26,4.1422,4.4907,4.026,4.142,5336452.0,2020-10-26 23:59:59.999,22743174.8692
2020-10-27,4.1419,4.3497,4.0302,4.1245,4321120.0,2020-10-27 23:59:59.999,18052257.6016
2020-10-28,4.1229,4.182,3.9213,4.0505,4225272.0,2020-10-28 23:59:59.999,17055188.2543
2020-10-29,4.0504,4.1074,3.7272,3.7776,4530018.0,2020-10-29 23:59:59.999,17666200.5993
2020-10-30,3.7767,3.826,3.5757,3.716,5180838.0,2020-10-30 23:59:59.999,19124118.3985
2020-10-31,3.7215,3.7619,3.5811,3.6403,4148313.0,2020-10-31 23:59:59.999,15197053.2682
2020-11-01,3.64,3.7118,3.5433,3.6866,3720879.0,2020-11-01 23:59:59.999,13557392.6508
2020-11-02,3.6891,3.8747,3.6026,3.6079,4418875.0,2020-11-02 23:59:59.999,16380289.1856
2020-11-03,3.607,3.649,3.2485,3.3318,4703649.0,2020-11-03 23:59:59.999,16005200.4507
2020-11-04,3.3335,3.3802,2.996,3.1748,5138307.0,2020-11-04 23:59:59.999,16364221.3332
2020-11-05,3.1757,3.3925,3.0121,3.337,5743350.0,2020-11-05 23:59:59.999,18466713.6012
2020-11-06,3.3389,3.6757,3.3213,3.5966,6965505.0,2020-11-06 23:59:59.999,24498636.7179
2020-11-07,3.5998,3.92,3.3534,3.4209,7202237.0,2020-11-07 23:59:59.999,26298931.8399
2020-11-08,3.4226,3.676,3.3615,3.475,5555038.0,2020-11-08 23:59:59.999,19455271.4644
2020-11-09,3.4731,3.5424,3.2632,3.4189,6014179.0,2020-11-09 23:59:59.999,20585121.0131
2020-11-10,3.421,3.6396,3.3735,3.5736,5284862.0,2020-11-10 23:59:59.999,18595387.3506
2020-11-11,3.5754,3.8193,3.4575,3.4865,5184683.0,2020-11-11 23:59:59.999,18747564.6295
2020-11-12,3.4865,3.5746,3.3142,3.4219,5292738.0,2020-11-12 23:59:59.999,18231891.3739
2020-11-13,3.4255,3.7041,3.3894,3.6781,5685942.0,2020-11-13 23:59:59.999,20029740.0561
2020-11-14,3.6836,3.7026,3.3926,3.4863,5525176.0,2020-11-14 23:59:59.999,19407801.6018
2020-11-15,3.4887,3.6441,3.4035,3.5424,5191152.0,2020-11-15 23:59:59.999,18313550.419
2020-11-16,3.5411,3.8212,3.4547,3.7074,6156423.0,2020-11-16 23:59:59.999,22609487.9502
2020-11-17,3.7029,3.935,3.6916,3.8463,5836863.0,2020-11-17 23:59:59.999,22214907.8922
2020-11-18,3.8482,3.8736,3.5046,3.7491,6347052.0,2020-11-18 23:59:59.999,23667315.8117
2020-11-19,3.7518,3.8324,3.5531,3.6398,5720573.0,2020-11-19 23:59:59.999,21109203.8407
2020-11-20,3.6431,4.0179,3.6224,3.7217,6292681.0,2020-11-20 23:59:59.999,23755582.6673
2020-11-21,3.7184,4.1135,3.6717,4.0412,6692111.0,2020-11-21 23:59:59.999,26146605.4358
2020-11-22,4.0444,4.0776,3.7102,3.9028,6649688.0,2020-11-22 23:59:59.999,25829928.0535
2020-11-23,3.9061,4.2633,3.8561,4.0805,6337519.0,2020-11-23 23:59:59.999,25854389.1139
2020-11-24,4.0833,4.348,3.8576,4.2712,7061758.0,2020-11-24 23:59:59.999,29263995.3899
2020-11-25,4.2666,4.4149,3.9042,4.0444,6388167.0,2020-11-25 23:59:59.999,27113656.9046
2020-11-26,4.0422,4.0898,3.2859,3.5386,8697199.0,2020-11-26 23:59:59.999,30859276.3582
2020-11-27,3.541,3.7621,3.4235,3.5851,5908307.0,2020-11-27 23:59:59.999,21116632.6656
2020-11-28,3.5855,3.702,3.4684,3.6317,4500372.0,2020-11-28 23:59:59.999,16158309.887
2020-11-29,3.63,3.7665,3.5342,3.7037,4227643.0,2020-11-29 23:59:59.999,15426087.8619
2020-11-30,3.7047,3.8265,3.6418,3.7075,4404799.0,2020-11-30 23:59:59.999,16420765.9759
2020-12-01,3.7082,3.8241,3.4515,3.5574,6035180.0,2020-12-01 23:59:59.999,21949702.7653
2020-12-02,3.553,3.8533,3.5005,3.7354,5137882.0,2020-12-02 23:59:59.999,19151513.4491
2020-12-03,3.7344,3.901,3.7116,3.8171,4415791.0,2020-12-03 23:59:59.999,16758362.9428
2020-12-04,3.8144,3.866,3.5071,3.5359,4468269.0,2020-12-04 23:59:59.999,16455173.5199
2020-12-05,3.5331,3.718,3.4992,3.6408,4063238.0,2020-12-05 23:59:59.999,14808897.963
2020-12-06,3.6408,3.6772,3.4997,3.5984,3884122.0,2020-12-06 23:59:59.999,13899725.4123
