open_time,open,high,low,close,volume,close_time,quote_asset_volume
2025-12-30,0.43,0.507,0.354,0.4286,91006422.0,2025-12-30 23:59:59.999,39846338.6726
2025-12-31,0.4286,0.4349,0.3696,0.403,29344367.0,2025-12-31 23:59:59.999,11979976.5312
2026-01-01,0.4026,0.4074,0.361,0.4069,13790822.0,2026-01-01 23:59:59.999,5233725.462
2026-01-02,0.4068,0.4288,0.3885,0.3907,15985016.0,2026-01-02 23:59:59.999,6561898.863
2026-01-03,0.3909,0.467,0.3807,0.4487,19645612.0,2026-01-03 23:59:59.999,8511242.2849
2026-01-04,0.4484,0.4524,0.4017,0.4181,17868487.0,2026-01-04 23:59:59.999,7565058.0084
2026-01-05,0.4179,0.4695,0.4011,0.4359,56319175.0,2026-01-05 23:59:59.999,24422933.6731
2026-01-06,0.4361,0.4862,0.315,0.349,963682921.0,2026-01-06 23:59:59.999,360999233.5968
2026-01-07,0.349,0.5464,0.3306,0.4326,3076159101.0,2026-01-07 23:59:59.999,1448667436.0959
2026-01-08,0.4325,0.4822,0.3684,0.3937,958020298.0,2026-01-08 23:59:59.999,387065302.5989
2026-01-09,0.3936,0.4244,0.3672,0.3935,433128093.0,2026-01-09 23:59:59.999,169231477.1728
2026-01-10,0.3934,0.4023,0.3704,0.3762,214324411.0,2026-01-10 23:59:59.999,82361650.6499
2026-01-11,0.3762,0.3768,0.348,0.3555,157165191.0,2026-01-11 23:59:59.999,57255813.1833
2026-01-12,0.3556,0.3558,0.3265,0.3334,218967261.0,2026-01-12 23:59:59.999,73133165.7432
2026-01-13,0.3334,0.3485,0.3001,0.3445,342790205.0,2026-01-13 23:59:59.999,112245036.2021
2026-01-14,0.3446,0.3446,0.3116,0.32,191357318.0,2026-01-14 23:59:59.999,62402511.0507
2026-01-15,0.3201,0.3514,0.3012,0.3105,278111910.0,2026-01-15 23:59:59.999,88735762.4954
2026-01-16,0.3104,0.3277,0.3022,0.3114,139413300.0,2026-01-16 23:59:59.999,43736030.4849
2026-01-17,0.3114,0.3336,0.3092,0.3147,103355499.0,2026-01-17 23:59:59.999,32909201.5523
2026-01-18,0.3146,0.3174,0.2922,0.294,84366201.0,2026-01-18 23:59:59.999,25696324.1933
2026-01-19,0.294,0.294,0.2583,0.27,124850941.0,2026-01-19 23:59:59.999,34359942.8334
2026-01-20,0.27,0.2863,0.2428,0.2454,207124704.0,2026-01-20 23:59:59.999,54868399.3867
2026-01-21,0.2454,0.2519,0.2301,0.2413,116696139.0,2026-01-21 23:59:59.999,28366334.0342
2026-01-22,0.2413,0.244,0.2281,0.2367,88864059.0,2026-01-22 23:59:59.999,20938748.5764
2026-01-23,0.2367,0.2497,0.2343,0.2427,84137257.0,2026-01-23 23:59:59.999,20355234.1679
2026-01-24,0.2426,0.2575,0.2425,0.251,77912693.0,2026-01-24 23:59:59.999,19392694.6371
2026-01-25,0.2509,0.2509,0.2104,0.2147,78275514.0,2026-01-25 23:59:59.999,17876091.4937
2026-01-26,0.2146,0.2147,0.2022,0.2096,77850181.0,2026-01-26 23:59:59.999,16111165.2911
2026-01-27,0.2096,0.2295,0.2032,0.2224,189004330.0,2026-01-27 23:59:59.999,40691793.7987
2026-01-28,0.2225,0.2225,0.2065,0.2105,68297918.0,2026-01-28 23:59:59.999,14485663.9144
2026-01-29,0.2106,0.2106,0.1822,0.1841,96910359.0,2026-01-29 23:59:59.999,18806188.5705
2026-01-30,0.1841,0.1967,0.1778,0.1937,93745902.0,2026-01-30 23:59:59.999,17616052.0311
2026-01-31,0.1936,0.1965,0.1493,0.1586,124550463.0,2026-01-31 23:59:59.999,21174064.002
2026-02-01,0.1586,0.1946,0.1549,0.1607,394752016.0,2026-02-01 23:59:59.999,68674243.9914
2026-02-02,0.1606,0.1656,0.1474,0.1516,154887422.0,2026-02-02 23:59:59.999,23900003.0937
2026-02-03,0.1517,0.154,0.1386,0.1448,105365927.0,2026-02-03 23:59:59.999,15436747.8111
2026-02-04,0.1448,0.1529,0.1384,0.1445,88070792.0,2026-02-04 23:59:59.999,12836210.7308
