open_time,open,high,low,close,volume,close_time,quote_asset_volume
2026-04-01,99.88,100.87,98.02,98.76,1377619.78,2026-04-01 23:59:59.999,136915621.644
2026-04-02,98.76,113.69,97.4,111.93,7003760.74,2026-04-02 23:59:59.999,760464298.4306
2026-04-03,111.93,112.18,111.73,111.94,928379.27,2026-04-03 23:59:59.999,103941815.7362
2026-04-04,111.94,112.24,111.89,112.13,345896.32,2026-04-04 23:59:59.999,38750039.2238
2026-04-05,112.12,118.0,111.06,113.77,1740915.67,2026-04-05 23:59:59.999,196914061.3658
2026-04-06,113.77,114.72,108.54,113.51,4816042.0,2026-04-06 23:59:59.999,535723520.6678
2026-04-07,113.51,117.0,91.14,96.46,16925931.41,2026-04-07 23:59:59.999,1813971170.5499
2026-04-08,96.46,98.0,91.11,95.99,17942395.3,2026-04-08 23:59:59.999,1699046463.3767
2026-04-09,95.98,99.85,93.27,95.57,17230980.92,2026-04-09 23:59:59.999,1659572132.5434
2026-04-10,95.56,96.54,91.7,93.18,9426039.59,2026-04-10 23:59:59.999,890046831.6263
2026-04-11,93.18,93.18,91.25,92.83,2608365.14,2026-04-11 23:59:59.999,241386429.9688
2026-04-12,92.83,99.66,92.05,98.76,11229883.81,2026-04-12 23:59:59.999,1080125080.7932
2026-04-13,98.77,99.82,91.63,92.05,11857526.42,2026-04-13 23:59:59.999,1145796802.4289
2026-04-14,92.04,93.4,84.41,87.52,9491543.95,2026-04-14 23:59:59.999,857157778.0062
2026-04-15,87.53,90.51,87.34,87.77,5341496.21,2026-04-15 23:59:59.999,473983771.6532
2026-04-16,87.76,91.9,87.38,90.14,6109329.25,2026-04-16 23:59:59.999,549648491.4451
2026-04-17,90.14,90.39,79.11,83.98,15767189.21,2026-04-17 23:59:59.999,1313097647.2613
2026-04-18,83.99,85.05,83.71,84.13,3437575.72,2026-04-18 23:59:59.999,289991407.2812
2026-04-19,84.13,89.93,84.12,87.95,5416743.35,2026-04-19 23:59:59.999,468115799.0439
2026-04-20,87.96,88.74,85.48,86.28,8222280.09,2026-04-20 23:59:59.999,716498877.7329
2026-04-21,86.28,92.31,85.77,90.55,14174575.21,2026-04-21 23:59:59.999,1263409958.1508
2026-04-22,90.55,93.77,87.67,92.72,11900364.14,2026-04-22 23:59:59.999,1084983583.8618
2026-04-23,92.71,98.34,92.31,96.72,12384499.15,2026-04-23 23:59:59.999,1175267569.0326
2026-04-24,96.72,97.77,92.46,94.86,9338871.36,2026-04-24 23:59:59.999,886885684.7116
2026-04-25,94.86,95.5,94.78,95.03,828248.32,2026-04-25 23:59:59.999,78751407.8608
2026-04-26,95.04,96.62,94.59,96.08,1580116.77,2026-04-26 23:59:59.999,150947043.5695
2026-04-27,96.08,97.59,94.61,96.63,5193990.18,2026-04-27 23:59:59.999,499569531.0846
2026-04-28,96.62,101.77,96.2,99.29,12282495.87,2026-04-28 23:59:59.999,1220582936.2593
2026-04-29,99.29,108.86,98.37,107.81,11564366.36,2026-04-29 23:59:59.999,1205665097.1531
2026-04-30,107.82,110.75,103.27,105.59,14469082.54,2026-04-30 23:59:59.999,1540018406.7338
2026-05-01,105.6,106.5,98.59,102.51,11868275.92,2026-05-01 23:59:59.999,1217209264.7172
2026-05-02,102.51,102.56,101.34,102.32,583448.95,2026-05-02 23:59:59.999,59667912.8782
2026-05-03,102.32,102.57,98.64,101.98,3513995.41,2026-05-03 23:59:59.999,355100623.102
2026-05-04,101.98,107.57,100.08,104.91,12327070.31,2026-05-04 23:59:59.999,1282288180.4761
2026-05-05,104.9,105.28,99.04,99.75,12514407.24,2026-05-05 23:59:59.999,1284889099.0728
2026-05-06,99.73,101.33,88.74,95.81,20517792.7,2026-05-06 23:59:59.999,1942352540.6227
2026-05-07,95.81,98.4,89.61,96.08,17172574.6,2026-05-07 23:59:59.999,1612471190.8824
2026-05-08,96.08,96.39,92.89,93.08,10219895.02,2026-05-08 23:59:59.999,962481934.0562
2026-05-09,93.07,93.85,91.82,93.51,901449.99,2026-05-09 23:59:59.999,83797537.1388
2026-05-10,93.5,97.5,92.0,97.27,3131924.3,2026-05-10 23:59:59.999,298408098.7045
2026-05-11,97.27,98.54,94.46,96.04,8250036.07,2026-05-11 23:59:59.999,796090660.1336
2026-05-12,96.04,99.9,96.04,98.88,12330541.16,2026-05-12 23:59:59.999,1216183817.1735
2026-05-13,98.88,99.6,96.56,96.83,9084010.62,2026-05-13 23:59:59.999,891251186.4365
2026-05-14,96.83,98.06,95.11,97.69,7873057.14,2026-05-14 23:59:59.999,761649093.6922
2026-05-15,97.69,101.45,97.41,101.06,8502514.42,2026-05-15 23:59:59.999,848809919.9899
2026-05-16,101.06,101.87,100.61,101.69,970978.35,2026-05-16 23:59:59.999,98452884.1372
2026-05-17,101.68,102.88,101.15,102.41,1408242.05,2026-05-17 23:59:59.999,143616427.6341
2026-05-18,102.41,105.0,98.52,102.19,11260840.61,2026-05-18 23:59:59.999,1145675579.8453
2026-05-19,102.2,104.72,102.12,103.84,5766895.08,2026-05-19 23:59:59.999,596375699.8388
2026-05-20,103.84,104.37,96.89,98.84,14154606.54,2026-05-20 23:59:59.999,1415819483.2756
2026-05-21,98.84,102.62,95.71,97.7,14840020.06,2026-05-21 23:59:59.999,1471436044.7372
2026-05-22,97.7,99.33,94.74,98.32,7991926.73,2026-05-22 23:59:59.999,775420593.514
2026-05-23,98.32,98.81,88.2,89.95,6323889.83,2026-05-23 23:59:59.999,591093985.7237
2026-05-24,89.94,94.82,89.78,92.1,5298383.6,2026-05-24 23:59:59.999,488070298.3005
2026-05-25,92.09,92.63,89.48,90.94,7016339.38,2026-05-25 23:59:59.999,639072826.5725
2026-05-26,90.94,94.61,90.94,93.22,6414863.74,2026-05-26 23:59:59.999,596229487.099
2026-05-27,93.23,93.33,87.79,90.24,11627684.32,2026-05-27 23:59:59.999,1046884768.6108
2026-05-28,90.25,92.45,87.88,88.58,11901749.23,2026-05-28 23:59:59.999,1069120973.4876
