open_time,open,high,low,close,volume,close_time,quote_asset_volume
2026-02-09,164.79,167.93,163.28,167.15,17734.56,2026-02-09 23:59:59.999,2937672.4941
2026-02-10,167.25,167.89,157.69,160.02,31814.41,2026-02-10 23:59:59.999,5221006.9655
2026-02-11,159.95,161.24,148.92,151.75,30141.52,2026-02-11 23:59:59.999,4660449.4014
2026-02-12,151.76,154.41,134.99,142.79,112105.95,2026-02-12 23:59:59.999,16147361.3906
2026-02-13,142.79,167.58,142.13,164.63,107312.97,2026-02-13 23:59:59.999,16720282.0155
2026-02-14,164.64,167.95,164.49,166.29,15029.21,2026-02-14 23:59:59.999,2496927.4908
2026-02-15,166.29,167.25,164.92,165.84,13790.03,2026-02-15 23:59:59.999,2291845.6589
2026-02-16,165.87,166.65,162.54,165.64,20015.03,2026-02-16 23:59:59.999,3300728.6857
2026-02-17,165.64,170.45,158.47,166.0,77308.95,2026-02-17 23:59:59.999,12707234.1524
2026-02-18,165.91,173.88,163.14,164.56,37671.52,2026-02-18 23:59:59.999,6326575.3134
2026-02-19,164.56,167.47,161.22,165.81,32262.93,2026-02-19 23:59:59.999,5291248.1811
2026-02-20,165.82,175.48,164.28,171.1,35661.25,2026-02-20 23:59:59.999,6049518.1418
2026-02-21,171.09,171.38,170.36,170.8,4102.64,2026-02-21 23:59:59.999,701653.9887
2026-02-22,170.87,171.22,169.0,170.65,2561.15,2026-02-22 23:59:59.999,436544.0979
2026-02-23,170.54,170.65,158.71,160.24,24491.47,2026-02-23 23:59:59.999,4019167.5287
2026-02-24,160.21,162.56,152.8,161.5,46812.27,2026-02-24 23:59:59.999,7366947.4675
2026-02-25,161.53,185.93,161.35,181.46,73876.77,2026-02-25 23:59:59.999,12930470.5727
2026-02-26,181.48,186.37,176.84,179.87,72213.76,2026-02-26 23:59:59.999,13163282.8565
2026-02-27,179.85,183.17,171.83,175.58,65901.21,2026-02-27 23:59:59.999,11599253.3437
2026-02-28,175.65,177.04,168.11,175.59,47580.57,2026-02-28 23:59:59.999,8249368.1429
2026-03-01,175.61,177.31,173.15,175.5,23772.16,2026-03-01 23:59:59.999,4175431.0056
2026-03-02,175.6,186.31,169.64,184.88,57934.7,2026-03-02 23:59:59.999,10329342.3022
2026-03-03,184.87,186.41,172.22,183.11,102983.17,2026-03-03 23:59:59.999,18549142.4753
2026-03-04,183.08,212.07,179.61,207.57,130892.34,2026-03-04 23:59:59.999,26321371.265
2026-03-05,207.58,214.34,201.64,205.6,129295.5,2026-03-05 23:59:59.999,26839692.6084
2026-03-06,205.58,208.02,194.85,196.37,101987.52,2026-03-06 23:59:59.999,20346075.2105
2026-03-07,196.35,196.84,195.31,195.78,9429.96,2026-03-07 23:59:59.999,1846487.8383
2026-03-08,195.78,196.92,190.73,192.51,19721.5,2026-03-08 23:59:59.999,3825682.9603
2026-03-09,192.41,203.97,187.06,198.02,103402.8,2026-03-09 23:59:59.999,20254331.0619
2026-03-10,198.01,208.18,194.93,196.49,72609.93,2026-03-10 23:59:59.999,14468381.21
2026-03-11,196.46,203.29,192.64,195.92,49030.29,2026-03-11 23:59:59.999,9650613.835
2026-03-12,195.96,198.0,192.59,192.66,57960.35,2026-03-12 23:59:59.999,11317021.2624
2026-03-13,192.65,207.11,192.36,194.68,76613.19,2026-03-13 23:59:59.999,15214766.6522
2026-03-14,194.74,195.56,193.85,195.4,7403.08,2026-03-14 23:59:59.999,1441081.1531
2026-03-15,195.41,199.36,194.92,198.13,14031.45,2026-03-15 23:59:59.999,2755667.9788
2026-03-16,198.17,206.12,197.61,205.18,70947.42,2026-03-16 23:59:59.999,14354945.0094
2026-03-17,205.16,213.47,202.14,209.88,56823.52,2026-03-17 23:59:59.999,11771236.4805
2026-03-18,209.86,215.8,201.16,202.49,119841.6,2026-03-18 23:59:59.999,24705857.8374
2026-03-19,202.46,205.51,192.06,203.02,110226.85,2026-03-19 23:59:59.999,21959921.7312
2026-03-20,203.0,205.49,194.89,198.97,104006.66,2026-03-20 23:59:59.999,20796716.8094
2026-03-21,198.98,199.18,196.59,197.06,15589.76,2026-03-21 23:59:59.999,3085752.1704
2026-03-22,197.08,198.29,193.75,194.97,30313.57,2026-03-22 23:59:59.999,5954161.0456
2026-03-23,195.02,203.93,189.56,200.86,144895.5,2026-03-23 23:59:59.999,28770677.3105
2026-03-24,200.87,202.76,177.51,183.5,176861.32,2026-03-24 23:59:59.999,33034588.2471
2026-03-25,183.51,190.65,180.14,180.82,155518.15,2026-03-25 23:59:59.999,28749495.3536
2026-03-26,180.8,181.98,172.02,173.6,113554.8,2026-03-26 23:59:59.999,19999320.7656
2026-03-27,173.62,174.72,159.94,160.8,158365.46,2026-03-27 23:59:59.999,26089396.5776
2026-03-28,160.82,161.83,160.17,160.68,18930.39,2026-03-28 23:59:59.999,3047338.8515
