open_time,open,high,low,close,volume,close_time,quote_asset_volume
2020-02-04,115.5,115.5,108.47,111.29,26628.215,2020-02-04 23:59:59.999,2955633.41638
2020-02-05,111.29,124.76,110.04,122.94,108596.428,2020-02-05 23:59:59.999,13019385.94727
2020-02-06,123.09,125.36,117.15,120.87,52416.412,2020-02-06 23:59:59.999,6375445.24066
2020-02-07,120.84,123.38,118.26,118.88,50706.74,2020-02-07 23:59:59.999,6096321.30162
2020-02-08,118.88,132.32,113.16,126.64,150490.454,2020-02-08 23:59:59.999,18961100.60159
2020-02-09,126.56,131.41,124.0,128.67,58992.758,2020-02-09 23:59:59.999,7566165.12587
2020-02-10,128.73,129.18,122.95,127.84,47034.188,2020-02-10 23:59:59.999,5947792.06165
2020-02-11,127.88,134.3,124.14,129.83,79948.978,2020-02-11 23:59:59.999,10293546.40333
2020-02-12,129.93,137.67,128.94,133.7,94220.558,2020-02-12 23:59:59.999,12615932.65673
2020-02-13,133.7,138.74,127.0,131.17,106069.328,2020-02-13 23:59:59.999,14016457.44552
2020-02-14,131.2,135.12,128.28,133.53,54395.738,2020-02-14 23:59:59.999,7164911.32998
2020-02-15,133.59,133.86,115.0,120.84,69640.74,2020-02-15 23:59:59.999,8658827.29926
2020-02-16,120.76,123.65,100.14,110.6,105526.534,2020-02-16 23:59:59.999,12041938.15035
2020-02-17,110.73,116.59,101.65,114.66,115379.187,2020-02-17 23:59:59.999,12632495.84648
2020-02-18,114.66,117.72,107.11,115.77,75008.231,2020-02-18 23:59:59.999,8533721.71327
2020-02-19,115.8,116.02,103.66,104.99,65187.259,2020-02-19 23:59:59.999,7329377.05635
2020-02-20,104.99,107.53,99.0,104.89,53050.256,2020-02-20 23:59:59.999,5500245.38596
2020-02-21,104.88,110.58,103.05,107.5,77410.401,2020-02-21 23:59:59.999,8264600.93403
2020-02-22,107.55,109.49,103.1,103.97,61289.595,2020-02-22 23:59:59.999,6478830.48849
2020-02-23,103.93,109.59,103.61,108.23,61684.087,2020-02-23 23:59:59.999,6626776.77089
2020-02-24,108.23,109.49,100.01,103.61,81309.883,2020-02-24 23:59:59.999,8474145.23037
2020-02-25,103.73,103.88,94.75,95.68,90735.462,2020-02-25 23:59:59.999,8920754.19591
2020-02-26,95.64,96.85,78.98,84.29,157302.896,2020-02-26 23:59:59.999,13620929.19557
2020-02-27,84.3,93.94,79.34,89.98,142351.532,2020-02-27 23:59:59.999,12478577.77364
2020-02-28,89.94,92.71,72.89,88.05,180063.23,2020-02-28 23:59:59.999,15860860.55098
2020-02-29,88.09,90.45,85.11,85.36,78033.044,2020-02-29 23:59:59.999,6873662.66524
2020-03-01,85.37,90.02,83.27,84.56,97461.35,2020-03-01 23:59:59.999,8452987.55312
2020-03-02,84.59,92.08,84.17,90.41,92013.079,2020-03-02 23:59:59.999,8172865.4276
2020-03-03,90.42,90.74,87.06,88.55,64028.163,2020-03-03 23:59:59.999,5683520.74466
2020-03-04,88.55,90.06,85.33,86.86,60900.425,2020-03-04 23:59:59.999,5346225.76836
2020-03-05,86.97,92.67,86.97,89.89,92715.505,2020-03-05 23:59:59.999,8368610.48136
2020-03-06,89.9,94.34,89.06,94.11,86195.518,2020-03-06 23:59:59.999,7927561.60003
2020-03-07,94.12,94.34,87.53,88.27,56462.444,2020-03-07 23:59:59.999,5132638.04894
2020-03-08,88.23,88.23,72.82,73.74,146678.437,2020-03-08 23:59:59.999,11714643.8137
2020-03-09,73.81,75.64,67.69,73.65,204023.389,2020-03-09 23:59:59.999,14712018.57847
2020-03-10,73.64,76.44,71.45,74.78,107951.369,2020-03-10 23:59:59.999,7982275.85622
2020-03-11,74.79,75.45,67.2,72.3,100050.193,2020-03-11 23:59:59.999,7207502.25868
2020-03-12,72.3,72.63,41.12,44.14,239175.187,2020-03-12 23:59:59.999,13227675.5903
2020-03-13,44.26,53.08,31.18,51.24,285782.849,2020-03-13 23:59:59.999,12803899.06521
2020-03-14,51.2,51.2,45.03,45.8,113317.531,2020-03-14 23:59:59.999,5436369.29542
2020-03-15,45.9,50.94,45.27,47.22,80726.9,2020-03-15 23:59:59.999,3810785.79543
2020-03-16,47.19,47.67,38.37,43.07,130322.239,2020-03-16 23:59:59.999,5552849.45765
2020-03-17,43.03,46.72,42.33,45.45,77760.155,2020-03-17 23:59:59.999,3498128.91804
2020-03-18,45.45,63.26,44.95,62.62,331305.1,2020-03-18 23:59:59.999,17511249.22726
2020-03-19,62.56,70.98,56.44,65.47,402196.04,2020-03-19 23:59:59.999,24969122.89038
2020-03-20,65.45,78.0,62.06,71.62,419963.992,2020-03-20 23:59:59.999,29323441.52907
2020-03-21,71.64,75.65,67.18,71.25,301245.506,2020-03-21 23:59:59.999,21622388.45685
2020-03-22,71.26,73.59,61.6,62.48,214009.958,2020-03-22 23:59:59.999,14616707.78799
2020-03-23,62.4,71.41,61.0,70.77,142749.91,2020-03-23 23:59:59.999,9467743.0001
2020-03-24,70.77,71.57,67.04,69.45,91218.218,2020-03-24 23:59:59.999,6321927.70048
2020-03-25,69.44,70.41,66.01,67.78,89692.933,2020-03-25 23:59:59.999,6090577.89608
2020-03-26,67.79,68.8,66.44,68.18,78937.662,2020-03-26 23:59:59.999,5338462.89575
2020-03-27,68.18,73.0,66.7,67.36,121461.788,2020-03-27 23:59:59.999,8471015.91766
2020-03-28,67.47,67.47,61.85,65.18,113190.121,2020-03-28 23:59:59.999,7269067.34958
2020-03-29,65.19,65.69,60.24,60.44,58104.141,2020-03-29 23:59:59.999,3669932.13517
2020-03-30,60.4,67.5,60.32,65.79,104377.119,2020-03-30 23:59:59.999,6758166.00242
2020-03-31,65.83,66.4,63.87,64.9,61932.795,2020-03-31 23:59:59.999,4031319.9793
2020-04-01,64.9,67.05,62.3,65.89,71336.82,2020-04-01 23:59:59.999,4588154.95582
2020-04-02,66.03,71.74,65.03,67.62,96934.267,2020-04-02 23:59:59.999,6584525.19265
2020-04-03,67.62,70.44,66.23,67.37,96936.692,2020-04-03 23:59:59.999,6630540.39173
2020-04-04,67.37,69.5,66.64,68.49,84114.674,2020-04-04 23:59:59.999,5754799.60785
2020-04-05,68.5,68.87,65.59,66.75,48829.012,2020-04-05 23:59:59.999,3277854.60703
2020-04-06,66.75,73.4,66.75,73.28,102539.861,2020-04-06 23:59:59.999,7239467.75633
2020-04-07,73.19,76.23,70.13,72.21,136437.955,2020-04-07 23:59:59.999,10036802.5094
2020-04-08,72.23,76.91,71.17,75.64,114749.046,2020-04-08 23:59:59.999,8562161.76772
