open_time,open,high,low,close,volume,close_time,quote_asset_volume
2026-05-15,105.8,106.3,101.53,103.8,9521.01,2026-05-15 23:59:59.999,992321.4389
2026-05-16,103.81,103.81,101.56,102.25,2321.84,2026-05-16 23:59:59.999,238167.6511
2026-05-17,102.27,104.79,101.17,103.68,5888.24,2026-05-17 23:59:59.999,606824.6688
2026-05-18,103.67,105.27,101.56,104.02,9558.98,2026-05-18 23:59:59.999,990193.9647
2026-05-19,104.15,104.4,102.02,102.4,4164.37,2026-05-19 23:59:59.999,428786.9854
2026-05-20,102.38,104.93,101.73,103.83,2935.76,2026-05-20 23:59:59.999,303231.8466
2026-05-21,103.86,106.82,100.73,103.93,8015.06,2026-05-21 23:59:59.999,831739.577
2026-05-22,104.11,105.21,101.9,102.1,5598.21,2026-05-22 23:59:59.999,580156.027
2026-05-23,102.18,104.5,102.05,103.71,2753.97,2026-05-23 23:59:59.999,284527.3615
2026-05-24,103.74,104.44,103.42,104.02,964.42,2026-05-24 23:59:59.999,100271.2317
2026-05-25,104.11,114.0,102.01,105.42,45687.47,2026-05-25 23:59:59.999,4941379.7391
2026-05-26,105.42,105.45,100.23,103.27,12117.91,2026-05-26 23:59:59.999,1251582.4905
2026-05-27,103.23,105.25,102.9,103.6,5935.34,2026-05-27 23:59:59.999,616424.7489
2026-05-28,103.64,107.0,103.16,103.66,8671.09,2026-05-28 23:59:59.999,903890.7158
