open_time,open,high,low,close,volume,close_time,quote_asset_volume
2020-09-14,13.294,15.213,12.7,13.978,372653.0,2020-09-14 23:59:59.999,5157159.4211
2020-09-15,13.997,15.039,12.837,13.066,590234.6,2020-09-15 23:59:59.999,8289246.396
2020-09-16,13.04,13.047,11.83,12.584,295253.6,2020-09-16 23:59:59.999,3677039.9834
2020-09-17,12.578,12.88,11.74,12.044,233613.2,2020-09-17 23:59:59.999,2841408.1793
2020-09-18,12.061,12.308,10.874,11.233,224249.0,2020-09-18 23:59:59.999,2630058.6086
2020-09-19,11.231,12.241,11.182,11.95,254928.5,2020-09-19 23:59:59.999,2977698.6778
2020-09-20,11.932,12.098,10.038,10.7,334757.6,2020-09-20 23:59:59.999,3682594.0894
2020-09-21,10.709,10.937,8.417,8.822,526027.3,2020-09-21 23:59:59.999,4923244.6545
2020-09-22,8.824,9.083,8.43,8.715,368538.0,2020-09-22 23:59:59.999,3210669.0848
2020-09-23,8.717,9.419,8.241,8.72,591995.8,2020-09-23 23:59:59.999,5206345.6069
2020-09-24,8.718,9.25,8.647,9.195,411925.0,2020-09-24 23:59:59.999,3722406.1455
2020-09-25,9.208,10.1,9.084,9.923,394922.1,2020-09-25 23:59:59.999,3807650.2684
2020-09-26,9.935,10.577,9.866,10.391,343473.4,2020-09-26 23:59:59.999,3496811.0397
2020-09-27,10.404,10.503,9.631,10.033,242198.4,2020-09-27 23:59:59.999,2425091.9531
2020-09-28,10.038,10.561,9.832,10.001,297396.2,2020-09-28 23:59:59.999,3052494.182
2020-09-29,9.985,10.358,9.925,10.285,248005.5,2020-09-29 23:59:59.999,2516299.9758
2020-09-30,10.287,10.629,10.064,10.369,376314.1,2020-09-30 23:59:59.999,3890465.4897
2020-10-01,10.365,10.966,9.987,10.3,504918.5,2020-10-01 23:59:59.999,5292281.7235
2020-10-02,10.298,10.322,8.93,9.405,377393.0,2020-10-02 23:59:59.999,3585504.3515
2020-10-03,9.414,9.568,9.008,9.08,200851.6,2020-10-03 23:59:59.999,1882585.7267
2020-10-04,9.075,9.303,8.86,9.034,231046.1,2020-10-04 23:59:59.999,2105077.1567
2020-10-05,9.037,9.119,8.07,8.446,472232.8,2020-10-05 23:59:59.999,3985140.8985
2020-10-06,8.452,8.487,6.844,6.916,642663.6,2020-10-06 23:59:59.999,4933400.9767
2020-10-07,6.923,7.731,6.453,7.724,564308.7,2020-10-07 23:59:59.999,3937475.1497
