open_time,open,high,low,close,volume,close_time,quote_asset_volume
2020-01-16,7.69,8.624,7.45,8.4,5587697.58,2020-01-16 23:59:59.999,45121485.81656
2020-01-17,8.394,12.197,8.149,9.16,17038610.51,2020-01-17 23:59:59.999,173973137.79777
2020-01-18,9.16,9.738,8.022,8.303,11694212.59,2020-01-18 23:59:59.999,104552245.68718
2020-01-19,8.299,9.456,7.778,8.528,13327184.18,2020-01-19 23:59:59.999,113733305.17918
2020-01-20,8.526,9.094,8.051,8.626,9429386.38,2020-01-20 23:59:59.999,81071624.01766
2020-01-21,8.63,9.143,8.51,8.943,6974909.92,2020-01-21 23:59:59.999,61914504.40974
2020-01-22,8.942,9.544,8.925,9.348,6355301.58,2020-01-22 23:59:59.999,58756200.68328
2020-01-23,9.349,9.396,8.172,8.434,7817168.0,2020-01-23 23:59:59.999,68047598.0854
2020-01-24,8.448,8.845,7.832,8.608,10186046.93,2020-01-24 23:59:59.999,85408437.12682
2020-01-25,8.608,8.68,8.076,8.393,6175285.99,2020-01-25 23:59:59.999,51826449.26061
2020-01-26,8.388,9.367,8.227,9.167,8158709.02,2020-01-26 23:59:59.999,71796089.40292
2020-01-27,9.166,11.152,9.151,10.411,16843143.66,2020-01-27 23:59:59.999,171659318.81663
2020-01-28,10.415,11.768,10.333,11.37,18736741.19,2020-01-28 23:59:59.999,205517914.46674
2020-01-29,11.376,12.88,11.334,12.238,19452378.33,2020-01-29 23:59:59.999,237502207.24878
2020-01-30,12.222,12.71,11.653,12.299,14120701.13,2020-01-30 23:59:59.999,172073658.40829
2020-01-31,12.3,12.318,10.711,11.344,14565411.89,2020-01-31 23:59:59.999,166178056.04204
2020-02-01,11.34,11.801,11.085,11.548,9632345.73,2020-02-01 23:59:59.999,110702688.9225
2020-02-02,11.547,11.759,11.11,11.386,9813015.08,2020-02-02 23:59:59.999,112798977.90188
2020-02-03,11.383,12.247,11.312,11.777,11135329.25,2020-02-03 23:59:59.999,132047498.51497
2020-02-04,11.777,11.915,11.052,11.422,8197541.17,2020-02-04 23:59:59.999,94158053.81537
2020-02-05,11.422,12.667,11.331,12.382,9547296.27,2020-02-05 23:59:59.999,115403065.39228
2020-02-06,12.382,13.251,10.865,12.128,15225195.42,2020-02-06 23:59:59.999,185913615.42607
2020-02-07,12.126,12.288,11.275,11.707,7308810.38,2020-02-07 23:59:59.999,86004135.66723
2020-02-08,11.707,11.963,11.114,11.72,5661356.76,2020-02-08 23:59:59.999,66075607.46959
2020-02-09,11.72,12.186,11.293,11.719,6429119.9,2020-02-09 23:59:59.999,75644325.84397
2020-02-10,11.719,12.083,11.37,11.849,7513381.36,2020-02-10 23:59:59.999,88190174.58766
2020-02-11,11.848,12.15,11.611,11.98,7874721.88,2020-02-11 23:59:59.999,93554288.5046
2020-02-12,11.988,12.591,11.97,12.217,7318554.67,2020-02-12 23:59:59.999,89674843.59135
2020-02-13,12.221,13.076,11.26,12.057,9347726.29,2020-02-13 23:59:59.999,113250842.91767
2020-02-14,12.061,12.09,11.689,12.029,4776858.55,2020-02-14 23:59:59.999,56918059.88238
2020-02-15,12.032,12.108,9.656,10.4,9943515.61,2020-02-15 23:59:59.999,108781558.30573
2020-02-16,10.397,10.678,8.832,9.553,11143052.45,2020-02-16 23:59:59.999,109538758.79123
2020-02-17,9.548,9.918,8.663,9.676,10581035.75,2020-02-17 23:59:59.999,97767636.58824
2020-02-18,9.682,10.012,9.15,9.871,6469800.4,2020-02-18 23:59:59.999,62057261.25815
2020-02-19,9.872,9.877,8.61,8.812,6082487.1,2020-02-19 23:59:59.999,57328466.68045
2020-02-20,8.812,9.06,8.32,8.872,6506558.56,2020-02-20 23:59:59.999,56970338.79334
2020-02-21,8.874,9.88,8.776,9.428,8050932.0,2020-02-21 23:59:59.999,75894037.28811
2020-02-22,9.429,9.739,9.284,9.497,5718897.82,2020-02-22 23:59:59.999,54378865.27915
2020-02-23,9.5,9.99,9.457,9.751,6538119.35,2020-02-23 23:59:59.999,63543241.73992
2020-02-24,9.751,9.792,9.001,9.36,7832055.43,2020-02-24 23:59:59.999,73231946.20321
2020-02-25,9.36,9.474,8.924,9.183,7409334.87,2020-02-25 23:59:59.999,68016207.25784
2020-02-26,9.178,9.369,7.23,7.683,13063466.61,2020-02-26 23:59:59.999,106443656.77646
2020-02-27,7.686,8.08,7.315,7.72,7759806.4,2020-02-27 23:59:59.999,60069402.04031
2020-02-28,7.726,7.848,7.185,7.463,7742804.58,2020-02-28 23:59:59.999,57973840.3683
2020-02-29,7.463,7.673,7.325,7.357,5244262.88,2020-02-29 23:59:59.999,39199528.56438
2020-03-01,7.356,7.933,7.354,7.741,7964946.3,2020-03-01 23:59:59.999,61224450.25329
2020-03-02,7.74,8.644,7.698,8.454,8471419.74,2020-03-02 23:59:59.999,69634026.47286
2020-03-03,8.455,8.63,8.15,8.48,7880786.59,2020-03-03 23:59:59.999,65662536.79386
2020-03-04,8.48,8.528,7.583,7.938,8000022.31,2020-03-04 23:59:59.999,64480143.88704
2020-03-05,7.942,8.461,7.941,8.186,7923438.54,2020-03-05 23:59:59.999,64769821.82347
2020-03-06,8.188,8.319,7.85,8.225,6321627.48,2020-03-06 23:59:59.999,51603583.83629
2020-03-07,8.224,8.232,7.728,7.804,6277619.31,2020-03-07 23:59:59.999,50217687.44632
2020-03-08,7.807,7.808,6.177,6.433,14720765.47,2020-03-08 23:59:59.999,101818615.50895
2020-03-09,6.43,7.03,6.352,6.918,16872559.75,2020-03-09 23:59:59.999,112969484.04159
2020-03-10,6.918,6.956,6.605,6.82,6517183.71,2020-03-10 23:59:59.999,44292784.48415
2020-03-11,6.819,6.879,6.087,6.595,7097264.34,2020-03-11 23:59:59.999,46405565.55171
2020-03-12,6.595,6.613,3.554,3.68,15468977.24,2020-03-12 23:59:59.999,78568231.98793
2020-03-13,3.7,5.224,3.066,4.838,31568187.95,2020-03-13 23:59:59.999,136540821.03748
2020-03-14,4.839,4.901,4.482,4.584,13048184.99,2020-03-14 23:59:59.999,61298691.82039
2020-03-15,4.583,5.3,4.533,5.044,8502635.14,2020-03-15 23:59:59.999,41778579.27208
2020-03-16,5.04,5.065,4.011,4.5,12069809.58,2020-03-16 23:59:59.999,53365441.35922
2020-03-17,4.499,5.005,4.36,4.591,10166777.95,2020-03-17 23:59:59.999,47258273.64156
2020-03-18,4.592,4.664,4.303,4.603,5960584.51,2020-03-18 23:59:59.999,26914056.65416
2020-03-19,4.604,5.29,4.47,5.042,7480680.91,2020-03-19 23:59:59.999,36535618.10665
2020-03-20,5.044,5.569,4.525,4.889,9032640.92,2020-03-20 23:59:59.999,46050251.14541
2020-03-21,4.89,5.149,4.668,5.012,4849289.29,2020-03-21 23:59:59.999,23847840.93785
2020-03-22,5.01,5.24,4.536,4.591,6399203.96,2020-03-22 23:59:59.999,31001863.18631
2020-03-23,4.593,5.083,4.505,4.97,5423970.58,2020-03-23 23:59:59.999,26195779.73803
2020-03-24,4.973,5.213,4.854,5.062,5532452.04,2020-03-24 23:59:59.999,27780410.39023
2020-03-25,5.06,5.28,4.889,5.017,5674020.28,2020-03-25 23:59:59.999,28742591.80565
2020-03-26,5.017,5.115,4.905,5.092,3875095.52,2020-03-26 23:59:59.999,19387481.25028
2020-03-27,5.096,5.206,4.801,4.914,3441044.13,2020-03-27 23:59:59.999,17500150.34046
2020-03-28,4.915,4.917,4.614,4.812,4082458.55,2020-03-28 23:59:59.999,19472893.49067
2020-03-29,4.81,5.06,4.773,4.811,4515932.48,2020-03-29 23:59:59.999,22178655.34952
2020-03-30,4.811,5.061,4.8,4.959,3412694.39,2020-03-30 23:59:59.999,16847955.33796
2020-03-31,4.959,5.02,4.853,4.938,2556826.65,2020-03-31 23:59:59.999,12601003.41003
2020-04-01,4.939,5.05,4.779,5.024,4473022.9,2020-04-01 23:59:59.999,22015291.1144
2020-04-02,5.027,5.361,4.963,5.093,4074882.96,2020-04-02 23:59:59.999,20783081.79278
2020-04-03,5.095,5.239,4.982,5.115,2671893.83,2020-04-03 23:59:59.999,13691232.70439
2020-04-04,5.115,5.243,5.04,5.149,2280208.89,2020-04-04 23:59:59.999,11697010.33423
2020-04-05,5.15,5.18,4.915,5.026,1962558.47,2020-04-05 23:59:59.999,9930380.38258
2020-04-06,5.026,5.628,5.022,5.621,3808626.86,2020-04-06 23:59:59.999,20386883.88589
2020-04-07,5.619,5.841,5.375,5.475,4031457.43,2020-04-07 23:59:59.999,22661960.9291
2020-04-08,5.474,5.912,5.398,5.826,5347407.74,2020-04-08 23:59:59.999,30554504.73598
2020-04-09,5.826,5.972,5.54,5.887,4768518.29,2020-04-09 23:59:59.999,27559097.91427
2020-04-10,5.887,5.918,5.06,5.25,5972932.22,2020-04-10 23:59:59.999,32097307.8301
2020-04-11,5.249,5.408,5.127,5.28,3578770.15,2020-04-11 23:59:59.999,18834374.76461
2020-04-12,5.28,5.49,5.17,5.318,2771016.02,2020-04-12 23:59:59.999,14805571.57423
2020-04-13,5.316,5.318,5.022,5.18,3482356.9,2020-04-13 23:59:59.999,17820969.87593
2020-04-14,5.179,5.35,5.094,5.245,2852248.9,2020-04-14 23:59:59.999,14924502.97376
2020-04-15,5.246,5.364,5.075,5.097,2936555.68,2020-04-15 23:59:59.999,15393621.07399
2020-04-16,5.1,5.565,4.856,5.478,4446206.92,2020-04-16 23:59:59.999,23385724.653
2020-04-17,5.48,5.499,5.322,5.369,2092837.01,2020-04-17 23:59:59.999,11300380.69734
2020-04-18,5.368,5.682,5.365,5.657,2809384.24,2020-04-18 23:59:59.999,15549511.5072
2020-04-19,5.657,5.712,5.402,5.476,3018876.46,2020-04-19 23:59:59.999,16753947.14922
2020-04-20,5.477,5.604,5.13,5.22,3834912.97,2020-04-20 23:59:59.999,20733083.97363
2020-04-21,5.22,5.302,5.108,5.195,2810711.7,2020-04-21 23:59:59.999,14639120.67706
2020-04-22,5.196,5.459,5.151,5.388,1883079.49,2020-04-22 23:59:59.999,10001098.14579
2020-04-23,5.387,5.79,5.285,5.604,3175070.61,2020-04-23 23:59:59.999,17560366.01766
2020-04-24,5.606,5.698,5.514,5.587,3186341.27,2020-04-24 23:59:59.999,17881035.20177
2020-04-25,5.592,5.866,5.53,5.753,3604937.84,2020-04-25 23:59:59.999,20563698.95162
2020-04-26,5.75,6.261,5.724,6.213,8388876.4,2020-04-26 23:59:59.999,50488068.76006
2020-04-27,6.213,6.278,5.929,6.104,6830681.08,2020-04-27 23:59:59.999,41609805.57429
2020-04-28,6.102,6.174,5.953,6.15,3318251.95,2020-04-28 23:59:59.999,20151249.46333
2020-04-29,6.148,6.949,6.133,6.751,7179381.77,2020-04-29 23:59:59.999,46856519.19454
2020-04-30,6.75,7.006,6.269,6.448,6714776.68,2020-04-30 23:59:59.999,44633207.47185
2020-05-01,6.448,6.703,6.439,6.651,4405368.69,2020-05-01 23:59:59.999,29048189.994
2020-05-02,6.652,7.635,6.563,7.475,13873887.92,2020-05-02 23:59:59.999,99845000.53844
2020-05-03,7.481,7.63,7.01,7.212,14808453.21,2020-05-03 23:59:59.999,108408302.86
2020-05-04,7.213,7.364,6.623,7.217,11443362.66,2020-05-04 23:59:59.999,80624837.11967
2020-05-05,7.216,7.49,7.011,7.196,8877850.04,2020-05-05 23:59:59.999,64470346.87249
2020-05-06,7.195,7.338,6.767,6.838,5557036.82,2020-05-06 23:59:59.999,39822915.04152
2020-05-07,6.842,7.243,6.773,7.098,6396333.59,2020-05-07 23:59:59.999,44922159.06754
2020-05-08,7.099,7.328,6.935,7.151,4367561.35,2020-05-08 23:59:59.999,31224002.10897
2020-05-09,7.152,7.271,7.0,7.063,4381174.04,2020-05-09 23:59:59.999,31372480.05854
2020-05-10,7.062,7.071,5.465,6.19,11081358.47,2020-05-10 23:59:59.999,68244407.10184
2020-05-11,6.189,6.331,5.609,6.018,6509712.47,2020-05-11 23:59:59.999,39122611.11555
2020-05-12,6.018,6.227,5.857,6.087,3659645.07,2020-05-12 23:59:59.999,22281693.34821
2020-05-13,6.087,6.298,5.988,6.208,3211277.84,2020-05-13 23:59:59.999,19762205.20699
