open_time,open,high,low,close,volume,close_time,quote_asset_volume
2026-03-16,132.25,137.9,129.92,133.82,77862.09,2026-03-16 23:59:59.999,10295712.1853
2026-03-17,133.82,136.15,130.02,134.76,95542.33,2026-03-17 23:59:59.999,12708876.707
2026-03-18,134.8,139.88,129.72,131.86,125906.16,2026-03-18 23:59:59.999,17052096.9413
2026-03-19,131.84,135.87,126.84,135.35,108478.63,2026-03-19 23:59:59.999,14332155.8008
2026-03-20,135.35,135.82,126.0,128.34,61451.56,2026-03-20 23:59:59.999,8013059.7011
2026-03-21,128.3,129.64,127.5,127.9,14325.55,2026-03-21 23:59:59.999,1845018.466
2026-03-22,127.94,128.7,126.52,127.63,41617.81,2026-03-22 23:59:59.999,5321027.1024
2026-03-23,127.67,134.58,121.87,131.68,193768.84,2026-03-23 23:59:59.999,25018064.924
2026-03-24,131.71,132.53,125.41,132.32,134534.76,2026-03-24 23:59:59.999,17393100.9705
2026-03-25,132.34,133.5,127.14,128.22,107759.61,2026-03-25 23:59:59.999,14029178.2142
2026-03-26,128.19,128.8,120.11,121.21,113118.3,2026-03-26 23:59:59.999,14038794.7189
2026-03-27,121.22,126.37,119.87,120.49,83632.41,2026-03-27 23:59:59.999,10253500.2634
2026-03-28,120.48,120.75,119.76,120.0,9288.16,2026-03-28 23:59:59.999,1117363.0568
2026-03-29,119.91,120.55,118.81,119.68,25139.38,2026-03-29 23:59:59.999,3006487.5652
2026-03-30,119.68,121.72,115.23,115.85,88327.41,2026-03-30 23:59:59.999,10510247.1918
2026-03-31,115.84,123.62,113.32,123.21,132675.12,2026-03-31 23:59:59.999,15632645.276
2026-04-01,123.13,128.59,121.09,126.66,174262.91,2026-04-01 23:59:59.999,21864981.269
2026-04-02,126.61,127.29,116.96,122.82,170917.55,2026-04-02 23:59:59.999,20672969.5769
2026-04-03,122.84,123.14,121.88,122.31,24837.86,2026-04-03 23:59:59.999,3035775.0881
2026-04-04,122.3,122.3,121.81,122.14,12766.56,2026-04-04 23:59:59.999,1558242.034
2026-04-05,122.11,123.1,121.1,122.69,35020.56,2026-04-05 23:59:59.999,4272336.6528
2026-04-06,122.69,127.72,122.53,127.31,121657.51,2026-04-06 23:59:59.999,15266703.0618
2026-04-07,127.27,137.43,122.47,137.27,139878.64,2026-04-07 23:59:59.999,17959400.6339
2026-04-08,137.17,140.77,134.7,137.17,194653.91,2026-04-08 23:59:59.999,26864093.2574
2026-04-09,137.16,139.97,134.54,138.75,139482.05,2026-04-09 23:59:59.999,19120779.8827
2026-04-10,138.74,139.58,136.87,138.32,56227.17,2026-04-10 23:59:59.999,7769817.2653
2026-04-11,138.34,139.86,137.91,138.24,20437.15,2026-04-11 23:59:59.999,2833874.4314
2026-04-12,138.26,139.16,135.5,137.83,90842.89,2026-04-12 23:59:59.999,12451913.1645
2026-04-13,137.83,141.99,132.33,141.03,109821.21,2026-04-13 23:59:59.999,15011991.1406
2026-04-14,141.06,147.54,140.17,147.03,77955.46,2026-04-14 23:59:59.999,11198411.7013
2026-04-15,147.03,147.48,143.03,145.64,88241.96,2026-04-15 23:59:59.999,12774908.2071
2026-04-16,145.64,148.66,145.32,146.83,108331.97,2026-04-16 23:59:59.999,15938071.2441
2026-04-17,146.81,155.1,145.34,152.11,77540.13,2026-04-17 23:59:59.999,11595381.1061
2026-04-18,152.06,152.06,151.15,151.33,15605.7,2026-04-18 23:59:59.999,2363244.2929
2026-04-19,151.26,152.0,148.71,150.36,22990.57,2026-04-19 23:59:59.999,3465415.4168
2026-04-20,150.37,151.04,147.08,150.08,67023.17,2026-04-20 23:59:59.999,10004394.2029
2026-04-21,150.05,153.64,146.71,150.94,122632.15,2026-04-21 23:59:59.999,18423849.0077
2026-04-22,150.99,156.07,149.62,154.55,76218.98,2026-04-22 23:59:59.999,11650661.1535
2026-04-23,154.55,155.63,148.23,152.99,149679.54,2026-04-23 23:59:59.999,22753266.0174
2026-04-24,152.99,155.47,150.71,153.98,77180.06,2026-04-24 23:59:59.999,11837546.9166
2026-04-25,153.97,154.41,153.9,154.07,7139.56,2026-04-25 23:59:59.999,1100204.0738
2026-04-26,154.07,155.25,153.75,154.31,11526.34,2026-04-26 23:59:59.999,1777589.5266
2026-04-27,154.34,158.45,153.83,157.22,60659.37,2026-04-27 23:59:59.999,9512298.985
2026-04-28,157.31,159.39,152.48,156.37,87581.87,2026-04-28 23:59:59.999,13611583.4805
2026-04-29,156.43,158.36,152.93,157.16,75164.72,2026-04-29 23:59:59.999,11712926.4058
2026-04-30,157.17,161.5,154.93,158.67,89165.87,2026-04-30 23:59:59.999,14025610.6381
2026-05-01,158.67,164.53,158.67,162.49,55551.82,2026-05-01 23:59:59.999,8971831.3714
2026-05-02,162.49,162.74,162.24,162.61,4815.09,2026-05-02 23:59:59.999,782762.552
