open_time,open,high,low,close,volume,close_time,quote_asset_volume
2025-04-12,0.05881,0.10663,0.05881,0.08647,915093451.0,2025-04-12 23:59:59.999,80579616.17345
2025-04-13,0.08644,0.098,0.05826,0.05979,1727965340.0,2025-04-13 23:59:59.999,137155679.00488
2025-04-14,0.05979,0.06676,0.0491,0.06124,957313991.0,2025-04-14 23:59:59.999,55911443.84954
2025-04-15,0.06128,0.078,0.05482,0.07558,1440954559.0,2025-04-15 23:59:59.999,104042307.29061
2025-04-16,0.07556,0.07738,0.0582,0.05846,675746552.0,2025-04-16 23:59:59.999,46311629.48091
2025-04-17,0.05846,0.07517,0.05104,0.06886,824567554.0,2025-04-17 23:59:59.999,53709128.97979
2025-04-18,0.06884,0.09512,0.05858,0.08659,1380085980.0,2025-04-18 23:59:59.999,109191151.16761
2025-04-19,0.08658,0.09197,0.07907,0.08495,587173803.0,2025-04-19 23:59:59.999,49627271.75719
2025-04-20,0.08496,0.1114,0.08396,0.10664,563618889.0,2025-04-20 23:59:59.999,54963073.9194
2025-04-21,0.10662,0.11193,0.09544,0.1003,368380158.0,2025-04-21 23:59:59.999,37832940.51658
2025-04-22,0.10029,0.1061,0.08868,0.10293,154072440.0,2025-04-22 23:59:59.999,14733490.10984
2025-04-23,0.10294,0.10542,0.092,0.10207,132439692.0,2025-04-23 23:59:59.999,13030040.68569
2025-04-24,0.10206,0.10281,0.09396,0.09981,122443304.0,2025-04-24 23:59:59.999,12031750.60262
2025-04-25,0.09981,0.11937,0.096,0.1163,143543339.0,2025-04-25 23:59:59.999,14858371.28865
2025-04-26,0.11623,0.13695,0.09037,0.09333,270751212.0,2025-04-26 23:59:59.999,29553830.39415
2025-04-27,0.0933,0.09832,0.08373,0.09714,197503693.0,2025-04-27 23:59:59.999,17689055.00512
2025-04-28,0.09713,0.11352,0.09457,0.11237,162482455.0,2025-04-28 23:59:59.999,16779482.24459
2025-04-29,0.11235,0.11448,0.09099,0.09337,137733732.0,2025-04-29 23:59:59.999,14205026.54231
2025-04-30,0.0934,0.09959,0.09185,0.09525,56733158.0,2025-04-30 23:59:59.999,5393571.95156
2025-05-01,0.09528,0.09724,0.08712,0.08858,56090570.0,2025-05-01 23:59:59.999,5186675.17887
2025-05-02,0.08859,0.10818,0.08596,0.10747,152746442.0,2025-05-02 23:59:59.999,14381450.60222
2025-05-03,0.10747,0.11072,0.09619,0.10221,257678464.0,2025-05-03 23:59:59.999,26665914.45301
2025-05-04,0.10221,0.10669,0.09775,0.10116,109044740.0,2025-05-04 23:59:59.999,11124515.56815
2025-05-05,0.10115,0.10777,0.09256,0.099,113563457.0,2025-05-05 23:59:59.999,11162294.55258
2025-05-06,0.09894,0.10415,0.09166,0.10028,128245540.0,2025-05-06 23:59:59.999,12579714.28077
2025-05-07,0.10026,0.10541,0.09363,0.09532,62115279.0,2025-05-07 23:59:59.999,6197645.77707
2025-05-08,0.09534,0.10214,0.09333,0.10058,96693078.0,2025-05-08 23:59:59.999,9516149.69087
2025-05-09,0.10058,0.11238,0.10011,0.10924,86135348.0,2025-05-09 23:59:59.999,9180155.52218
2025-05-10,0.10918,0.11397,0.08746,0.09544,97583234.0,2025-05-10 23:59:59.999,9491686.64044
2025-05-11,0.0954,0.10024,0.09268,0.09357,50660875.0,2025-05-11 23:59:59.999,4848989.66703
2025-05-12,0.09357,0.10079,0.0829,0.08745,185414834.0,2025-05-12 23:59:59.999,16629709.97312
2025-05-13,0.08747,0.10687,0.08501,0.10381,182422891.0,2025-05-13 23:59:59.999,17412782.19199
2025-05-14,0.10385,0.10519,0.0941,0.095,55691917.0,2025-05-14 23:59:59.999,5581498.84872
2025-05-15,0.09499,0.09646,0.08978,0.0926,53821759.0,2025-05-15 23:59:59.999,4971041.283
2025-05-16,0.09261,0.09575,0.0892,0.09002,26616876.0,2025-05-16 23:59:59.999,2471167.63661
2025-05-17,0.09005,0.09467,0.0875,0.09221,36746790.0,2025-05-17 23:59:59.999,3383754.24689
2025-05-18,0.09224,0.10082,0.08959,0.09575,72238171.0,2025-05-18 23:59:59.999,6874012.03975
2025-05-19,0.09574,0.10187,0.08925,0.09856,111598558.0,2025-05-19 23:59:59.999,10698055.25297
2025-05-20,0.09857,0.1034,0.09667,0.1009,49081846.0,2025-05-20 23:59:59.999,4940697.01875
2025-05-21,0.10091,0.10128,0.09466,0.09795,52690547.0,2025-05-21 23:59:59.999,5148462.23356
2025-05-22,0.09793,0.10975,0.09651,0.10435,70822914.0,2025-05-22 23:59:59.999,7281161.65695
2025-05-23,0.10439,0.11383,0.09598,0.09854,136503868.0,2025-05-23 23:59:59.999,14398785.04784
2025-05-24,0.09862,0.10794,0.0979,0.10579,63219792.0,2025-05-24 23:59:59.999,6619122.94011
2025-05-25,0.10583,0.10678,0.09777,0.10191,43026511.0,2025-05-25 23:59:59.999,4381870.67167
2025-05-26,0.10188,0.10368,0.09716,0.09892,38566309.0,2025-05-26 23:59:59.999,3867348.85572
2025-05-27,0.09894,0.09907,0.09204,0.09419,64332962.0,2025-05-27 23:59:59.999,6103825.91899
2025-05-28,0.0942,0.09625,0.09147,0.09359,32440908.0,2025-05-28 23:59:59.999,3050546.14507
2025-05-29,0.09359,0.09437,0.09201,0.09216,22698407.0,2025-05-29 23:59:59.999,2116963.37997
2025-05-30,0.09217,0.09596,0.06797,0.07035,99322921.0,2025-05-30 23:59:59.999,8173378.413
2025-05-31,0.07038,0.08438,0.069,0.08248,139430432.0,2025-05-31 23:59:59.999,10690040.82771
2025-06-01,0.08248,0.08769,0.08185,0.08553,120345648.0,2025-06-01 23:59:59.999,10300919.54798
2025-06-02,0.08551,0.08566,0.07915,0.08325,43904701.0,2025-06-02 23:59:59.999,3616846.43568
2025-06-03,0.0832,0.08644,0.08224,0.08436,29084803.0,2025-06-03 23:59:59.999,2458715.28437
2025-06-04,0.08436,0.08641,0.07466,0.07791,74682894.0,2025-06-04 23:59:59.999,6015237.04656
2025-06-05,0.07796,0.07927,0.06381,0.07014,125206940.0,2025-06-05 23:59:59.999,8949215.99318
2025-06-06,0.07013,0.0738,0.06683,0.06932,61125282.0,2025-06-06 23:59:59.999,4319537.98538
2025-06-07,0.06934,0.07899,0.06907,0.07804,77950684.0,2025-06-07 23:59:59.999,5836490.65808
2025-06-08,0.07798,0.08041,0.07535,0.07855,121095111.0,2025-06-08 23:59:59.999,9433102.60154
2025-06-09,0.07857,0.08248,0.0772,0.08151,32660302.0,2025-06-09 23:59:59.999,2594107.49261
2025-06-10,0.08151,0.08166,0.07232,0.07611,56641250.0,2025-06-10 23:59:59.999,4349219.20523
2025-06-11,0.07614,0.07643,0.06931,0.07194,38110297.0,2025-06-11 23:59:59.999,2800634.854
2025-06-12,0.07194,0.074,0.06854,0.07035,27269824.0,2025-06-12 23:59:59.999,1935238.42741
2025-06-13,0.07034,0.07791,0.06918,0.07667,171759513.0,2025-06-13 23:59:59.999,12757858.77478
2025-06-14,0.07665,0.078,0.07452,0.07755,30532090.0,2025-06-14 23:59:59.999,2327287.79512
2025-06-15,0.07754,0.07839,0.07566,0.07742,29196936.0,2025-06-15 23:59:59.999,2242372.91323
2025-06-16,0.07741,0.08282,0.07649,0.08039,39041801.0,2025-06-16 23:59:59.999,3117470.24255
