open_time,open,high,low,close,volume,close_time,quote_asset_volume
2022-03-15,0.3223,0.35385,0.2746,0.33171,608418094.0,2022-03-15 23:59:59.999,192102762.48129
2022-03-16,0.33111,0.558,0.315,0.55501,3448787796.0,2022-03-16 23:59:59.999,1645060000.26173
2022-03-17,0.55501,0.84421,0.53116,0.83013,4677686713.0,2022-03-17 23:59:59.999,3094917487.56772
2022-03-18,0.83013,0.83038,0.652,0.69824,3032955909.0,2022-03-18 23:59:59.999,2193706177.24864
2022-03-19,0.69823,0.772,0.65025,0.67149,1152314559.0,2022-03-19 23:59:59.999,817944944.11178
2022-03-20,0.67149,0.70266,0.574,0.57773,1015960793.0,2022-03-20 23:59:59.999,635377701.89832
2022-03-21,0.57809,0.827,0.57607,0.79668,3326548314.0,2022-03-21 23:59:59.999,2472564491.21649
2022-03-22,0.79703,0.894,0.75408,0.80518,2166046165.0,2022-03-22 23:59:59.999,1748668601.27605
2022-03-23,0.80516,0.822,0.7323,0.76881,851671281.0,2022-03-23 23:59:59.999,651327034.1568
2022-03-24,0.76894,0.789,0.68762,0.70072,534939987.0,2022-03-24 23:59:59.999,402280663.67625
2022-03-25,0.70071,0.79797,0.67241,0.78047,1167919505.0,2022-03-25 23:59:59.999,865752661.60226
2022-03-26,0.7805,0.838,0.75,0.7644,922407288.0,2022-03-26 23:59:59.999,727576704.69326
2022-03-27,0.7644,0.795,0.73543,0.77213,391234199.0,2022-03-27 23:59:59.999,299870945.54873
2022-03-28,0.77213,1.1495,0.76532,1.13112,2489516349.0,2022-03-28 23:59:59.999,2465211768.14041
2022-03-29,1.13111,1.88076,1.03166,1.68207,3521377984.0,2022-03-29 23:59:59.999,4859251218.99991
2022-03-30,1.68205,2.3198,1.6115,2.03446,3525809346.0,2022-03-30 23:59:59.999,7079311158.45216
2022-03-31,2.03447,2.64561,1.78388,2.48608,3212078970.0,2022-03-31 23:59:59.999,7228877827.62364
2022-04-01,2.48608,3.1295,2.3752,2.69271,2684350932.0,2022-04-01 23:59:59.999,7651793023.02349
2022-04-02,2.69271,2.89506,2.26786,2.31666,1736912357.0,2022-04-02 23:59:59.999,4510930513.24544
2022-04-03,2.31668,2.74,2.23966,2.4526,1676622107.0,2022-04-03 23:59:59.999,4170877197.38602
2022-04-04,2.45267,2.56,2.05374,2.16666,1302060764.0,2022-04-04 23:59:59.999,2973502486.73403
2022-04-05,2.16609,2.32557,2.0852,2.13143,1282694742.0,2022-04-05 23:59:59.999,2833391940.20884
2022-04-06,2.13143,2.715,2.11704,2.32737,2596644338.0,2022-04-06 23:59:59.999,6303121840.92573
2022-04-07,2.32855,2.36951,2.0112,2.18858,1291458833.0,2022-04-07 23:59:59.999,2810074977.59482
2022-04-08,2.18823,2.43999,2.08888,2.17636,1423465833.0,2022-04-08 23:59:59.999,3150245573.85069
2022-04-09,2.17623,2.327,2.1,2.3002,1024083441.0,2022-04-09 23:59:59.999,2265382889.90087
2022-04-10,2.3002,2.39276,2.20271,2.25674,1228146229.0,2022-04-10 23:59:59.999,2833090809.26163
2022-04-11,2.25697,2.67794,2.23853,2.386,2031538416.0,2022-04-11 23:59:59.999,4979890338.86031
2022-04-12,2.386,2.39995,2.12595,2.21524,1250055834.0,2022-04-12 23:59:59.999,2779537018.41392
2022-04-13,2.2152,2.24863,2.053,2.17659,756307217.0,2022-04-13 23:59:59.999,1637612243.85646
2022-04-14,2.17658,2.3493,2.14192,2.22562,841786778.0,2022-04-14 23:59:59.999,1874577441.75678
2022-04-15,2.22562,2.32882,2.17,2.30001,597357016.0,2022-04-15 23:59:59.999,1336781247.44811
2022-04-16,2.3,2.44999,2.24,2.37868,905577637.0,2022-04-16 23:59:59.999,2130534835.1165
2022-04-17,2.37873,2.6,2.35522,2.42189,1206890699.0,2022-04-17 23:59:59.999,3011135466.20496
2022-04-18,2.42189,3.32,2.23887,3.19124,3049337595.0,2022-04-18 23:59:59.999,8436288542.33449
2022-04-19,3.1915,3.84819,3.13666,3.7096,2598278499.0,2022-04-19 23:59:59.999,8989270554.95389
2022-04-20,3.70967,3.86344,3.29723,3.35978,1848401375.0,2022-04-20 23:59:59.999,6518474260.03049
2022-04-21,3.35978,3.59263,2.95772,3.12186,1523583974.0,2022-04-21 23:59:59.999,4899918890.11036
2022-04-22,3.12175,3.285,3.05,3.17442,968170135.0,2022-04-22 23:59:59.999,3066734714.2401
2022-04-23,3.17442,3.44838,3.08,3.1484,854595132.0,2022-04-23 23:59:59.999,2767505812.24595
2022-04-24,3.14839,3.41272,3.13661,3.36871,874155129.0,2022-04-24 23:59:59.999,2844722755.44619
2022-04-25,3.36825,3.40203,3.12653,3.31268,848364416.0,2022-04-25 23:59:59.999,2773834546.27226
2022-04-26,3.31288,3.488,3.1688,3.333,808726752.0,2022-04-26 23:59:59.999,2695263090.11037
2022-04-27,3.333,3.95,3.235,3.8039,1299210412.0,2022-04-27 23:59:59.999,4713969389.14507
2022-04-28,3.804,4.18,3.5655,3.7583,1622834364.0,2022-04-28 23:59:59.999,6331056177.63505
2022-04-29,3.7583,4.1452,3.4121,3.82,1468373605.0,2022-04-29 23:59:59.999,5517851052.48765
2022-04-30,3.82,4.068,3.44,3.502,864549853.0,2022-04-30 23:59:59.999,3266572534.52242
2022-05-01,3.5022,3.6157,3.284,3.4349,708697345.0,2022-05-01 23:59:59.999,2441191408.00564
2022-05-02,3.4349,3.5452,3.1285,3.2438,598976475.0,2022-05-02 23:59:59.999,2004906579.50248
2022-05-03,3.2437,3.4521,3.18233,3.2472,523043634.0,2022-05-03 23:59:59.999,1729763520.89226
2022-05-04,3.2472,3.4298,3.156,3.3395,611106019.0,2022-05-04 23:59:59.999,2012232853.74815
2022-05-05,3.3394,3.409,2.53,2.7375,1062560120.0,2022-05-05 23:59:59.999,3101765793.93242
2022-05-06,2.7375,2.7479,2.3369,2.5187,1117499885.0,2022-05-06 23:59:59.999,2783671595.92653
2022-05-07,2.5189,2.842,2.3861,2.5617,1229421563.0,2022-05-07 23:59:59.999,3271152645.43137
2022-05-08,2.5617,2.777,2.4526,2.7183,961546793.0,2022-05-08 23:59:59.999,2520610352.5624
2022-05-09,2.7183,2.748,1.7308,1.7649,1458636095.0,2022-05-09 23:59:59.999,3420218909.04893
2022-05-10,1.765,2.1819,1.611,1.7994,2260877371.0,2022-05-10 23:59:59.999,4296128793.33967
2022-05-11,1.7999,1.8778,1.0881,1.3137,2506218536.0,2022-05-11 23:59:59.999,3625427325.55231
2022-05-12,1.3132,1.507,0.8076,1.1605,2526446026.0,2022-05-12 23:59:59.999,2712520796.22109
2022-05-13,1.1604,1.755,1.1232,1.4858,2249918587.0,2022-05-13 23:59:59.999,3508975472.2762
2022-05-14,1.486,1.5817,1.2452,1.5325,1507424355.0,2022-05-14 23:59:59.999,2111623752.6906
2022-05-15,1.5328,1.654,1.3913,1.6181,1549932065.0,2022-05-15 23:59:59.999,2344448889.0189
2022-05-16,1.6183,1.6189,1.3802,1.4303,1180842995.0,2022-05-16 23:59:59.999,1719228792.2132
2022-05-17,1.4304,1.707,1.4194,1.5843,1368793983.0,2022-05-17 23:59:59.999,2135843139.5233
2022-05-18,1.5843,1.6488,1.302,1.3817,1487383971.0,2022-05-18 23:59:59.999,2222767418.5894
2022-05-19,1.3817,1.58,1.2701,1.4997,1659438790.0,2022-05-19 23:59:59.999,2314809533.6993
2022-05-20,1.4997,1.5866,1.2957,1.341,1716319994.0,2022-05-20 23:59:59.999,2405360874.7561
2022-05-21,1.3411,1.4399,1.3015,1.3552,1066019615.0,2022-05-21 23:59:59.999,1449832782.1266
2022-05-22,1.3551,1.4563,1.3412,1.4175,766526814.0,2022-05-22 23:59:59.999,1068186100.3918
2022-05-23,1.4175,1.5413,1.3419,1.3702,1157248372.0,2022-05-23 23:59:59.999,1672090055.3382
