open_time,open,high,low,close,volume,close_time,quote_asset_volume
2026-05-15,302.4,304.67,295.16,296.89,1478.83,2026-05-15 23:59:59.999,442248.3437
2026-05-16,296.72,301.0,292.88,295.85,1349.54,2026-05-16 23:59:59.999,399922.9111
2026-05-17,296.84,298.36,293.44,296.23,291.47,2026-05-17 23:59:59.999,86381.9148
2026-05-18,296.23,304.24,292.15,300.94,2616.28,2026-05-18 23:59:59.999,783749.9745
2026-05-19,301.1,304.95,289.2,302.2,3028.07,2026-05-19 23:59:59.999,908478.3218
2026-05-20,301.9,311.21,296.76,310.3,1470.05,2026-05-20 23:59:59.999,447935.2963
2026-05-21,310.32,314.0,304.45,311.9,2041.22,2026-05-21 23:59:59.999,635332.1472
2026-05-22,312.07,317.76,310.38,312.11,1878.25,2026-05-22 23:59:59.999,588861.2205
2026-05-23,312.18,316.87,309.7,315.68,2487.76,2026-05-23 23:59:59.999,778832.1085
2026-05-24,316.35,316.35,312.48,314.35,559.93,2026-05-24 23:59:59.999,175940.9329
2026-05-25,314.35,317.51,312.95,315.04,590.56,2026-05-25 23:59:59.999,186270.4903
2026-05-26,315.04,317.39,309.12,310.68,1618.51,2026-05-26 23:59:59.999,507310.9365
2026-05-27,310.67,321.18,309.05,318.09,2124.23,2026-05-27 23:59:59.999,670297.9912
2026-05-28,318.07,323.84,315.15,320.6,5255.44,2026-05-28 23:59:59.999,1678161.454
