open_time,open,high,low,close,volume,close_time,quote_asset_volume
2025-11-07,0.05234,0.06356,0.05156,0.05878,102152348.4,2025-11-07 23:59:59.999,5807279.468496
2025-11-08,0.05877,0.07154,0.05539,0.06496,192576223.8,2025-11-08 23:59:59.999,11980640.822604
2025-11-09,0.06497,0.06501,0.05887,0.06145,113121331.5,2025-11-09 23:59:59.999,6909138.135297
2025-11-10,0.06143,0.06286,0.05949,0.06167,49955661.8,2025-11-10 23:59:59.999,3072267.357215
2025-11-11,0.06167,0.06244,0.05598,0.05613,54000059.6,2025-11-11 23:59:59.999,3218360.524597
2025-11-12,0.05615,0.05959,0.05424,0.0554,51360951.2,2025-11-12 23:59:59.999,2930690.879094
2025-11-13,0.0554,0.05796,0.05018,0.05307,47474333.1,2025-11-13 23:59:59.999,2575394.027567
2025-11-14,0.05306,0.05382,0.04871,0.04992,55560047.4,2025-11-14 23:59:59.999,2864864.390339
2025-11-15,0.04992,0.05242,0.04979,0.05146,27422167.9,2025-11-15 23:59:59.999,1403840.22603
2025-11-16,0.05146,0.05275,0.04653,0.04826,60003816.9,2025-11-16 23:59:59.999,2988604.157928
2025-11-17,0.04825,0.05138,0.04711,0.04893,44285643.7,2025-11-17 23:59:59.999,2160752.490291
2025-11-18,0.04895,0.04985,0.0471,0.04877,48908579.4,2025-11-18 23:59:59.999,2380001.193434
2025-11-19,0.04878,0.04999,0.04469,0.04816,58136756.8,2025-11-19 23:59:59.999,2758179.27237
2025-11-20,0.04816,0.05708,0.04796,0.05136,164535320.2,2025-11-20 23:59:59.999,8632695.726559
2025-11-21,0.05136,0.05886,0.0411,0.04618,201859156.8,2025-11-21 23:59:59.999,9866785.111585
2025-11-22,0.04618,0.04729,0.04321,0.04672,69648176.2,2025-11-22 23:59:59.999,3147009.413086
2025-11-23,0.04674,0.04943,0.04604,0.04662,75775623.3,2025-11-23 23:59:59.999,3635241.506559
2025-11-24,0.0466,0.04861,0.04526,0.04779,46267943.4,2025-11-24 23:59:59.999,2169954.499787
2025-11-25,0.0478,0.04824,0.04603,0.04805,33674931.4,2025-11-25 23:59:59.999,1595400.548986
2025-11-26,0.04801,0.05081,0.04711,0.04907,60238708.7,2025-11-26 23:59:59.999,2930929.972698
2025-11-27,0.04903,0.05023,0.04804,0.04869,36959109.0,2025-11-27 23:59:59.999,1813802.210031
2025-11-28,0.04868,0.04908,0.0466,0.04741,37297743.2,2025-11-28 23:59:59.999,1787402.700874
2025-11-29,0.04743,0.048,0.04475,0.04484,30193868.1,2025-11-29 23:59:59.999,1397047.250759
2025-11-30,0.04491,0.04577,0.04377,0.04458,30178846.2,2025-11-30 23:59:59.999,1353231.69041
2025-12-01,0.04456,0.04474,0.03935,0.04047,70241745.5,2025-12-01 23:59:59.999,2866708.679642
2025-12-02,0.04048,0.04427,0.03966,0.04341,55707524.6,2025-12-02 23:59:59.999,2355044.574112
2025-12-03,0.04343,0.04463,0.04216,0.04334,33314115.9,2025-12-03 23:59:59.999,1445513.424655
2025-12-04,0.04335,0.04414,0.04143,0.04229,31916226.2,2025-12-04 23:59:59.999,1373550.712764
2025-12-05,0.0423,0.04333,0.03967,0.04083,44840588.5,2025-12-05 23:59:59.999,1868344.077925
2025-12-06,0.04084,0.044,0.04057,0.0432,46087007.6,2025-12-06 23:59:59.999,1955315.712079
2025-12-07,0.0432,0.04357,0.03957,0.04097,39369458.0,2025-12-07 23:59:59.999,1644114.027161
2025-12-08,0.04098,0.04313,0.04079,0.04187,37004315.2,2025-12-08 23:59:59.999,1559688.090157
2025-12-09,0.04188,0.04474,0.04095,0.04362,36637093.6,2025-12-09 23:59:59.999,1561573.382501
2025-12-10,0.0436,0.04477,0.04211,0.04226,39058591.9,2025-12-10 23:59:59.999,1686318.223288
