open_time,open,high,low,close,volume,close_time,quote_asset_volume
2022-09-27,6.61,6.825,5.962,6.102,4916117.0,2022-09-27 23:59:59.999,31203021.237
2022-09-28,6.108,6.154,5.866,6.046,1593341.0,2022-09-28 23:59:59.999,9557136.957
2022-09-29,6.041,6.144,5.91,6.139,1265056.0,2022-09-29 23:59:59.999,7620694.338
2022-09-30,6.14,6.236,6.02,6.077,1068426.0,2022-09-30 23:59:59.999,6550657.78
2022-10-01,6.079,6.166,6.005,6.116,621646.0,2022-10-01 23:59:59.999,3792683.432
2022-10-02,6.12,6.191,5.864,5.904,861177.0,2022-10-02 23:59:59.999,5196468.324
2022-10-03,5.904,6.099,5.834,6.028,1027894.0,2022-10-03 23:59:59.999,6159930.49
2022-10-04,6.024,6.223,5.974,6.176,1338533.0,2022-10-04 23:59:59.999,8172772.384
2022-10-05,6.177,6.183,5.89,6.022,1733307.0,2022-10-05 23:59:59.999,10423087.24
2022-10-06,6.022,6.15,5.951,5.973,1151763.0,2022-10-06 23:59:59.999,6963750.563
2022-10-07,5.972,6.011,5.891,5.946,872381.0,2022-10-07 23:59:59.999,5192068.64
2022-10-08,5.948,5.978,5.781,5.812,704222.0,2022-10-08 23:59:59.999,4149314.281
2022-10-09,5.812,5.902,5.8,5.856,586731.0,2022-10-09 23:59:59.999,3431067.093
2022-10-10,5.856,5.908,5.239,5.311,2256097.0,2022-10-10 23:59:59.999,12651352.511
2022-10-11,5.31,5.38,5.197,5.231,1688107.0,2022-10-11 23:59:59.999,8924626.589
2022-10-12,5.231,5.322,4.7,5.063,2974349.0,2022-10-12 23:59:59.999,15224841.815
2022-10-13,5.066,5.129,4.662,5.026,3490628.0,2022-10-13 23:59:59.999,17093329.774
2022-10-14,5.028,5.262,4.768,4.851,2129143.0,2022-10-14 23:59:59.999,10724621.354
2022-10-15,4.852,5.03,4.786,4.92,2005944.0,2022-10-15 23:59:59.999,9853035.219
2022-10-16,4.92,5.14,4.914,4.98,2439768.0,2022-10-16 23:59:59.999,12226487.358
2022-10-17,4.981,5.154,4.941,5.076,1714526.0,2022-10-17 23:59:59.999,8676666.105
2022-10-18,5.075,5.135,4.836,4.946,2602722.0,2022-10-18 23:59:59.999,12960522.692
2022-10-19,4.945,4.998,4.777,4.809,2344228.0,2022-10-19 23:59:59.999,11472294.526
2022-10-20,4.808,4.962,4.772,4.82,2931926.0,2022-10-20 23:59:59.999,14275880.268
2022-10-21,4.819,4.941,4.617,4.898,3412073.0,2022-10-21 23:59:59.999,16366996.165
2022-10-22,4.896,4.961,4.82,4.907,2243981.0,2022-10-22 23:59:59.999,10963863.067
2022-10-23,4.908,5.035,4.79,5.024,2971208.0,2022-10-23 23:59:59.999,14607231.168
2022-10-24,5.026,5.041,4.724,4.814,3680369.0,2022-10-24 23:59:59.999,17848285.55
2022-10-25,4.813,5.114,4.795,5.014,4607642.0,2022-10-25 23:59:59.999,22764943.865
2022-10-26,5.014,5.16,4.93,5.096,4601413.0,2022-10-26 23:59:59.999,23407260.407
2022-10-27,5.095,5.352,4.99,5.024,5156461.0,2022-10-27 23:59:59.999,26632761.763
2022-10-28,5.023,5.218,4.973,5.162,4548752.0,2022-10-28 23:59:59.999,23152444.118
2022-10-29,5.162,5.539,5.161,5.403,6156831.0,2022-10-29 23:59:59.999,32801128.511
2022-10-30,5.402,5.523,5.192,5.318,4527746.0,2022-10-30 23:59:59.999,24242354.842
2022-10-31,5.318,5.44,5.12,5.281,4945564.0,2022-10-31 23:59:59.999,26052095.483
2022-11-01,5.281,5.384,5.15,5.178,3798042.0,2022-11-01 23:59:59.999,20009284.764
2022-11-02,5.178,5.23,4.844,4.935,4993523.0,2022-11-02 23:59:59.999,25273202.768
2022-11-03,4.934,5.6,4.903,5.37,9743892.0,2022-11-03 23:59:59.999,52598670.937
2022-11-04,5.371,5.812,5.369,5.626,7724017.0,2022-11-04 23:59:59.999,42895774.971
2022-11-05,5.626,5.8,5.469,5.56,6648501.0,2022-11-05 23:59:59.999,37472370.889
2022-11-06,5.561,5.65,5.149,5.203,5859893.0,2022-11-06 23:59:59.999,31911057.751
2022-11-07,5.2,5.33,5.0,5.185,5974506.0,2022-11-07 23:59:59.999,30911657.993
2022-11-08,5.181,5.262,3.76,4.352,12224827.0,2022-11-08 23:59:59.999,57318525.598
