open_time,open,high,low,close,volume,close_time,quote_asset_volume
2026-02-02,46.5,54.0,43.93,48.94,443525.37,2026-02-02 23:59:59.999,21448445.1638
2026-02-03,48.94,51.76,48.46,49.13,233613.47,2026-02-03 23:59:59.999,11665306.3542
2026-02-04,49.11,49.98,47.06,48.71,130401.48,2026-02-04 23:59:59.999,6348466.6897
2026-02-05,48.73,50.86,46.88,47.27,137149.2,2026-02-05 23:59:59.999,6617686.0736
2026-02-06,47.28,51.31,46.28,50.56,363377.38,2026-02-06 23:59:59.999,18187809.5864
2026-02-07,50.56,50.87,50.43,50.68,14869.56,2026-02-07 23:59:59.999,753130.9501
2026-02-08,50.69,51.49,50.31,50.68,26595.16,2026-02-08 23:59:59.999,1351047.196
2026-02-09,50.68,51.9,47.63,50.31,303405.36,2026-02-09 23:59:59.999,15110698.6441
2026-02-10,50.29,50.54,46.8,47.19,177004.49,2026-02-10 23:59:59.999,8627000.4103
2026-02-11,47.17,49.52,46.9,48.15,216198.0,2026-02-11 23:59:59.999,10377024.1123
2026-02-12,48.14,48.93,46.23,46.45,184263.28,2026-02-12 23:59:59.999,8776375.1872
2026-02-13,46.42,47.71,45.01,46.68,161428.64,2026-02-13 23:59:59.999,7502555.3328
2026-02-14,46.69,47.46,46.17,46.67,27657.37,2026-02-14 23:59:59.999,1295741.602
2026-02-15,46.67,46.88,46.51,46.61,8036.8,2026-02-15 23:59:59.999,375162.709
2026-02-16,46.61,46.88,46.6,46.77,10275.02,2026-02-16 23:59:59.999,480261.9286
2026-02-17,46.76,46.97,45.31,46.18,268301.61,2026-02-17 23:59:59.999,12371103.2453
2026-02-18,46.2,46.75,44.91,45.47,154260.7,2026-02-18 23:59:59.999,7095906.3653
2026-02-19,45.45,45.7,43.94,44.59,115745.42,2026-02-19 23:59:59.999,5184070.1073
2026-02-20,44.58,44.91,42.91,44.03,182839.43,2026-02-20 23:59:59.999,8000966.4273
2026-02-21,44.05,44.21,43.96,44.07,9055.73,2026-02-21 23:59:59.999,398975.3267
2026-02-22,44.07,44.29,43.92,43.93,9094.99,2026-02-22 23:59:59.999,401079.1445
2026-02-23,43.95,44.55,43.22,43.69,119614.73,2026-02-23 23:59:59.999,5248556.0416
2026-02-24,43.69,46.62,43.59,46.11,278132.03,2026-02-24 23:59:59.999,12523887.8723
2026-02-25,46.11,47.35,45.56,46.55,225720.66,2026-02-25 23:59:59.999,10444999.8888
2026-02-26,46.54,47.11,44.48,45.13,274919.79,2026-02-26 23:59:59.999,12570088.6881
2026-02-27,45.13,46.55,44.38,45.45,224998.4,2026-02-27 23:59:59.999,10194857.4965
2026-02-28,45.45,45.61,44.97,45.44,41382.76,2026-02-28 23:59:59.999,1876059.4551
2026-03-01,45.44,45.63,45.03,45.34,24891.32,2026-03-01 23:59:59.999,1128916.1823
2026-03-02,45.33,45.8,43.85,45.31,187507.53,2026-03-02 23:59:59.999,8402974.3338
2026-03-03,45.33,45.33,42.12,43.01,255538.16,2026-03-03 23:59:59.999,11076522.4759
2026-03-04,43.01,46.13,42.18,45.69,317776.13,2026-03-04 23:59:59.999,14075351.225
2026-03-05,45.7,46.51,44.73,45.97,252065.14,2026-03-05 23:59:59.999,11472277.4978
2026-03-06,45.99,46.34,43.34,43.5,240183.33,2026-03-06 23:59:59.999,10773302.4096
2026-03-07,43.5,43.5,43.22,43.38,15274.93,2026-03-07 23:59:59.999,662323.7092
2026-03-08,43.37,43.49,42.35,42.47,28154.98,2026-03-08 23:59:59.999,1207587.4893
2026-03-09,42.48,45.79,41.69,45.16,290923.4,2026-03-09 23:59:59.999,12555885.6636
2026-03-10,45.17,47.92,44.85,46.99,247988.4,2026-03-10 23:59:59.999,11494599.8526
2026-03-11,46.99,49.03,46.37,47.6,191843.17,2026-03-11 23:59:59.999,9150213.2023
2026-03-12,47.61,47.97,45.19,45.27,155161.16,2026-03-12 23:59:59.999,7246622.1632
2026-03-13,45.26,46.66,44.9,45.75,203508.31,2026-03-13 23:59:59.999,9333960.4933
2026-03-14,45.74,45.81,45.62,45.66,9489.11,2026-03-14 23:59:59.999,433441.4762
2026-03-15,45.66,46.16,45.63,45.87,22979.35,2026-03-15 23:59:59.999,1054374.0891
2026-03-16,45.89,49.14,45.67,46.04,323905.55,2026-03-16 23:59:59.999,15333930.4562
2026-03-17,46.05,46.74,43.93,44.2,322949.71,2026-03-17 23:59:59.999,14635572.1007
2026-03-18,44.19,45.71,43.68,44.85,370521.76,2026-03-18 23:59:59.999,16539234.7187
2026-03-19,44.85,46.45,43.66,46.32,297009.09,2026-03-19 23:59:59.999,13336052.3833
2026-03-20,46.33,47.57,43.68,44.3,345570.23,2026-03-20 23:59:59.999,15857992.2443
2026-03-21,44.31,44.45,44.04,44.07,27844.17,2026-03-21 23:59:59.999,1233224.4709
2026-03-22,44.07,44.31,43.81,44.01,55492.77,2026-03-22 23:59:59.999,2445162.8679
2026-03-23,44.0,45.46,42.7,44.23,522421.33,2026-03-23 23:59:59.999,23070981.7657
2026-03-24,44.22,44.69,43.23,44.42,386410.6,2026-03-24 23:59:59.999,16961007.3966
2026-03-25,44.43,47.85,44.27,47.08,567203.73,2026-03-25 23:59:59.999,26114979.657
2026-03-26,47.07,47.4,43.95,44.44,400134.49,2026-03-26 23:59:59.999,18375015.0962
2026-03-27,44.44,45.03,42.93,43.07,418336.17,2026-03-27 23:59:59.999,18351382.1284
2026-03-28,43.06,43.25,42.98,43.01,32868.38,2026-03-28 23:59:59.999,1417013.0327
2026-03-29,43.03,43.25,42.75,42.77,39898.28,2026-03-29 23:59:59.999,1717494.5999
2026-03-30,42.78,44.0,40.66,40.81,335911.45,2026-03-30 23:59:59.999,14273210.8323
