open_time,open,high,low,close,volume,close_time,quote_asset_volume
2020-02-12,0.338,0.3725,0.3218,0.3306,25630878.8,2020-02-12 23:59:59.999,8845420.65183
2020-02-13,0.3315,0.3489,0.3033,0.3227,29301543.1,2020-02-13 23:59:59.999,9586387.38981
2020-02-14,0.3226,0.3289,0.3109,0.3242,21486527.0,2020-02-14 23:59:59.999,6896943.81757
2020-02-15,0.3245,0.3269,0.2781,0.2875,18981443.4,2020-02-15 23:59:59.999,5741663.74931
2020-02-16,0.2876,0.2976,0.1798,0.2775,14929658.1,2020-02-16 23:59:59.999,4114004.12362
2020-02-17,0.2775,0.2863,0.2528,0.2831,10481882.6,2020-02-17 23:59:59.999,2819143.88299
2020-02-18,0.2833,0.2933,0.2653,0.2906,11115592.7,2020-02-18 23:59:59.999,3126621.58287
2020-02-19,0.2906,0.2946,0.2485,0.2666,8257363.5,2020-02-19 23:59:59.999,2338952.42655
2020-02-20,0.2665,0.2717,0.2526,0.2654,6719465.8,2020-02-20 23:59:59.999,1767945.52495
2020-02-21,0.265,0.275,0.2629,0.2681,6929361.0,2020-02-21 23:59:59.999,1866995.56241
2020-02-22,0.2681,0.2737,0.26,0.2702,6285019.8,2020-02-22 23:59:59.999,1680636.80245
2020-02-23,0.2702,0.2855,0.27,0.2785,6109610.9,2020-02-23 23:59:59.999,1693742.44732
2020-02-24,0.2785,0.2808,0.2477,0.2622,8093321.5,2020-02-24 23:59:59.999,2164330.98608
2020-02-25,0.2625,0.2634,0.2455,0.2482,7605390.3,2020-02-25 23:59:59.999,1926352.44151
2020-02-26,0.2478,0.2502,0.2066,0.2159,13568333.1,2020-02-26 23:59:59.999,3077819.79423
2020-02-27,0.216,0.2295,0.2025,0.215,8524737.3,2020-02-27 23:59:59.999,1839593.096
2020-02-28,0.2152,0.2207,0.2029,0.2155,4818995.3,2020-02-28 23:59:59.999,1025109.14108
2020-02-29,0.2155,0.2211,0.2115,0.2127,4515851.5,2020-02-29 23:59:59.999,979084.13519
2020-03-01,0.2127,0.2219,0.2057,0.2101,3799723.6,2020-03-01 23:59:59.999,812572.26637
2020-03-02,0.21,0.2266,0.2084,0.2244,4608701.6,2020-03-02 23:59:59.999,1012181.95144
2020-03-03,0.2245,0.2282,0.2181,0.2239,3925245.3,2020-03-03 23:59:59.999,874270.15744
2020-03-04,0.2238,0.2258,0.2168,0.2224,3214156.6,2020-03-04 23:59:59.999,714179.83149
2020-03-05,0.2227,0.2376,0.2224,0.2276,6797011.1,2020-03-05 23:59:59.999,1575951.57608
