open_time,open,high,low,close,volume,close_time,quote_asset_volume
2025-11-07,9.634,11.622,9.53,11.276,1988561.6,2025-11-07 23:59:59.999,20738442.0514
2025-11-08,11.275,15.4,10.913,13.56,10766745.1,2025-11-08 23:59:59.999,145213010.5563
2025-11-09,13.559,14.371,12.0,12.173,5860672.3,2025-11-09 23:59:59.999,76108824.1233
2025-11-10,12.173,12.68,11.775,12.345,1823450.4,2025-11-10 23:59:59.999,22376474.5717
2025-11-11,12.346,12.48,11.36,11.378,912096.5,2025-11-11 23:59:59.999,10808667.9951
2025-11-12,11.38,11.738,10.816,10.9,839322.3,2025-11-12 23:59:59.999,9519161.7293
2025-11-13,10.9,11.254,10.215,10.523,800813.0,2025-11-13 23:59:59.999,8662121.635
2025-11-14,10.524,10.627,9.842,9.977,702258.0,2025-11-14 23:59:59.999,7185404.8513
2025-11-15,9.977,10.535,9.948,10.232,420444.0,2025-11-15 23:59:59.999,4320630.5993
2025-11-16,10.233,10.377,9.632,9.902,567155.4,2025-11-16 23:59:59.999,5649266.3925
2025-11-17,9.9,10.214,9.59,9.755,513975.6,2025-11-17 23:59:59.999,5082916.6153
2025-11-18,9.756,10.051,9.53,9.901,634217.4,2025-11-18 23:59:59.999,6198609.0958
2025-11-19,9.901,9.966,9.266,9.793,571931.3,2025-11-19 23:59:59.999,5518490.6511
2025-11-20,9.794,10.201,9.217,9.378,670105.8,2025-11-20 23:59:59.999,6518198.2352
2025-11-21,9.379,9.583,8.132,8.596,987109.8,2025-11-21 23:59:59.999,8634891.26
2025-11-22,8.598,8.645,8.311,8.487,322510.5,2025-11-22 23:59:59.999,2731044.6138
2025-11-23,8.485,8.681,8.423,8.45,277646.4,2025-11-23 23:59:59.999,2377933.6988
2025-11-24,8.447,8.946,8.311,8.704,554747.2,2025-11-24 23:59:59.999,4767411.8854
2025-11-25,8.705,8.765,8.409,8.714,329087.3,2025-11-25 23:59:59.999,2830697.0613
2025-11-26,8.716,8.986,8.336,8.74,381710.8,2025-11-26 23:59:59.999,3296445.7804
2025-11-27,8.74,9.314,8.7,8.92,439889.9,2025-11-27 23:59:59.999,3956051.5869
2025-11-28,8.92,8.966,8.636,8.824,381530.2,2025-11-28 23:59:59.999,3357924.3387
2025-11-29,8.824,9.001,8.678,8.733,326324.9,2025-11-29 23:59:59.999,2890489.6839
2025-11-30,8.729,8.837,8.481,8.5,213995.5,2025-11-30 23:59:59.999,1860836.364
2025-12-01,8.501,8.517,7.699,7.945,672124.7,2025-12-01 23:59:59.999,5340717.9578
2025-12-02,7.945,9.032,7.812,8.632,581316.5,2025-12-02 23:59:59.999,4921839.0957
2025-12-03,8.632,8.863,8.494,8.786,368687.1,2025-12-03 23:59:59.999,3205922.6948
2025-12-04,8.787,8.853,8.388,8.544,337857.7,2025-12-04 23:59:59.999,2933553.0461
2025-12-05,8.545,8.657,8.045,8.168,379085.1,2025-12-05 23:59:59.999,3166051.533
2025-12-06,8.166,8.314,8.071,8.235,194432.3,2025-12-06 23:59:59.999,1588841.0021
2025-12-07,8.234,8.306,7.847,8.049,420834.6,2025-12-07 23:59:59.999,3413922.1717
2025-12-08,8.048,8.403,8.017,8.214,289418.5,2025-12-08 23:59:59.999,2382738.3601
2025-12-09,8.219,8.885,8.023,8.58,407302.5,2025-12-09 23:59:59.999,3440184.6978
2025-12-10,8.584,8.609,8.04,8.114,393149.4,2025-12-10 23:59:59.999,3266913.5443
2025-12-11,8.113,8.152,7.59,7.792,574556.8,2025-12-11 23:59:59.999,4461398.1738
2025-12-12,7.793,7.891,7.407,7.661,377476.6,2025-12-12 23:59:59.999,2894538.9824
2025-12-13,7.661,7.839,7.646,7.788,255999.0,2025-12-13 23:59:59.999,1989027.0929
2025-12-14,7.789,7.803,7.369,7.47,227896.5,2025-12-14 23:59:59.999,1727266.464
2025-12-15,7.468,7.865,6.969,7.191,599356.5,2025-12-15 23:59:59.999,4440940.8231
2025-12-16,7.191,7.46,6.985,7.31,467176.2,2025-12-16 23:59:59.999,3392203.6502
2025-12-17,7.31,7.42,6.715,6.789,475848.4,2025-12-17 23:59:59.999,3352388.8974
2025-12-18,6.787,7.005,6.387,6.56,587323.2,2025-12-18 23:59:59.999,3929179.252
2025-12-19,6.561,7.177,6.448,7.079,512645.6,2025-12-19 23:59:59.999,3506227.2207
2025-12-20,7.084,7.088,6.954,7.034,300524.6,2025-12-20 23:59:59.999,2108564.8876
2025-12-21,7.035,8.199,6.826,6.905,3348929.0,2025-12-21 23:59:59.999,24706524.5902
2025-12-22,6.906,7.405,6.826,7.137,973006.4,2025-12-22 23:59:59.999,6905355.876
2025-12-23,7.138,7.197,6.856,7.052,463824.1,2025-12-23 23:59:59.999,3260240.5123
2025-12-24,7.053,7.081,6.836,6.946,341253.0,2025-12-24 23:59:59.999,2367582.9378
2025-12-25,6.947,7.086,6.74,6.782,287212.9,2025-12-25 23:59:59.999,1995842.9136
2025-12-26,6.781,7.112,6.734,6.867,360118.2,2025-12-26 23:59:59.999,2491720.3639
2025-12-27,6.867,7.282,6.849,7.224,406047.2,2025-12-27 23:59:59.999,2870683.9068
2025-12-28,7.224,7.641,7.099,7.176,680765.8,2025-12-28 23:59:59.999,4997378.9486
2025-12-29,7.176,7.301,7.062,7.117,341023.1,2025-12-29 23:59:59.999,2448681.8025
2025-12-30,7.116,7.193,7.014,7.041,229788.5,2025-12-30 23:59:59.999,1630935.3453
2025-12-31,7.04,7.049,6.706,6.818,425184.9,2025-12-31 23:59:59.999,2930448.1888
2026-01-01,6.819,7.902,6.782,7.565,859254.5,2026-01-01 23:59:59.999,6394422.0011
2026-01-02,7.565,7.904,7.417,7.862,634829.7,2026-01-02 23:59:59.999,4820668.7788
2026-01-03,7.862,8.087,7.591,7.805,389644.4,2026-01-03 23:59:59.999,3047662.4702
2026-01-04,7.804,7.911,7.729,7.854,259139.1,2026-01-04 23:59:59.999,2030253.1544
2026-01-05,7.855,8.217,7.697,8.138,358329.2,2026-01-05 23:59:59.999,2844036.9061
2026-01-06,8.139,8.788,8.03,8.422,470063.3,2026-01-06 23:59:59.999,3927074.104
2026-01-07,8.423,8.462,7.683,7.831,547715.9,2026-01-07 23:59:59.999,4386768.8158
2026-01-08,7.832,7.936,7.515,7.738,396389.9,2026-01-08 23:59:59.999,3064427.5659
2026-01-09,7.74,7.828,7.502,7.669,313956.2,2026-01-09 23:59:59.999,2406641.7981
2026-01-10,7.669,8.091,7.521,7.802,510895.8,2026-01-10 23:59:59.999,3990629.1869
2026-01-11,7.802,7.823,7.455,7.562,382771.9,2026-01-11 23:59:59.999,2948773.813
2026-01-12,7.562,7.754,7.241,7.265,461335.6,2026-01-12 23:59:59.999,3444141.5289
2026-01-13,7.269,8.418,7.251,8.166,1189223.2,2026-01-13 23:59:59.999,9457419.0091
2026-01-14,8.167,8.209,7.851,7.979,413203.1,2026-01-14 23:59:59.999,3329352.0209
2026-01-15,7.982,8.008,7.335,7.477,554416.0,2026-01-15 23:59:59.999,4225055.4196
2026-01-16,7.477,7.624,7.34,7.588,371954.0,2026-01-16 23:59:59.999,2786772.7925
2026-01-17,7.589,8.089,7.517,7.841,361734.3,2026-01-17 23:59:59.999,2833215.2353
2026-01-18,7.84,7.922,7.281,7.292,333889.5,2026-01-18 23:59:59.999,2557560.0597
2026-01-19,7.291,7.294,6.524,6.993,746436.1,2026-01-19 23:59:59.999,5175868.9639
2026-01-20,6.993,7.0,6.533,6.621,491784.9,2026-01-20 23:59:59.999,3319150.9749
2026-01-21,6.622,6.922,6.542,6.759,522968.4,2026-01-21 23:59:59.999,3529629.7421
2026-01-22,6.763,6.888,6.605,6.678,369877.4,2026-01-22 23:59:59.999,2503384.2669
2026-01-23,6.678,6.877,6.572,6.695,311736.7,2026-01-23 23:59:59.999,2097752.0427
2026-01-24,6.697,6.862,6.656,6.724,355836.9,2026-01-24 23:59:59.999,2403325.2699
2026-01-25,6.724,6.781,6.218,6.37,517333.5,2026-01-25 23:59:59.999,3377237.0433
