open_time,open,high,low,close,volume,close_time,quote_asset_volume
2025-11-07,0.0951,0.1323,0.0951,0.1171,405208702.8,2025-11-07 23:59:59.999,46993083.91878
2025-11-08,0.117,0.1206,0.1068,0.1088,90549816.1,2025-11-08 23:59:59.999,10256554.10358
2025-11-09,0.1089,0.1283,0.1025,0.1116,139602907.9,2025-11-09 23:59:59.999,15936634.71067
2025-11-10,0.1116,0.1261,0.1106,0.117,105005678.1,2025-11-10 23:59:59.999,12403180.74131
2025-11-11,0.117,0.1188,0.1067,0.1075,48056602.0,2025-11-11 23:59:59.999,5423748.91828
2025-11-12,0.1076,0.116,0.1035,0.1061,44652205.7,2025-11-12 23:59:59.999,4902969.57542
2025-11-13,0.106,0.1237,0.1056,0.1135,157846702.5,2025-11-13 23:59:59.999,18565596.19061
2025-11-14,0.1136,0.1327,0.1052,0.1183,229046828.9,2025-11-14 23:59:59.999,27789368.65926
2025-11-15,0.1183,0.1295,0.1181,0.1219,88565779.8,2025-11-15 23:59:59.999,10959699.80866
2025-11-16,0.1218,0.124,0.1086,0.1119,71113711.2,2025-11-16 23:59:59.999,8198176.0929
2025-11-17,0.112,0.1212,0.109,0.1113,63182200.5,2025-11-17 23:59:59.999,7254589.88594
2025-11-18,0.1113,0.1154,0.1084,0.1098,44451215.1,2025-11-18 23:59:59.999,4950969.88064
2025-11-19,0.1097,0.1275,0.1043,0.121,187218626.5,2025-11-19 23:59:59.999,22083632.45936
2025-11-20,0.121,0.1472,0.1201,0.1379,567588501.7,2025-11-20 23:59:59.999,76070225.39012
2025-11-21,0.138,0.138,0.1089,0.1124,196001867.3,2025-11-21 23:59:59.999,23643837.52782
2025-11-22,0.1123,0.1141,0.1061,0.109,54818066.3,2025-11-22 23:59:59.999,6018139.44725
2025-11-23,0.109,0.1254,0.1069,0.1136,102154610.7,2025-11-23 23:59:59.999,11993405.4457
2025-11-24,0.1135,0.1231,0.1103,0.119,75903783.8,2025-11-24 23:59:59.999,8971488.13718
2025-11-25,0.1189,0.1242,0.1153,0.1224,48860064.4,2025-11-25 23:59:59.999,5849166.31295
2025-11-26,0.1224,0.1233,0.1143,0.1197,32804485.7,2025-11-26 23:59:59.999,3887047.9868
2025-11-27,0.1197,0.121,0.1153,0.116,24827792.1,2025-11-27 23:59:59.999,2927504.36178
2025-11-28,0.1159,0.1177,0.1097,0.1119,23799495.8,2025-11-28 23:59:59.999,2710853.27491
2025-11-29,0.1119,0.1136,0.1067,0.1083,17610841.5,2025-11-29 23:59:59.999,1938040.7182
2025-11-30,0.1083,0.1109,0.105,0.1057,19333472.5,2025-11-30 23:59:59.999,2084511.33718
2025-12-01,0.1059,0.1062,0.0933,0.0949,47848287.3,2025-12-01 23:59:59.999,4642807.44088
2025-12-02,0.0949,0.1024,0.0913,0.0982,31104537.4,2025-12-02 23:59:59.999,3008329.29059
2025-12-03,0.0983,0.1031,0.0958,0.1011,26246140.2,2025-12-03 23:59:59.999,2616773.68348
2025-12-04,0.1012,0.1027,0.0943,0.0956,21462191.4,2025-12-04 23:59:59.999,2126363.09516
2025-12-05,0.0956,0.0966,0.0889,0.0916,27815862.7,2025-12-05 23:59:59.999,2584382.76575
2025-12-06,0.0917,0.0956,0.0911,0.0943,15286493.7,2025-12-06 23:59:59.999,1421508.87112
2025-12-07,0.0943,0.0949,0.0879,0.0901,28998521.5,2025-12-07 23:59:59.999,2651208.95037
2025-12-08,0.09,0.0943,0.0885,0.091,21668645.3,2025-12-08 23:59:59.999,1983264.44235
2025-12-09,0.0911,0.0963,0.089,0.0928,19623153.0,2025-12-09 23:59:59.999,1809526.3468
2025-12-10,0.0929,0.0932,0.0872,0.0884,35362037.4,2025-12-10 23:59:59.999,3180365.33582
2025-12-11,0.0884,0.0891,0.0823,0.0866,33796165.3,2025-12-11 23:59:59.999,2891311.77689
2025-12-12,0.0866,0.0869,0.0793,0.0833,34493683.7,2025-12-12 23:59:59.999,2883761.74659
2025-12-13,0.0833,0.0858,0.0828,0.0847,17171986.5,2025-12-13 23:59:59.999,1445707.42031
2025-12-14,0.0847,0.0852,0.0786,0.0798,14828027.7,2025-12-14 23:59:59.999,1217231.86645
2025-12-15,0.0799,0.0828,0.07277,0.07601,39381674.1,2025-12-15 23:59:59.999,3052505.736871
