open_time,open,high,low,close,volume,close_time,quote_asset_volume
2026-04-07,375.69,408.43,360.0,402.21,8454.36,2026-04-07 23:59:59.999,3176772.3773
2026-04-08,402.3,421.44,399.3,402.26,13370.64,2026-04-08 23:59:59.999,5468313.0766
2026-04-09,402.29,423.93,385.0,418.53,11891.42,2026-04-09 23:59:59.999,4832695.5032
2026-04-10,418.48,425.69,410.35,419.42,9244.12,2026-04-10 23:59:59.999,3880671.2712
2026-04-11,419.47,421.82,415.37,419.31,4030.7,2026-04-11 23:59:59.999,1690502.223
2026-04-12,419.34,421.11,412.61,417.82,10878.21,2026-04-12 23:59:59.999,4538814.7537
2026-04-13,417.0,431.19,405.11,430.85,12386.42,2026-04-13 23:59:59.999,5148894.1285
2026-04-14,430.75,468.73,425.35,461.65,13456.26,2026-04-14 23:59:59.999,5943030.7699
2026-04-15,461.73,463.5,439.59,453.55,10124.84,2026-04-15 23:59:59.999,4607406.6301
2026-04-16,453.63,462.6,441.28,455.2,13133.17,2026-04-16 23:59:59.999,5971648.0457
2026-04-17,455.25,473.35,449.36,452.93,12855.44,2026-04-17 23:59:59.999,5923036.8632
2026-04-18,452.8,454.07,450.4,452.04,3592.31,2026-04-18 23:59:59.999,1625054.0906
2026-04-19,452.03,453.9,449.47,451.45,1988.87,2026-04-19 23:59:59.999,898494.1832
2026-04-20,451.36,464.65,436.21,447.8,16467.96,2026-04-20 23:59:59.999,7377245.2313
2026-04-21,447.75,458.11,441.59,453.78,10681.03,2026-04-21 23:59:59.999,4812897.8061
2026-04-22,453.75,492.3,453.0,486.8,16692.59,2026-04-22 23:59:59.999,7911686.4824
2026-04-23,486.75,495.55,472.17,485.57,14071.74,2026-04-23 23:59:59.999,6790521.6154
2026-04-24,485.4,507.42,474.87,495.18,20051.52,2026-04-24 23:59:59.999,9891853.4765
2026-04-25,495.02,495.79,493.92,494.98,1271.66,2026-04-25 23:59:59.999,629256.8318
2026-04-26,495.03,498.56,493.45,494.59,1469.36,2026-04-26 23:59:59.999,728149.3787
2026-04-27,494.72,532.0,494.72,526.96,16586.46,2026-04-27 23:59:59.999,8583703.4083
2026-04-28,527.27,527.57,488.55,519.78,14997.42,2026-04-28 23:59:59.999,7624506.4625
2026-04-29,519.99,531.94,509.52,523.85,20697.66,2026-04-29 23:59:59.999,10773574.8622
2026-04-30,523.89,535.24,500.4,505.9,25259.49,2026-04-30 23:59:59.999,13044163.6276
2026-05-01,505.95,545.95,505.66,539.94,22671.48,2026-05-01 23:59:59.999,11996759.7731
2026-05-02,539.94,542.28,538.32,540.88,4770.18,2026-05-02 23:59:59.999,2579804.7109
2026-05-03,540.9,547.79,538.6,539.6,5036.17,2026-05-03 23:59:59.999,2731977.7359
2026-05-04,539.83,593.35,539.75,578.4,33346.32,2026-05-04 23:59:59.999,19006829.5613
2026-05-05,578.42,686.0,578.33,676.25,55340.51,2026-05-05 23:59:59.999,34986525.5934
2026-05-06,676.4,689.49,628.32,659.39,63647.04,2026-05-06 23:59:59.999,42221471.9102
2026-05-07,659.42,683.37,635.75,644.6,65312.52,2026-05-07 23:59:59.999,42852995.6239
2026-05-08,644.63,760.71,644.25,757.96,79900.06,2026-05-08 23:59:59.999,56466351.2262
2026-05-09,757.89,759.78,756.75,758.55,12493.37,2026-05-09 23:59:59.999,9478098.936
2026-05-10,758.52,767.05,750.4,754.9,29731.58,2026-05-10 23:59:59.999,22578549.4246
2026-05-11,754.69,815.57,747.69,797.76,259356.08,2026-05-11 23:59:59.999,203693532.0271
2026-05-12,797.8,799.1,707.59,748.28,308103.0,2026-05-12 23:59:59.999,233025146.8215
2026-05-13,748.25,817.89,747.83,803.2,335996.21,2026-05-13 23:59:59.999,267979778.774
2026-05-14,803.29,811.75,776.08,779.01,211957.81,2026-05-14 23:59:59.999,168358117.5651
2026-05-15,779.02,788.55,715.05,716.15,290571.62,2026-05-15 23:59:59.999,217335459.5509
2026-05-16,716.3,719.88,709.29,713.96,20544.92,2026-05-16 23:59:59.999,14700269.2131
2026-05-17,713.9,737.99,707.6,723.68,27672.85,2026-05-17 23:59:59.999,20023341.1446
2026-05-18,723.5,765.08,664.05,689.75,345034.08,2026-05-18 23:59:59.999,244233748.545
2026-05-19,689.77,725.17,653.34,705.95,446738.16,2026-05-19 23:59:59.999,307049356.1895
2026-05-20,705.9,739.55,692.32,726.0,325952.93,2026-05-20 23:59:59.999,234183937.5483
2026-05-21,725.91,765.27,724.34,761.5,314659.85,2026-05-21 23:59:59.999,235337692.4501
2026-05-22,761.5,780.86,743.84,745.25,195071.44,2026-05-22 23:59:59.999,148250316.9246
2026-05-23,745.25,775.4,737.31,771.6,50648.5,2026-05-23 23:59:59.999,38176541.2369
2026-05-24,771.72,788.44,769.25,776.35,49014.53,2026-05-24 23:59:59.999,38073699.2822
2026-05-25,776.55,799.99,775.64,790.5,51223.55,2026-05-25 23:59:59.999,40456607.8636
2026-05-26,790.51,917.19,773.0,915.04,588251.34,2026-05-26 23:59:59.999,506954620.705
2026-05-27,915.08,987.0,888.88,905.08,1678229.39,2026-05-27 23:59:59.999,1559287432.2193
2026-05-28,905.12,949.87,880.25,935.91,945783.69,2026-05-28 23:59:59.999,870639262.694
