open_time,open,high,low,close,volume,close_time,quote_asset_volume
2025-11-07,0.03753,0.0449,0.03733,0.04334,48220516.0,2025-11-07 23:59:59.999,1973656.10634
2025-11-08,0.04335,0.04404,0.04136,0.04278,21266975.0,2025-11-08 23:59:59.999,905803.80942
2025-11-09,0.04274,0.04456,0.04084,0.04317,31962851.0,2025-11-09 23:59:59.999,1360960.01802
2025-11-10,0.04318,0.04396,0.04195,0.04313,26780370.0,2025-11-10 23:59:59.999,1150716.70253
2025-11-11,0.04314,0.04377,0.04031,0.04044,33635737.0,2025-11-11 23:59:59.999,1416556.04231
2025-11-12,0.04049,0.04317,0.03816,0.03927,40682565.0,2025-11-12 23:59:59.999,1656016.61728
2025-11-13,0.03927,0.04058,0.03654,0.03775,31108136.0,2025-11-13 23:59:59.999,1205160.8412
2025-11-14,0.03777,0.03819,0.03496,0.03564,29830884.0,2025-11-14 23:59:59.999,1093761.72152
2025-11-15,0.03561,0.03709,0.03551,0.03648,17892931.0,2025-11-15 23:59:59.999,651819.02946
2025-11-16,0.0365,0.03737,0.03413,0.03533,28474763.0,2025-11-16 23:59:59.999,1016031.54336
2025-11-17,0.03535,0.03761,0.03472,0.03542,33918154.0,2025-11-17 23:59:59.999,1223009.80961
2025-11-18,0.03541,0.03693,0.03456,0.03618,23293819.0,2025-11-18 23:59:59.999,833243.69998
2025-11-19,0.03618,0.03718,0.03385,0.03637,56309268.0,2025-11-19 23:59:59.999,2001633.43002
2025-11-20,0.03637,0.05244,0.03206,0.03438,1203913794.0,2025-11-20 23:59:59.999,50399121.93611
2025-11-21,0.03437,0.0506,0.03198,0.03319,655038370.0,2025-11-21 23:59:59.999,24936023.07227
2025-11-22,0.03319,0.04535,0.03188,0.03931,855103148.0,2025-11-22 23:59:59.999,31949957.52311
2025-11-23,0.03931,0.04391,0.03571,0.03911,1017726600.0,2025-11-23 23:59:59.999,40310572.86022
2025-11-24,0.03909,0.04849,0.03829,0.0422,879892596.0,2025-11-24 23:59:59.999,38596821.6177
2025-11-25,0.04223,0.0432,0.03905,0.04111,202334275.0,2025-11-25 23:59:59.999,8263187.12174
2025-11-26,0.04109,0.04146,0.03784,0.03867,94806643.0,2025-11-26 23:59:59.999,3725393.79486
