open_time,open,high,low,close,volume,close_time,quote_asset_volume
2026-05-15,192.32,196.93,191.01,191.78,10817.33,2026-05-15 23:59:59.999,2091634.4456
2026-05-16,191.97,196.93,190.26,191.93,2437.05,2026-05-16 23:59:59.999,467842.475
2026-05-17,191.7,194.82,191.2,192.46,6016.06,2026-05-17 23:59:59.999,1158672.8924
2026-05-18,192.64,193.54,183.43,186.81,22179.08,2026-05-18 23:59:59.999,4185126.7048
2026-05-19,186.82,188.77,180.99,181.16,12396.36,2026-05-19 23:59:59.999,2291480.9272
2026-05-20,181.16,188.42,178.75,186.51,18987.4,2026-05-20 23:59:59.999,3466060.3854
2026-05-21,186.52,193.01,185.87,190.94,18451.86,2026-05-21 23:59:59.999,3503578.6129
2026-05-22,191.06,197.11,189.5,190.93,16314.3,2026-05-22 23:59:59.999,3142361.3412
2026-05-23,190.95,196.18,189.79,195.82,6584.66,2026-05-23 23:59:59.999,1268438.6067
2026-05-24,195.73,196.82,193.59,194.28,5006.82,2026-05-24 23:59:59.999,976941.2649
2026-05-25,194.29,196.4,193.96,195.14,5464.23,2026-05-25 23:59:59.999,1067982.9802
2026-05-26,195.12,195.6,190.72,192.55,14205.33,2026-05-26 23:59:59.999,2742376.9807
2026-05-27,192.48,193.24,188.07,191.81,14956.28,2026-05-27 23:59:59.999,2850959.334
2026-05-28,191.8,212.37,187.75,211.12,48579.62,2026-05-28 23:59:59.999,9737584.1286
