open_time,open,high,low,close,volume,close_time,quote_asset_volume
2026-04-01,0.1937,0.1945,0.1435,0.1502,143690341.0,2026-04-01 23:59:59.999,22491630.6083
2026-04-02,0.1501,0.1601,0.1338,0.1442,76600236.0,2026-04-02 23:59:59.999,11221225.3431
2026-04-03,0.1442,0.1733,0.1366,0.144,66847205.0,2026-04-03 23:59:59.999,10108443.2679
2026-04-04,0.1441,0.188,0.1416,0.1652,81303385.0,2026-04-04 23:59:59.999,13481041.9959
2026-04-05,0.1652,0.2026,0.1546,0.1929,77414790.0,2026-04-05 23:59:59.999,13199568.2438
2026-04-06,0.1928,0.205,0.1655,0.1707,114803646.0,2026-04-06 23:59:59.999,21428493.6553
2026-04-07,0.1708,0.1802,0.1602,0.1707,43906265.0,2026-04-07 23:59:59.999,7422671.1156
2026-04-08,0.1708,0.1868,0.1621,0.1747,40569452.0,2026-04-08 23:59:59.999,7195234.0735
2026-04-09,0.1747,0.1858,0.1659,0.1685,37901092.0,2026-04-09 23:59:59.999,6668026.4975
2026-04-10,0.1684,0.1713,0.1576,0.1611,19917445.0,2026-04-10 23:59:59.999,3243653.9083
2026-04-11,0.161,0.1777,0.1608,0.1725,19606784.0,2026-04-11 23:59:59.999,3310841.0067
2026-04-12,0.1726,0.1949,0.1701,0.1846,38341085.0,2026-04-12 23:59:59.999,7030429.7505
2026-04-13,0.1846,0.1955,0.1656,0.1751,30716526.0,2026-04-13 23:59:59.999,5511997.4429
2026-04-14,0.1752,0.1803,0.1717,0.1792,21275440.0,2026-04-14 23:59:59.999,3729632.7808
2026-04-15,0.1793,0.1837,0.174,0.1807,22489452.0,2026-04-15 23:59:59.999,4033040.0753
2026-04-16,0.1806,0.4486,0.1768,0.2975,272106568.0,2026-04-16 23:59:59.999,85724652.7786
2026-04-17,0.2976,0.3598,0.2328,0.2481,229188565.0,2026-04-17 23:59:59.999,61735184.1678
2026-04-18,0.2482,0.2506,0.1788,0.1795,62907803.0,2026-04-18 23:59:59.999,13641707.4372
2026-04-19,0.1796,0.202,0.1737,0.1899,41079016.0,2026-04-19 23:59:59.999,7775495.7216
2026-04-20,0.1897,0.2418,0.1866,0.22,106734848.0,2026-04-20 23:59:59.999,23260785.3473
2026-04-21,0.2201,0.2436,0.2151,0.2265,61719120.0,2026-04-21 23:59:59.999,14020395.8015
2026-04-22,0.2266,0.279,0.2159,0.2331,114088499.0,2026-04-22 23:59:59.999,28251810.8269
2026-04-23,0.2331,0.2428,0.1929,0.2017,58932838.0,2026-04-23 23:59:59.999,12630206.1445
2026-04-24,0.2016,0.2179,0.1918,0.2054,40387084.0,2026-04-24 23:59:59.999,8323897.6682
2026-04-25,0.2055,0.2316,0.2042,0.2076,36599871.0,2026-04-25 23:59:59.999,7892113.843
2026-04-26,0.2077,0.2294,0.1991,0.2203,20654676.0,2026-04-26 23:59:59.999,4472032.9117
2026-04-27,0.2204,0.3627,0.215,0.3211,1420648829.0,2026-04-27 23:59:59.999,419218417.5629
2026-04-28,0.3211,0.4047,0.3034,0.3514,900370866.0,2026-04-28 23:59:59.999,322194569.3176
2026-04-29,0.3514,0.3764,0.3062,0.3131,283562799.0,2026-04-29 23:59:59.999,93996344.9771
2026-04-30,0.3132,0.3133,0.2785,0.281,82266597.0,2026-04-30 23:59:59.999,23875590.4441
2026-05-01,0.2808,0.2949,0.2492,0.2522,76386956.0,2026-05-01 23:59:59.999,20398449.5167
2026-05-02,0.2523,0.2819,0.2516,0.2625,68692240.0,2026-05-02 23:59:59.999,18060399.992
2026-05-03,0.2626,0.2631,0.2433,0.2527,27354693.0,2026-05-03 23:59:59.999,6864704.2725
2026-05-04,0.2526,0.2745,0.2412,0.2657,55536912.0,2026-05-04 23:59:59.999,14599868.6435
2026-05-05,0.2657,0.3333,0.2604,0.2834,196322771.0,2026-05-05 23:59:59.999,59743534.4186
2026-05-06,0.2834,0.2895,0.2572,0.2673,54321155.0,2026-05-06 23:59:59.999,14660806.148
2026-05-07,0.2673,0.2826,0.2578,0.2741,49139522.0,2026-05-07 23:59:59.999,13298009.5613
2026-05-08,0.2741,0.2869,0.2675,0.2835,41890366.0,2026-05-08 23:59:59.999,11645131.8729
2026-05-09,0.2834,0.3028,0.2775,0.2896,35452991.0,2026-05-09 23:59:59.999,10228322.6635
2026-05-10,0.2895,0.3055,0.261,0.2714,36898657.0,2026-05-10 23:59:59.999,10287464.236
2026-05-11,0.2714,0.2795,0.2651,0.2741,22498743.0,2026-05-11 23:59:59.999,6126291.747
2026-05-12,0.2741,0.2764,0.2451,0.2553,31472922.0,2026-05-12 23:59:59.999,8191124.3356
2026-05-13,0.2552,0.259,0.2429,0.2551,21666395.0,2026-05-13 23:59:59.999,5471013.4987
2026-05-14,0.2552,0.257,0.2455,0.2512,17304662.0,2026-05-14 23:59:59.999,4348675.8075
2026-05-15,0.2513,0.2551,0.2176,0.22,30816865.0,2026-05-15 23:59:59.999,7173302.4886
2026-05-16,0.22,0.2304,0.1957,0.2036,39316352.0,2026-05-16 23:59:59.999,8311613.2912
2026-05-17,0.2035,0.2125,0.1886,0.1992,24191966.0,2026-05-17 23:59:59.999,4983222.779
