open_time,open,high,low,close,volume,close_time,quote_asset_volume
2026-05-06,195.57,208.6,188.14,190.09,16247.95,2026-05-06 23:59:59.999,3175151.5191
2026-05-07,190.09,224.25,187.84,202.26,32522.52,2026-05-07 23:59:59.999,6750772.5756
2026-05-08,202.47,228.28,201.76,221.83,37766.2,2026-05-08 23:59:59.999,8163941.6038
2026-05-09,221.91,221.91,220.13,220.76,3558.21,2026-05-09 23:59:59.999,785872.1209
2026-05-10,220.89,227.98,210.41,224.6,14369.01,2026-05-10 23:59:59.999,3160513.2435
2026-05-11,224.28,248.17,218.12,239.27,81348.51,2026-05-11 23:59:59.999,19218001.779
2026-05-12,239.27,239.35,201.88,208.25,70426.98,2026-05-12 23:59:59.999,15334647.503
2026-05-13,208.14,223.22,203.93,215.34,58482.72,2026-05-13 23:59:59.999,12587307.428
2026-05-14,215.49,216.54,198.77,206.69,46239.13,2026-05-14 23:59:59.999,9543951.2235
2026-05-15,206.48,208.19,196.02,200.08,32258.65,2026-05-15 23:59:59.999,6534774.2178
2026-05-16,200.31,201.77,196.71,200.24,4682.5,2026-05-16 23:59:59.999,932602.0861
2026-05-17,200.17,206.22,199.59,202.46,4926.13,2026-05-17 23:59:59.999,1003278.8238
2026-05-18,202.57,210.84,193.74,203.76,17140.79,2026-05-18 23:59:59.999,3446620.3645
2026-05-19,203.71,204.86,191.93,196.44,18401.14,2026-05-19 23:59:59.999,3635925.8213
2026-05-20,196.42,203.83,194.24,200.19,24752.63,2026-05-20 23:59:59.999,4949924.5911
2026-05-21,200.17,214.57,198.33,214.5,27357.37,2026-05-21 23:59:59.999,5631843.2009
2026-05-22,214.58,243.48,210.51,237.68,86295.32,2026-05-22 23:59:59.999,20123487.9828
2026-05-23,237.45,244.41,236.15,244.14,18412.98,2026-05-23 23:59:59.999,4420302.2442
2026-05-24,244.25,247.99,243.2,246.87,13561.55,2026-05-24 23:59:59.999,3334764.5836
2026-05-25,246.83,250.82,244.5,245.45,12564.0,2026-05-25 23:59:59.999,3106223.7801
2026-05-26,245.42,258.61,236.55,249.29,101584.38,2026-05-26 23:59:59.999,25258997.4689
2026-05-27,249.39,255.04,224.31,231.28,92770.8,2026-05-27 23:59:59.999,22042950.1349
2026-05-28,231.43,249.86,222.35,245.56,77694.43,2026-05-28 23:59:59.999,18473216.3942
