open_time,open,high,low,close,volume,close_time,quote_asset_volume
2025-10-17,4.5,4.671,2.92,3.728,22319868.6,2025-10-17 23:59:59.999,81379256.677
2025-10-18,3.726,5.465,3.087,4.357,43012922.5,2025-10-18 23:59:59.999,182410808.5071
2025-10-19,4.357,4.615,3.573,3.999,26685052.7,2025-10-19 23:59:59.999,107739027.7959
2025-10-20,3.999,4.359,3.432,4.231,11272612.9,2025-10-20 23:59:59.999,43887586.5869
2025-10-21,4.23,8.977,3.932,5.544,52871701.3,2025-10-21 23:59:59.999,327878435.2244
2025-10-22,5.544,8.77,4.639,8.133,52337997.1,2025-10-22 23:59:59.999,366582155.7662
2025-10-23,8.133,10.446,7.352,9.726,47947956.8,2025-10-23 23:59:59.999,423439119.8117
2025-10-24,9.727,10.424,6.607,6.713,28137177.7,2025-10-24 23:59:59.999,244222958.9512
2025-10-25,6.714,7.886,6.408,7.511,14721940.6,2025-10-25 23:59:59.999,103606828.4394
2025-10-26,7.514,7.67,6.905,7.293,6782094.0,2025-10-26 23:59:59.999,49140842.2394
2025-10-27,7.291,7.765,6.608,7.251,8133960.6,2025-10-27 23:59:59.999,58229172.0416
2025-10-28,7.249,8.699,6.898,8.143,21831484.7,2025-10-28 23:59:59.999,174116911.3983
2025-10-29,8.141,8.438,7.607,8.204,6995965.3,2025-10-29 23:59:59.999,55735451.1134
2025-10-30,8.203,8.434,7.349,7.415,4749267.9,2025-10-30 23:59:59.999,36987410.874
2025-10-31,7.414,8.0,6.962,7.394,5025791.7,2025-10-31 23:59:59.999,37472144.3257
2025-11-01,7.394,7.499,7.1,7.302,1683789.9,2025-11-01 23:59:59.999,12276276.9546
2025-11-02,7.301,8.5,6.91,7.574,4376214.9,2025-11-02 23:59:59.999,33107505.8676
2025-11-03,7.574,8.11,7.021,8.015,3944149.0,2025-11-03 23:59:59.999,29274122.9503
2025-11-04,8.015,8.051,6.9,7.292,4713882.2,2025-11-04 23:59:59.999,35850270.1517
2025-11-05,7.292,7.609,6.977,7.299,1968102.9,2025-11-05 23:59:59.999,14270824.4969
2025-11-06,7.299,8.179,6.51,7.917,5469638.0,2025-11-06 23:59:59.999,41070903.65
2025-11-07,7.922,7.957,7.195,7.28,3206964.5,2025-11-07 23:59:59.999,24248032.1452
2025-11-08,7.28,7.561,6.719,6.757,1840352.9,2025-11-08 23:59:59.999,13059319.1599
2025-11-09,6.756,8.062,6.596,7.257,6417308.8,2025-11-09 23:59:59.999,47204714.0
2025-11-10,7.257,7.323,7.001,7.233,1311137.2,2025-11-10 23:59:59.999,9378225.655
2025-11-11,7.235,7.508,7.08,7.268,1418247.0,2025-11-11 23:59:59.999,10346276.859
2025-11-12,7.268,7.95,7.233,7.275,1640102.6,2025-11-12 23:59:59.999,12229898.2729
2025-11-13,7.275,7.341,7.0,7.111,966579.9,2025-11-13 23:59:59.999,6929116.8769
2025-11-14,7.11,7.135,3.78,4.171,13476633.1,2025-11-14 23:59:59.999,62668446.1043
2025-11-15,4.17,5.14,3.42,4.626,23841816.0,2025-11-15 23:59:59.999,104539747.6636
2025-11-16,4.626,4.828,3.64,4.078,9466061.2,2025-11-16 23:59:59.999,39254365.2239
2025-11-17,4.078,4.123,3.519,3.954,4946148.3,2025-11-17 23:59:59.999,18929623.9786
