open_time,open,high,low,close,volume,close_time,quote_asset_volume
2025-11-07,0.2758,0.3151,0.2725,0.3097,14261436.6,2025-11-07 23:59:59.999,4171026.34061
2025-11-08,0.3098,0.3128,0.2963,0.3043,5392277.6,2025-11-08 23:59:59.999,1639475.21292
2025-11-09,0.3044,0.3078,0.2932,0.3031,3780309.7,2025-11-09 23:59:59.999,1136389.57998
2025-11-10,0.3032,0.3099,0.2958,0.2996,4260742.9,2025-11-10 23:59:59.999,1293067.84677
2025-11-11,0.2999,0.3044,0.278,0.2785,5565094.8,2025-11-11 23:59:59.999,1612865.56255
2025-11-12,0.2785,0.2916,0.2731,0.2742,4507874.2,2025-11-12 23:59:59.999,1271335.39533
2025-11-13,0.2741,0.3044,0.2612,0.2668,8611245.9,2025-11-13 23:59:59.999,2377026.13859
2025-11-14,0.2666,0.2695,0.2557,0.2603,4997032.6,2025-11-14 23:59:59.999,1317500.79386
2025-11-15,0.2602,0.2698,0.2593,0.2608,4363651.7,2025-11-15 23:59:59.999,1148787.54614
2025-11-16,0.2607,0.2636,0.2388,0.2441,5283497.9,2025-11-16 23:59:59.999,1332841.1355
2025-11-17,0.244,0.2507,0.2316,0.2375,6534632.6,2025-11-17 23:59:59.999,1582093.43854
2025-11-18,0.2376,0.2631,0.2332,0.2527,10096430.1,2025-11-18 23:59:59.999,2518392.73905
2025-11-19,0.2527,0.2552,0.2299,0.243,6876425.8,2025-11-19 23:59:59.999,1674385.84359
2025-11-20,0.2429,0.2555,0.2275,0.2313,7319508.4,2025-11-20 23:59:59.999,1767298.51332
2025-11-21,0.2313,0.2371,0.2078,0.2181,10694995.8,2025-11-21 23:59:59.999,2342607.95482
2025-11-22,0.2179,0.2203,0.197,0.1996,7693192.7,2025-11-22 23:59:59.999,1590919.07342
2025-11-23,0.1996,0.2018,0.1873,0.188,15579826.6,2025-11-23 23:59:59.999,3035976.66025
2025-11-24,0.188,0.1919,0.1793,0.1869,17874282.9,2025-11-24 23:59:59.999,3318004.90547
2025-11-25,0.187,0.194,0.1736,0.1931,20402840.6,2025-11-25 23:59:59.999,3712705.75856
2025-11-26,0.193,0.1947,0.182,0.1862,14048907.6,2025-11-26 23:59:59.999,2622376.39595
2025-11-27,0.1862,0.1904,0.1774,0.1785,15235289.5,2025-11-27 23:59:59.999,2784085.53607
2025-11-28,0.1785,0.1835,0.1751,0.177,11506529.7,2025-11-28 23:59:59.999,2056733.33413
2025-11-29,0.177,0.1779,0.1678,0.1698,12472621.8,2025-11-29 23:59:59.999,2139727.21007
2025-11-30,0.1698,0.171,0.1656,0.1659,9982084.5,2025-11-30 23:59:59.999,1680247.53498
2025-12-01,0.166,0.1661,0.149,0.1538,16006911.5,2025-12-01 23:59:59.999,2471884.71073
2025-12-02,0.1539,0.169,0.1517,0.166,10584482.3,2025-12-02 23:59:59.999,1694347.29372
2025-12-03,0.166,0.1757,0.1651,0.1737,9966338.5,2025-12-03 23:59:59.999,1692924.26995
2025-12-04,0.1738,0.1755,0.1628,0.1649,8275540.4,2025-12-04 23:59:59.999,1398288.14148
2025-12-05,0.1649,0.1663,0.1529,0.1591,9289967.4,2025-12-05 23:59:59.999,1477657.0944
