open_time,open,high,low,close,volume,close_time,quote_asset_volume
2026-05-15,162.95,175.75,160.33,161.84,37692.8,2026-05-15 23:59:59.999,6343454.7906
2026-05-16,161.86,164.1,161.44,163.11,5900.57,2026-05-16 23:59:59.999,960356.338
2026-05-17,163.48,166.38,161.32,162.48,8460.67,2026-05-17 23:59:59.999,1391169.8128
2026-05-18,162.48,175.82,143.3,152.81,147198.38,2026-05-18 23:59:59.999,23006818.1538
2026-05-19,152.88,160.33,135.2,154.2,319973.78,2026-05-19 23:59:59.999,47232067.5396
2026-05-20,154.14,175.08,148.58,169.68,260583.87,2026-05-20 23:59:59.999,42810856.2704
2026-05-21,169.54,179.98,167.27,179.62,298834.99,2026-05-21 23:59:59.999,51877107.5183
2026-05-22,179.62,195.37,177.61,188.44,251985.28,2026-05-22 23:59:59.999,47038850.8947
2026-05-23,188.43,209.85,187.31,195.17,79219.32,2026-05-23 23:59:59.999,15405062.1138
2026-05-24,195.24,203.69,195.24,198.63,70764.38,2026-05-24 23:59:59.999,14069684.5942
2026-05-25,198.67,210.81,197.8,206.02,75288.23,2026-05-25 23:59:59.999,15459051.5457
2026-05-26,206.03,230.96,200.97,230.46,288228.65,2026-05-26 23:59:59.999,62343823.7401
2026-05-27,230.47,256.19,205.3,211.63,1486728.91,2026-05-27 23:59:59.999,332119116.1814
2026-05-28,211.71,232.12,200.12,227.6,759289.67,2026-05-28 23:59:59.999,163994671.8302
