open_time,open,high,low,close,volume,close_time,quote_asset_volume
2025-11-06,0.058,0.07742,0.02222,0.04256,1478371042.0,2025-11-06 23:59:59.999,76620197.25523
2025-11-07,0.04257,0.0749,0.03816,0.05402,1274822938.0,2025-11-07 23:59:59.999,67294226.24537
2025-11-08,0.05402,0.06722,0.0516,0.05511,1171843116.0,2025-11-08 23:59:59.999,69533780.2055
2025-11-09,0.05512,0.06076,0.04724,0.05182,501435808.0,2025-11-09 23:59:59.999,27598555.66002
2025-11-10,0.05183,0.05886,0.04892,0.05007,314097631.0,2025-11-10 23:59:59.999,17233481.91253
2025-11-11,0.05006,0.05207,0.04454,0.04464,242464396.0,2025-11-11 23:59:59.999,11521312.67286
2025-11-12,0.04468,0.05177,0.04423,0.048,245211667.0,2025-11-12 23:59:59.999,11847028.841
2025-11-13,0.048,0.05044,0.04,0.04304,206930207.0,2025-11-13 23:59:59.999,9551990.70434
2025-11-14,0.04302,0.04501,0.03396,0.0371,271335378.0,2025-11-14 23:59:59.999,10834945.69272
2025-11-15,0.0371,0.0439,0.03553,0.04303,238767807.0,2025-11-15 23:59:59.999,9571523.20319
2025-11-16,0.04303,0.044,0.03694,0.03835,197962419.0,2025-11-16 23:59:59.999,7834284.2236
2025-11-17,0.0383,0.03954,0.03352,0.03513,157009585.0,2025-11-17 23:59:59.999,5751351.92023
2025-11-18,0.03512,0.03685,0.03227,0.03506,166408912.0,2025-11-18 23:59:59.999,5721719.60407
2025-11-19,0.03507,0.0365,0.0328,0.03421,124289366.0,2025-11-19 23:59:59.999,4299013.33098
2025-11-20,0.03425,0.03568,0.027,0.02801,185848427.0,2025-11-20 23:59:59.999,5757638.38521
2025-11-21,0.02799,0.0295,0.02524,0.02671,233881314.0,2025-11-21 23:59:59.999,6389385.57996
2025-11-22,0.02667,0.03116,0.02525,0.0297,387570597.0,2025-11-22 23:59:59.999,10901852.00087
2025-11-23,0.0297,0.03364,0.02721,0.02772,315201092.0,2025-11-23 23:59:59.999,9335337.90047
2025-11-24,0.02773,0.0294,0.02524,0.02586,235245890.0,2025-11-24 23:59:59.999,6364999.32232
2025-11-25,0.02589,0.0336,0.02419,0.02786,614252471.0,2025-11-25 23:59:59.999,18359973.10861
2025-11-26,0.02788,0.03856,0.02633,0.03468,434622604.0,2025-11-26 23:59:59.999,14256303.08688
2025-11-27,0.0347,0.04444,0.03237,0.03748,545732992.0,2025-11-27 23:59:59.999,20157719.40958
2025-11-28,0.03752,0.03788,0.03095,0.03432,213537580.0,2025-11-28 23:59:59.999,7204119.71629
2025-11-29,0.03424,0.03517,0.0281,0.02923,183172864.0,2025-11-29 23:59:59.999,5676942.71062
2025-11-30,0.02923,0.03153,0.02783,0.02804,142257733.0,2025-11-30 23:59:59.999,4169908.51692
2025-12-01,0.0281,0.03218,0.0258,0.02583,231885200.0,2025-12-01 23:59:59.999,6662619.36644
2025-12-02,0.02583,0.03554,0.02359,0.03249,360272603.0,2025-12-02 23:59:59.999,10834112.97683
2025-12-03,0.03249,0.03424,0.02961,0.0313,282757363.0,2025-12-03 23:59:59.999,8996557.10566
2025-12-04,0.03129,0.03328,0.02716,0.02908,158028738.0,2025-12-04 23:59:59.999,4668065.15836
2025-12-05,0.02907,0.03316,0.026,0.03226,244217293.0,2025-12-05 23:59:59.999,7158966.37163
2025-12-06,0.03232,0.036,0.03001,0.03019,582748938.0,2025-12-06 23:59:59.999,19414791.75486
2025-12-07,0.03017,0.035,0.0281,0.0349,492167152.0,2025-12-07 23:59:59.999,15829297.12115
2025-12-08,0.03487,0.039,0.01834,0.02153,13013502250.0,2025-12-08 23:59:59.999,304242114.96394
2025-12-09,0.02153,0.02262,0.0152,0.0179,14428657441.0,2025-12-09 23:59:59.999,255379559.099
2025-12-10,0.0179,0.02257,0.01621,0.01778,7802049323.0,2025-12-10 23:59:59.999,151087969.44193
2025-12-11,0.01777,0.019,0.01251,0.01475,15234948867.0,2025-12-11 23:59:59.999,235870156.02293
2025-12-12,0.01475,0.01576,0.01334,0.0157,15610080790.0,2025-12-12 23:59:59.999,228699433.86767
2025-12-13,0.01571,0.01669,0.01469,0.01538,14783623082.0,2025-12-13 23:59:59.999,229980289.35464
2025-12-14,0.01537,0.0163,0.01404,0.01475,6660899564.0,2025-12-14 23:59:59.999,102049532.01866
2025-12-15,0.01475,0.01615,0.01414,0.01507,7393800113.0,2025-12-15 23:59:59.999,110502640.25136
2025-12-16,0.01507,0.01533,0.01421,0.01442,13408460171.0,2025-12-16 23:59:59.999,198811836.74745
2025-12-17,0.01442,0.01447,0.0112,0.01132,6543475573.0,2025-12-17 23:59:59.999,87606808.94526
2025-12-18,0.01133,0.01237,0.01024,0.01114,9461550598.0,2025-12-18 23:59:59.999,104202903.81088
2025-12-19,0.01114,0.01349,0.01041,0.01247,4163712489.0,2025-12-19 23:59:59.999,48585921.1174
2025-12-20,0.01247,0.01363,0.01172,0.01277,2177410525.0,2025-12-20 23:59:59.999,27062310.14369
2025-12-21,0.01276,0.01289,0.01117,0.01119,1468949946.0,2025-12-21 23:59:59.999,17617795.43973
2025-12-22,0.0112,0.01162,0.010041,0.010301,2395776466.0,2025-12-22 23:59:59.999,25963613.31692
2025-12-23,0.010301,0.010417,0.0091,0.009509,3095925380.0,2025-12-23 23:59:59.999,29893083.301199
2025-12-24,0.009509,0.010212,0.009179,0.009737,1697945096.0,2025-12-24 23:59:59.999,16326498.70107
2025-12-25,0.009737,0.01197,0.009285,0.010839,3463652880.0,2025-12-25 23:59:59.999,37378104.788416
2025-12-26,0.010838,0.013174,0.010632,0.012263,4033893685.0,2025-12-26 23:59:59.999,47356731.911893
2025-12-27,0.012264,0.015175,0.012046,0.014017,6043894560.0,2025-12-27 23:59:59.999,81539319.897853
2025-12-28,0.01402,0.014264,0.012293,0.0132,2605741598.0,2025-12-28 23:59:59.999,33835730.949015
2025-12-29,0.013206,0.014333,0.012829,0.013498,1616757592.0,2025-12-29 23:59:59.999,21886339.341066
2025-12-30,0.013498,0.014036,0.012674,0.013821,1427791477.0,2025-12-30 23:59:59.999,19149639.624903
2025-12-31,0.013818,0.0148,0.0132,0.013949,1686453631.0,2025-12-31 23:59:59.999,23641642.3476
2026-01-01,0.013948,0.015516,0.01364,0.014712,1308878949.0,2026-01-01 23:59:59.999,18998524.38844
2026-01-02,0.01471,0.017625,0.01408,0.017479,1647689724.0,2026-01-02 23:59:59.999,25362939.861036
2026-01-03,0.017479,0.019135,0.016415,0.016959,3535602423.0,2026-01-03 23:59:59.999,62485249.462716
2026-01-04,0.016958,0.017106,0.01615,0.016956,1106830987.0,2026-01-04 23:59:59.999,18395468.494706
2026-01-05,0.016952,0.017391,0.015031,0.015526,1066681695.0,2026-01-05 23:59:59.999,16919082.842545
2026-01-06,0.015529,0.01634,0.014851,0.015536,829384060.0,2026-01-06 23:59:59.999,12844508.226078
2026-01-07,0.015535,0.015614,0.014063,0.014115,733233329.0,2026-01-07 23:59:59.999,10930749.809595
2026-01-08,0.014116,0.015155,0.013764,0.014741,844219422.0,2026-01-08 23:59:59.999,12164366.907313
2026-01-09,0.01474,0.016037,0.014237,0.014523,969560002.0,2026-01-09 23:59:59.999,14754274.369137
