open_time,open,high,low,close,volume,close_time,quote_asset_volume
2025-11-07,0.1454,0.1629,0.1427,0.1576,48750024.0,2025-11-07 23:59:59.999,7421418.3465
2025-11-08,0.1575,0.1635,0.149,0.1561,25909224.0,2025-11-08 23:59:59.999,4022831.8398
2025-11-09,0.1561,0.1648,0.1464,0.1555,41963907.0,2025-11-09 23:59:59.999,6534414.2137
2025-11-10,0.1554,0.197,0.1539,0.1702,279776984.0,2025-11-10 23:59:59.999,49760333.5267
2025-11-11,0.1702,0.1752,0.141,0.1537,152323166.0,2025-11-11 23:59:59.999,24385006.7535
2025-11-12,0.1538,0.1597,0.1454,0.1475,46704518.0,2025-11-12 23:59:59.999,7145136.5723
2025-11-13,0.1476,0.1545,0.1386,0.1441,47081965.0,2025-11-13 23:59:59.999,6922074.6463
2025-11-14,0.1441,0.1451,0.1331,0.1382,43439668.0,2025-11-14 23:59:59.999,6048743.069
2025-11-15,0.1382,0.1443,0.1375,0.1415,20525578.0,2025-11-15 23:59:59.999,2908928.1406
2025-11-16,0.1414,0.1577,0.1386,0.1473,140927274.0,2025-11-16 23:59:59.999,20773507.59
2025-11-17,0.1472,0.1539,0.1372,0.142,71053756.0,2025-11-17 23:59:59.999,10441232.0641
2025-11-18,0.142,0.1457,0.1368,0.1411,28225978.0,2025-11-18 23:59:59.999,3996375.1213
2025-11-19,0.141,0.1456,0.1341,0.1404,29009995.0,2025-11-19 23:59:59.999,4058290.9221
2025-11-20,0.1405,0.1472,0.1336,0.1357,33380656.0,2025-11-20 23:59:59.999,4684997.7902
2025-11-21,0.1358,0.1565,0.1176,0.1439,153944633.0,2025-11-21 23:59:59.999,21707917.0223
2025-11-22,0.1439,0.1528,0.1361,0.1409,97608227.0,2025-11-22 23:59:59.999,14019951.5926
2025-11-23,0.1408,0.1412,0.134,0.1348,27913497.0,2025-11-23 23:59:59.999,3839956.5321
2025-11-24,0.1348,0.1449,0.1336,0.1423,32036824.0,2025-11-24 23:59:59.999,4456493.0524
2025-11-25,0.1422,0.1602,0.1407,0.1481,93734048.0,2025-11-25 23:59:59.999,13948017.8227
2025-11-26,0.1482,0.1495,0.1406,0.1491,25009675.0,2025-11-26 23:59:59.999,3641199.2246
2025-11-27,0.1492,0.152,0.143,0.1458,26076549.0,2025-11-27 23:59:59.999,3852263.3157
2025-11-28,0.1458,0.1469,0.1393,0.1422,14029178.0,2025-11-28 23:59:59.999,2010385.2649
2025-11-29,0.1422,0.1434,0.1344,0.1354,16281578.0,2025-11-29 23:59:59.999,2263609.0479
2025-11-30,0.1355,0.1357,0.1288,0.13,15423085.0,2025-11-30 23:59:59.999,2046397.2647
2025-12-01,0.1301,0.1303,0.1163,0.1214,44129081.0,2025-12-01 23:59:59.999,5332911.5805
2025-12-02,0.1215,0.1284,0.1185,0.127,21733166.0,2025-12-02 23:59:59.999,2679919.0717
2025-12-03,0.1271,0.1321,0.1253,0.1305,18415951.0,2025-12-03 23:59:59.999,2380742.6544
2025-12-04,0.1304,0.1347,0.1292,0.1325,33193141.0,2025-12-04 23:59:59.999,4400734.9999
2025-12-05,0.1324,0.1337,0.1225,0.1249,22272806.0,2025-12-05 23:59:59.999,2860130.1393
2025-12-06,0.1249,0.1281,0.1239,0.127,10810192.0,2025-12-06 23:59:59.999,1362911.1351
2025-12-07,0.127,0.1344,0.1178,0.1207,31797806.0,2025-12-07 23:59:59.999,3978822.5509
2025-12-08,0.1207,0.1255,0.1203,0.1226,14530434.0,2025-12-08 23:59:59.999,1789777.9061
2025-12-09,0.1226,0.1299,0.1204,0.1259,17313611.0,2025-12-09 23:59:59.999,2162198.8789
2025-12-10,0.1258,0.1271,0.1203,0.1215,14251142.0,2025-12-10 23:59:59.999,1762322.7176
2025-12-11,0.1215,0.1218,0.1154,0.1189,24803264.0,2025-12-11 23:59:59.999,2925921.3781
2025-12-12,0.1188,0.1205,0.1132,0.1153,21292535.0,2025-12-12 23:59:59.999,2498018.6653
2025-12-13,0.1153,0.1176,0.1141,0.1176,9322303.0,2025-12-13 23:59:59.999,1079129.8911
2025-12-14,0.1175,0.1214,0.1103,0.1114,21428197.0,2025-12-14 23:59:59.999,2489357.4732
2025-12-15,0.1114,0.1145,0.1058,0.1089,20711296.0,2025-12-15 23:59:59.999,2288085.5401
2025-12-16,0.1089,0.1112,0.1043,0.1109,19079336.0,2025-12-16 23:59:59.999,2057200.8592
2025-12-17,0.1109,0.1109,0.101,0.1018,25463226.0,2025-12-17 23:59:59.999,2697739.0051
2025-12-18,0.1019,0.1043,0.0931,0.0958,33176226.0,2025-12-18 23:59:59.999,3290849.119
2025-12-19,0.0959,0.1023,0.0946,0.1016,23059970.0,2025-12-19 23:59:59.999,2267698.2666
2025-12-20,0.1015,0.1083,0.1011,0.1074,51566935.0,2025-12-20 23:59:59.999,5422296.7003
2025-12-21,0.1074,0.1079,0.0997,0.1017,24486428.0,2025-12-21 23:59:59.999,2531807.1402
2025-12-22,0.1018,0.106,0.0997,0.1041,20442635.0,2025-12-22 23:59:59.999,2117077.0319
2025-12-23,0.1042,0.1063,0.1001,0.1055,16137910.0,2025-12-23 23:59:59.999,1661876.7182
2025-12-24,0.1055,0.1152,0.1055,0.1117,99584373.0,2025-12-24 23:59:59.999,10986729.0208
2025-12-25,0.1118,0.1178,0.108,0.1083,60987973.0,2025-12-25 23:59:59.999,6907717.025
2025-12-26,0.1083,0.1158,0.1068,0.1081,36981957.0,2025-12-26 23:59:59.999,4108946.3156
2025-12-27,0.1082,0.1097,0.1065,0.1088,18025632.0,2025-12-27 23:59:59.999,1943386.4774
2025-12-28,0.1088,0.1098,0.1025,0.1042,17233976.0,2025-12-28 23:59:59.999,1832445.3336
2025-12-29,0.1042,0.1141,0.1037,0.1069,40448835.0,2025-12-29 23:59:59.999,4408024.2506
2025-12-30,0.1068,0.1095,0.1031,0.1072,24265158.0,2025-12-30 23:59:59.999,2581203.1568
2025-12-31,0.1073,0.1079,0.1012,0.1032,19793880.0,2025-12-31 23:59:59.999,2075884.538
2026-01-01,0.1033,0.108,0.1019,0.1077,16108354.0,2026-01-01 23:59:59.999,1688181.2048
2026-01-02,0.1077,0.1165,0.1071,0.1143,47397448.0,2026-01-02 23:59:59.999,5328944.9168
2026-01-03,0.1143,0.1158,0.1106,0.113,21427416.0,2026-01-03 23:59:59.999,2421348.0922
