open_time,open,high,low,close,volume,close_time,quote_asset_volume
2026-04-06,342.5,344.3,338.65,341.87,2730.77,2026-04-06 23:59:59.999,934162.5403
2026-04-07,341.75,364.83,335.63,360.59,4370.89,2026-04-07 23:59:59.999,1499637.0805
2026-04-08,360.57,375.31,359.13,362.91,4311.59,2026-04-08 23:59:59.999,1572606.2432
2026-04-09,362.88,368.52,359.23,366.27,2766.16,2026-04-09 23:59:59.999,1004942.4368
2026-04-10,366.49,378.0,366.07,371.49,5608.32,2026-04-10 23:59:59.999,2090602.7467
2026-04-11,371.29,372.53,369.65,371.19,808.03,2026-04-11 23:59:59.999,300055.6116
2026-04-12,370.99,372.15,365.0,369.55,3148.32,2026-04-12 23:59:59.999,1161200.373
2026-04-13,370.05,371.98,358.9,371.5,4446.59,2026-04-13 23:59:59.999,1636528.6313
2026-04-14,371.34,384.97,370.94,384.41,3929.05,2026-04-14 23:59:59.999,1486102.8421
2026-04-15,384.53,386.27,372.38,377.12,7186.67,2026-04-15 23:59:59.999,2735209.5015
2026-04-16,377.19,386.78,355.26,365.04,17913.33,2026-04-16 23:59:59.999,6645110.626
2026-04-17,365.11,375.91,364.36,369.83,5632.63,2026-04-17 23:59:59.999,2080596.3211
2026-04-18,369.84,370.82,368.02,369.12,1383.7,2026-04-18 23:59:59.999,510843.5806
2026-04-19,369.12,370.6,365.83,369.13,2879.51,2026-04-19 23:59:59.999,1059381.8614
2026-04-20,369.02,370.39,363.62,366.67,4822.82,2026-04-20 23:59:59.999,1769070.2641
2026-04-21,366.57,371.18,364.88,369.94,2794.09,2026-04-21 23:59:59.999,1030207.3492
2026-04-22,370.09,388.51,369.74,385.46,4409.58,2026-04-22 23:59:59.999,1669173.9349
2026-04-23,385.41,389.57,376.04,384.05,8777.26,2026-04-23 23:59:59.999,3356056.3157
2026-04-24,383.9,410.73,383.32,404.56,12048.17,2026-04-24 23:59:59.999,4800662.1821
2026-04-25,404.2,409.24,403.52,404.57,3243.27,2026-04-25 23:59:59.999,1312844.0812
2026-04-26,404.61,410.39,403.5,404.26,10987.14,2026-04-26 23:59:59.999,4456477.1773
2026-04-27,404.04,422.43,400.93,406.8,22281.46,2026-04-27 23:59:59.999,9181247.7153
2026-04-28,406.94,409.98,385.33,396.31,15666.05,2026-04-28 23:59:59.999,6167990.0033
2026-04-29,396.5,399.32,387.5,398.75,11836.28,2026-04-29 23:59:59.999,4649629.3643
2026-04-30,398.85,402.5,386.09,394.21,10176.39,2026-04-30 23:59:59.999,4014866.2536
2026-05-01,394.98,403.89,392.9,397.26,7585.7,2026-05-01 23:59:59.999,3019183.1895
2026-05-02,397.35,398.88,397.28,398.3,1409.11,2026-05-02 23:59:59.999,560736.5054
2026-05-03,398.48,406.49,389.16,398.35,3036.13,2026-05-03 23:59:59.999,1211926.3605
2026-05-04,398.45,408.28,395.58,400.66,58171.13,2026-05-04 23:59:59.999,23404505.4465
2026-05-05,400.74,406.34,393.12,399.28,10308.87,2026-05-05 23:59:59.999,4111528.7436
2026-05-06,399.17,420.8,395.21,417.8,14899.11,2026-05-06 23:59:59.999,6097001.7178
2026-05-07,417.76,423.73,407.43,415.13,11831.0,2026-05-07 23:59:59.999,4929976.7858
2026-05-08,415.22,418.14,401.52,411.47,9831.73,2026-05-08 23:59:59.999,4048124.3714
2026-05-09,411.49,412.43,410.41,411.14,1824.49,2026-05-09 23:59:59.999,750473.3749
2026-05-10,411.18,413.2,407.2,411.47,2367.88,2026-05-10 23:59:59.999,973278.6441
2026-05-11,411.36,411.49,398.78,404.63,10118.97,2026-05-11 23:59:59.999,4099486.6959
2026-05-12,404.63,405.99,386.23,394.91,12579.43,2026-05-12 23:59:59.999,4982123.4088
2026-05-13,394.99,405.12,392.03,401.98,10911.0,2026-05-13 23:59:59.999,4352576.5812
2026-05-14,401.89,422.21,398.04,418.3,18214.17,2026-05-14 23:59:59.999,7508710.2938
2026-05-15,418.55,422.08,401.46,402.83,14939.66,2026-05-15 23:59:59.999,6093919.272
2026-05-16,402.95,404.25,397.7,400.58,1929.45,2026-05-16 23:59:59.999,772084.8548
2026-05-17,400.59,403.54,398.94,401.63,1222.13,2026-05-17 23:59:59.999,490356.5542
2026-05-18,401.6,411.0,391.32,397.1,12126.33,2026-05-18 23:59:59.999,4849816.3129
2026-05-19,397.12,399.0,385.32,393.9,8730.22,2026-05-19 23:59:59.999,3425141.0454
2026-05-20,393.75,404.84,390.65,400.6,8896.46,2026-05-20 23:59:59.999,3548910.1688
2026-05-21,400.62,411.8,398.47,408.56,13080.56,2026-05-21 23:59:59.999,5295515.5831
2026-05-22,408.67,411.0,403.35,403.36,6531.29,2026-05-22 23:59:59.999,2662775.3804
2026-05-23,403.36,412.45,401.28,411.76,6216.75,2026-05-23 23:59:59.999,2536482.9662
2026-05-24,411.79,415.15,408.1,412.6,4117.75,2026-05-24 23:59:59.999,1698314.6417
2026-05-25,412.62,418.6,410.89,416.17,3703.13,2026-05-25 23:59:59.999,1536787.111
2026-05-26,416.17,418.58,409.39,415.98,13712.84,2026-05-26 23:59:59.999,5666459.7967
2026-05-27,416.01,434.42,414.18,421.81,46824.87,2026-05-27 23:59:59.999,19816971.3474
2026-05-28,421.78,427.86,402.76,425.0,31750.8,2026-05-28 23:59:59.999,13303763.7788
