open_time,open,high,low,close,volume,close_time,quote_asset_volume
2025-11-06,0.1272,0.2576,0.022,0.0729,3025393977.0,2025-11-06 23:59:59.999,324263966.5044
2025-11-07,0.0729,0.2992,0.0621,0.2455,3329277417.0,2025-11-07 23:59:59.999,475256131.8886
2025-11-08,0.2455,0.2715,0.1473,0.1837,1942671018.0,2025-11-08 23:59:59.999,360616515.0444
2025-11-09,0.1837,0.2347,0.141,0.1754,1077102422.0,2025-11-09 23:59:59.999,201565186.1479
2025-11-10,0.1755,0.1872,0.1442,0.1592,530708154.0,2025-11-10 23:59:59.999,88234572.0771
2025-11-11,0.1592,0.2038,0.1492,0.1781,806391157.0,2025-11-11 23:59:59.999,143732228.9042
2025-11-12,0.1781,0.2468,0.156,0.1713,1436571267.0,2025-11-12 23:59:59.999,296517296.2496
2025-11-13,0.1713,0.1905,0.1513,0.1673,488516997.0,2025-11-13 23:59:59.999,83396189.1886
2025-11-14,0.1674,0.206,0.1644,0.1778,618969521.0,2025-11-14 23:59:59.999,113644038.4922
2025-11-15,0.1778,0.2249,0.1756,0.1906,878877147.0,2025-11-15 23:59:59.999,181045212.3665
2025-11-16,0.1907,0.1985,0.1613,0.1882,303023360.0,2025-11-16 23:59:59.999,54409913.9538
2025-11-17,0.1881,0.2227,0.1678,0.1832,629891444.0,2025-11-17 23:59:59.999,126572865.4185
2025-11-18,0.1832,0.2187,0.1805,0.2151,384257133.0,2025-11-18 23:59:59.999,75647773.6438
2025-11-19,0.2152,0.2291,0.1842,0.2017,358114228.0,2025-11-19 23:59:59.999,73593285.2308
2025-11-20,0.2018,0.216,0.1792,0.1973,220545892.0,2025-11-20 23:59:59.999,43939460.9474
2025-11-21,0.1974,0.2098,0.1624,0.1813,277999447.0,2025-11-21 23:59:59.999,51959774.9307
2025-11-22,0.1813,0.1968,0.1711,0.1797,143307086.0,2025-11-22 23:59:59.999,25932692.7472
2025-11-23,0.1798,0.1847,0.1635,0.1694,103538210.0,2025-11-23 23:59:59.999,18107063.9563
2025-11-24,0.1694,0.1766,0.1312,0.1354,203209111.0,2025-11-24 23:59:59.999,30401801.9208
2025-11-25,0.1353,0.1374,0.1145,0.1286,325363711.0,2025-11-25 23:59:59.999,40223632.5429
2025-11-26,0.1286,0.1358,0.1215,0.1293,134456876.0,2025-11-26 23:59:59.999,17214966.6295
2025-11-27,0.1293,0.1327,0.1223,0.1252,79095707.0,2025-11-27 23:59:59.999,10051408.8296
2025-11-28,0.1251,0.1391,0.1225,0.129,99727026.0,2025-11-28 23:59:59.999,12970343.1279
2025-11-29,0.129,0.1369,0.1158,0.1217,83231444.0,2025-11-29 23:59:59.999,10644446.3252
2025-11-30,0.1217,0.1227,0.1075,0.1163,103022067.0,2025-11-30 23:59:59.999,11694863.0903
2025-12-01,0.1162,0.1636,0.1103,0.1464,623587479.0,2025-12-01 23:59:59.999,88540634.5382
2025-12-02,0.1464,0.1577,0.1301,0.1489,443482304.0,2025-12-02 23:59:59.999,64423010.7407
2025-12-03,0.1489,0.1719,0.1409,0.1511,194953990.0,2025-12-03 23:59:59.999,30756966.3312
2025-12-04,0.1511,0.1548,0.1381,0.1423,82869550.0,2025-12-04 23:59:59.999,12071058.0906
2025-12-05,0.1423,0.1492,0.1334,0.1387,69174794.0,2025-12-05 23:59:59.999,9746404.195
2025-12-06,0.1386,0.1435,0.1282,0.1347,56487440.0,2025-12-06 23:59:59.999,7695076.2202
2025-12-07,0.1348,0.1446,0.1303,0.1361,64255864.0,2025-12-07 23:59:59.999,8882349.0593
2025-12-08,0.1362,0.1459,0.1332,0.134,47484768.0,2025-12-08 23:59:59.999,6582124.5076
2025-12-09,0.134,0.1411,0.1289,0.1335,54822488.0,2025-12-09 23:59:59.999,7392980.2713
2025-12-10,0.1335,0.15,0.1303,0.1333,68890264.0,2025-12-10 23:59:59.999,9544823.1365
2025-12-11,0.1333,0.1593,0.1263,0.147,154417516.0,2025-12-11 23:59:59.999,22441217.0031
2025-12-12,0.1469,0.159,0.1406,0.1572,131336164.0,2025-12-12 23:59:59.999,19854055.0839
2025-12-13,0.1573,0.1592,0.1445,0.1496,40410848.0,2025-12-13 23:59:59.999,6106083.8353
2025-12-14,0.1495,0.1692,0.1461,0.1618,75314078.0,2025-12-14 23:59:59.999,11936750.5887
2025-12-15,0.1619,0.2165,0.1441,0.1559,399206345.0,2025-12-15 23:59:59.999,69991331.5438
2025-12-16,0.1558,0.1809,0.1504,0.1718,112258699.0,2025-12-16 23:59:59.999,19039119.2702
2025-12-17,0.1718,0.1729,0.1509,0.1628,60361956.0,2025-12-17 23:59:59.999,9730618.2241
2025-12-18,0.1629,0.1778,0.1602,0.1643,66853882.0,2025-12-18 23:59:59.999,11351157.1208
2025-12-19,0.1643,0.1816,0.1537,0.1806,50897605.0,2025-12-19 23:59:59.999,8478874.6409
2025-12-20,0.1805,0.1897,0.1757,0.1784,52122570.0,2025-12-20 23:59:59.999,9571662.9481
2025-12-21,0.1784,0.182,0.1656,0.1702,33564783.0,2025-12-21 23:59:59.999,5841719.1563
2025-12-22,0.1702,0.2057,0.1697,0.1935,59987278.0,2025-12-22 23:59:59.999,11405356.7667
2025-12-23,0.1936,0.2,0.1534,0.1611,88334553.0,2025-12-23 23:59:59.999,15330243.8707
2025-12-24,0.1611,0.168,0.152,0.1543,30380383.0,2025-12-24 23:59:59.999,4893444.8354
2025-12-25,0.1543,0.1576,0.132,0.1334,49313868.0,2025-12-25 23:59:59.999,6894111.9293
