open_time,open,high,low,close,volume,close_time,quote_asset_volume
2026-05-15,75.02,76.55,72.58,74.91,13727.77,2026-05-15 23:59:59.999,1025493.1226
2026-05-16,74.95,76.04,73.87,75.06,5002.82,2026-05-16 23:59:59.999,375254.9171
2026-05-17,75.13,75.98,73.51,73.98,1913.18,2026-05-17 23:59:59.999,143094.2461
2026-05-18,74.24,76.0,73.63,75.11,5745.66,2026-05-18 23:59:59.999,430913.0032
2026-05-19,75.11,75.97,74.0,74.26,3791.07,2026-05-19 23:59:59.999,283849.9379
2026-05-20,74.25,74.91,72.58,74.6,4761.54,2026-05-20 23:59:59.999,353225.5055
2026-05-21,74.61,74.86,72.9,73.69,3064.4,2026-05-21 23:59:59.999,226241.8736
2026-05-22,73.78,75.05,71.4,71.93,7781.97,2026-05-22 23:59:59.999,567526.9597
2026-05-23,71.94,72.99,71.59,72.88,2758.99,2026-05-23 23:59:59.999,198979.669
2026-05-24,72.91,73.0,72.41,72.81,917.55,2026-05-24 23:59:59.999,66689.6284
2026-05-25,72.76,73.59,72.6,73.01,2427.76,2026-05-25 23:59:59.999,177297.2624
2026-05-26,73.01,73.05,69.99,70.22,7060.27,2026-05-26 23:59:59.999,501256.653
2026-05-27,70.21,71.02,69.69,70.89,6896.29,2026-05-27 23:59:59.999,485822.1565
2026-05-28,70.87,71.18,69.6,70.99,4034.5,2026-05-28 23:59:59.999,284557.3913
