open_time,open,high,low,close,volume,close_time,quote_asset_volume
2026-05-06,27.37,28.92,26.8,28.24,109459.35,2026-05-06 23:59:59.999,3074757.83
2026-05-07,28.25,29.11,25.09,25.76,99641.66,2026-05-07 23:59:59.999,2754010.9421
2026-05-08,25.75,27.67,25.41,27.02,75801.19,2026-05-08 23:59:59.999,2014203.1646
2026-05-09,26.99,27.02,26.44,26.9,23229.1,2026-05-09 23:59:59.999,623417.1769
2026-05-10,26.9,27.33,26.06,26.99,26442.1,2026-05-10 23:59:59.999,709504.6769
2026-05-11,26.98,28.02,25.1,26.57,91722.71,2026-05-11 23:59:59.999,2436543.082
2026-05-12,26.56,27.07,24.62,25.52,56275.15,2026-05-12 23:59:59.999,1454163.5505
2026-05-13,25.58,26.94,24.51,25.53,59963.48,2026-05-13 23:59:59.999,1541775.4081
2026-05-14,25.5,26.12,23.42,24.84,78756.84,2026-05-14 23:59:59.999,1953651.6603
2026-05-15,24.85,25.54,23.75,24.25,73104.92,2026-05-15 23:59:59.999,1794354.3092
2026-05-16,24.21,24.43,24.0,24.2,5903.57,2026-05-16 23:59:59.999,142932.9175
2026-05-17,24.17,25.0,24.07,24.58,15333.98,2026-05-17 23:59:59.999,375764.2454
2026-05-18,24.54,24.8,20.85,21.45,169424.06,2026-05-18 23:59:59.999,3718396.8735
2026-05-19,21.44,21.71,19.4,20.16,111497.78,2026-05-19 23:59:59.999,2265639.963
2026-05-20,20.15,22.76,19.76,22.56,197109.43,2026-05-20 23:59:59.999,4180862.4514
2026-05-21,22.58,24.98,22.37,24.41,217891.51,2026-05-21 23:59:59.999,5171790.9674
2026-05-22,24.42,26.73,24.23,25.29,146608.0,2026-05-22 23:59:59.999,3777608.0621
2026-05-23,25.32,25.96,25.02,25.82,31856.74,2026-05-23 23:59:59.999,811792.3147
2026-05-24,25.78,25.93,25.3,25.39,10432.89,2026-05-24 23:59:59.999,266755.1912
2026-05-25,25.4,27.32,25.31,26.12,137660.15,2026-05-25 23:59:59.999,3633939.1297
2026-05-26,26.21,28.64,25.32,27.83,226144.7,2026-05-26 23:59:59.999,6097499.7311
2026-05-27,27.83,28.27,26.07,26.41,208941.74,2026-05-27 23:59:59.999,5676763.1613
2026-05-28,26.4,28.59,25.61,28.07,189528.42,2026-05-28 23:59:59.999,5089869.3802
