open_time,open,high,low,close,volume,close_time,quote_asset_volume
2025-11-07,0.1459,0.1862,0.1432,0.1809,237845535.0,2025-11-07 23:59:59.999,38490876.5004
2025-11-08,0.1808,0.1831,0.1581,0.165,121195328.0,2025-11-08 23:59:59.999,20382039.8489
2025-11-09,0.165,0.2212,0.1591,0.2176,334453975.0,2025-11-09 23:59:59.999,64890025.2684
2025-11-10,0.2175,0.2242,0.197,0.211,368162355.0,2025-11-10 23:59:59.999,77483318.911
2025-11-11,0.2109,0.219,0.1689,0.1703,184921021.0,2025-11-11 23:59:59.999,35382973.6128
2025-11-12,0.1704,0.1917,0.1571,0.1627,178369576.0,2025-11-12 23:59:59.999,31191425.998
2025-11-13,0.1627,0.1769,0.1464,0.1557,204378213.0,2025-11-13 23:59:59.999,33138289.1406
2025-11-14,0.1557,0.1639,0.1404,0.1446,265862439.0,2025-11-14 23:59:59.999,39967657.1584
2025-11-15,0.1447,0.1526,0.1366,0.1428,134674048.0,2025-11-15 23:59:59.999,19673966.6207
2025-11-16,0.1429,0.1525,0.1078,0.1174,305098007.0,2025-11-16 23:59:59.999,38045625.054
2025-11-17,0.1175,0.1241,0.1014,0.1114,416388989.0,2025-11-17 23:59:59.999,46684605.7564
2025-11-18,0.1114,0.1323,0.1071,0.1243,434387767.0,2025-11-18 23:59:59.999,52758837.9546
2025-11-19,0.1243,0.1297,0.1084,0.1285,300098106.0,2025-11-19 23:59:59.999,35787404.6214
2025-11-20,0.1284,0.1391,0.1073,0.1094,308810077.0,2025-11-20 23:59:59.999,37031541.311
2025-11-21,0.1095,0.1127,0.0897,0.0945,454335965.0,2025-11-21 23:59:59.999,44975707.2644
2025-11-22,0.0945,0.0976,0.0811,0.0935,310006087.0,2025-11-22 23:59:59.999,27516109.2328
2025-11-23,0.0935,0.1046,0.0913,0.0935,222858960.0,2025-11-23 23:59:59.999,21563999.4583
2025-11-24,0.0935,0.12,0.0911,0.1137,343925649.0,2025-11-24 23:59:59.999,35872545.1971
2025-11-25,0.1137,0.1265,0.107,0.1235,353557273.0,2025-11-25 23:59:59.999,41641797.7216
2025-11-26,0.1234,0.1319,0.1102,0.1241,256355645.0,2025-11-26 23:59:59.999,31227451.2075
2025-11-27,0.1239,0.1275,0.1141,0.1202,155433758.0,2025-11-27 23:59:59.999,18624323.6703
2025-11-28,0.1202,0.137,0.1157,0.1203,264394416.0,2025-11-28 23:59:59.999,33271945.5138
2025-11-29,0.1203,0.1218,0.1075,0.1153,102113238.0,2025-11-29 23:59:59.999,11713214.7145
2025-11-30,0.1153,0.1214,0.105,0.1065,128927123.0,2025-11-30 23:59:59.999,14640743.6719
2025-12-01,0.1065,0.1083,0.0943,0.101,307367749.0,2025-12-01 23:59:59.999,31057979.5654
2025-12-02,0.1009,0.126,0.0938,0.1178,286770767.0,2025-12-02 23:59:59.999,31298774.8165
2025-12-03,0.1179,0.1347,0.1164,0.1307,198256065.0,2025-12-03 23:59:59.999,24476508.0464
