open_time,open,high,low,close,volume,close_time,quote_asset_volume
2025-11-07,0.1505,0.1664,0.1473,0.1627,136313921.0,2025-11-07 23:59:59.999,21156872.7854
2025-11-08,0.1626,0.17398,0.1599,0.1696,142159109.0,2025-11-08 23:59:59.999,23645684.52294
2025-11-09,0.1696,0.1702,0.156,0.1657,88326844.0,2025-11-09 23:59:59.999,14428563.0039
2025-11-10,0.1657,0.1711,0.1618,0.1676,100726130.0,2025-11-10 23:59:59.999,16750359.9956
2025-11-11,0.1676,0.1679,0.154,0.1549,82305651.0,2025-11-11 23:59:59.999,13189643.945
2025-11-12,0.1548,0.1636,0.1518,0.1547,60237490.0,2025-11-12 23:59:59.999,9491417.0847
2025-11-13,0.1547,0.1617,0.139,0.1442,78769508.0,2025-11-13 23:59:59.999,11924326.3228
2025-11-14,0.1443,0.1443,0.1315,0.136,76842332.0,2025-11-14 23:59:59.999,10526956.5806
2025-11-15,0.136,0.1408,0.133,0.1357,47647967.0,2025-11-15 23:59:59.999,6544794.9208
2025-11-16,0.1357,0.1377,0.1238,0.1307,63312941.0,2025-11-16 23:59:59.999,8288938.2036
2025-11-17,0.1307,0.132,0.1224,0.1246,62448082.0,2025-11-17 23:59:59.999,7943083.3905
2025-11-18,0.1245,0.1277,0.1215,0.1258,84255157.0,2025-11-18 23:59:59.999,10503454.3773
2025-11-19,0.1258,0.1263,0.1149,0.1227,56467057.0,2025-11-19 23:59:59.999,6797189.1267
2025-11-20,0.1227,0.125,0.1119,0.1154,54667071.0,2025-11-20 23:59:59.999,6497768.521
2025-11-21,0.1153,0.128,0.096,0.1277,226868810.0,2025-11-21 23:59:59.999,26399967.6457
2025-11-22,0.1278,0.147,0.1145,0.1182,270383791.0,2025-11-22 23:59:59.999,34428134.3633
2025-11-23,0.1182,0.1229,0.1138,0.1173,49660996.0,2025-11-23 23:59:59.999,5812646.5815
2025-11-24,0.1173,0.1204,0.1131,0.1195,51033927.0,2025-11-24 23:59:59.999,5964020.2754
2025-11-25,0.1194,0.1255,0.1162,0.1236,43754551.0,2025-11-25 23:59:59.999,5262119.8043
2025-11-26,0.1235,0.1235,0.1148,0.1201,32160586.0,2025-11-26 23:59:59.999,3834417.175
2025-11-27,0.1201,0.1298,0.1186,0.1274,61274771.0,2025-11-27 23:59:59.999,7609547.7882
2025-11-28,0.1274,0.129,0.1184,0.1208,52343111.0,2025-11-28 23:59:59.999,6480144.4693
2025-11-29,0.1209,0.1223,0.1158,0.1168,13581846.0,2025-11-29 23:59:59.999,1619841.3644
