date,open,high,low,close,volume,amount,股票代码
2026-05-13,0.982,0.988,0.977,0.987,50854800,49830074,516840
2026-05-14,0.987,0.995,0.969,0.969,13159600,12871119,516840
2026-05-15,0.969,0.97,0.955,0.955,4051600,3894532,516840
2026-05-18,0.946,0.947,0.935,0.941,6451800,6069851,516840
2026-05-19,0.935,0.95,0.932,0.945,3708700,3489079,516840
2026-05-20,0.945,0.945,0.924,0.929,6363100,5906215,516840
2026-05-21,0.938,0.957,0.931,0.935,11029500,10457154,516840
2026-05-22,0.935,0.94,0.925,0.936,5260000,4905886,516840
2026-05-25,0.936,0.94,0.929,0.932,6622200,6180796,516840
2026-05-26,0.926,0.949,0.926,0.935,12130300,11380428,516840
2026-05-27,0.926,0.935,0.915,0.917,6767400,6268492,516840
2026-05-28,0.919,0.919,0.899,0.905,4673600,4233657,516840
2026-05-29,0.907,0.943,0.898,0.9,9696600,8764884,516840
2026-06-01,0.898,0.906,0.89,0.894,5749600,5153020,516840
2026-06-02,0.896,0.908,0.895,0.908,8452500,7627774,516840
2026-06-03,0.899,0.902,0.892,0.893,8131100,7305426,516840
2026-06-04,0.885,0.895,0.87,0.876,4044800,3556194,516840
2026-06-05,0.868,0.879,0.864,0.87,12419400,10788537,516840
2026-06-08,0.864,0.868,0.846,0.857,10286100,8847781,516840
2026-06-09,0.865,0.865,0.843,0.852,9184600,7772121,516840
