time,收盘,成交额(亿),成交量(手),开盘,最高,最低
1990-12-19,99.98,0.0,1260,96.05,99.98,95.79
1990-12-20,104.39,0.0,197,104.3,104.39,99.98
1990-12-21,109.13,0.0,28,109.07,109.13,103.73
1990-12-24,114.55,0.0,32,113.57,114.55,109.13
1990-12-25,120.25,0.0,15,120.09,120.25,114.55
1990-12-26,125.27,0.0,100,125.27,125.27,120.25
1990-12-27,125.28,0.0,66,125.27,125.28,125.27
1990-12-28,126.45,0.0,108,126.39,126.45,125.28
1990-12-31,127.61,0.0,78,126.56,127.61,126.48
1991-01-02,128.84,0.0,91,127.61,128.84,127.61
1991-01-03,130.14,0.0,141,128.84,130.14,128.84
1991-01-04,131.44,0.0,420,131.27,131.44,130.14
1991-01-07,132.06,0.0,217,131.99,132.06,131.45
1991-01-08,132.68,0.02,2926,132.62,132.68,132.06
1991-01-09,133.34,0.03,5603,133.3,133.34,132.68
1991-01-10,133.97,0.05,9990,133.93,133.97,133.34
1991-01-11,134.6,0.07,13327,134.61,134.61,134.51
1991-01-14,134.67,0.07,12530,134.11,135.19,134.11
1991-01-15,134.74,0.01,1446,134.21,134.74,134.19
1991-01-16,134.24,0.0,509,134.19,134.74,134.14
1991-01-17,134.25,0.0,658,133.67,134.25,133.65
1991-01-18,134.24,0.02,3004,133.7,134.25,133.67
1991-01-21,134.24,0.01,2051,133.7,134.24,133.66
1991-01-22,133.72,0.0,354,133.72,134.24,133.66
1991-01-23,133.17,0.01,1095,133.17,133.72,133.14
1991-01-24,132.61,0.01,1857,132.61,133.17,132.57
1991-01-25,132.05,0.02,3447,132.05,132.07,132.03
1991-01-28,131.46,0.03,5107,131.46,131.55,131.46
1991-01-29,130.95,0.01,1387,130.95,130.97,130.95
1991-01-30,130.44,0.0,527,130.44,130.95,130.41
1991-01-31,129.97,0.0,510,129.93,130.46,129.93
1991-02-01,129.51,0.0,345,129.5,129.97,129.45
1991-02-04,129.05,0.0,553,129.05,129.58,129.05
1991-02-05,128.58,0.04,8562,128.56,128.58,128.53
1991-02-06,129.14,0.04,6641,129.13,129.15,128.06
1991-02-07,129.79,0.02,2133,129.74,129.79,129.14
1991-02-08,130.38,0.01,1234,130.36,130.39,129.79
1991-02-11,130.97,0.05,9317,130.92,130.97,130.39
1991-02-12,131.35,0.02,3774,131.54,131.56,130.97
1991-02-13,131.92,0.01,1152,131.93,131.93,131.35
1991-02-14,132.53,0.02,3624,132.53,132.53,132.3
1991-02-19,133.13,0.01,1748,133.12,133.14,133.08
1991-02-20,133.67,0.01,876,133.63,133.67,133.13
1991-02-21,134.28,0.02,3220,134.24,134.28,133.67
1991-02-22,134.87,0.02,3427,134.85,134.87,134.28
1991-02-25,134.4,0.01,810,134.37,134.87,134.33
1991-02-26,133.93,0.03,1094,133.9,134.44,133.9
1991-02-27,133.47,0.0,214,133.44,133.98,133.44
1991-02-28,133.01,0.01,2258,132.99,133.52,132.98
1991-03-01,132.53,0.04,7124,132.53,132.53,132.47
1991-03-04,131.99,0.01,2518,132.09,132.09,131.98
1991-03-05,131.46,0.01,982,131.42,131.99,131.41
1991-03-06,130.94,0.01,719,130.89,130.95,130.89
1991-03-07,130.41,0.0,568,130.41,130.94,130.41
1991-03-08,129.89,0.01,933,129.84,130.41,129.84
1991-03-11,129.31,0.0,514,129.3,129.89,129.3
1991-03-12,128.77,0.01,957,128.73,129.31,128.73
1991-03-13,126.15,0.0,498,126.13,128.77,126.13
1991-03-14,125.63,0.0,326,125.61,126.15,125.61
1991-03-15,125.17,0.0,790,125.08,125.62,125.08
1991-03-18,124.71,0.01,1250,124.7,125.17,124.69
1991-03-19,124.22,0.01,892,124.23,124.71,124.22
1991-03-20,123.66,0.0,678,123.66,124.21,123.63
