date,M2
2008年01月份,417846.17
2008年02月份,421037.84
2008年03月份,423054.53
2008年04月份,429313.72
2008年05月份,436221.6
2008年06月份,443141.02
2008年07月份,446362.17
2008年08月份,448846.68
2008年09月份,452898.71
2008年10月份,453133.32
2008年11月份,458644.66
2008年12月份,475166.6
2009年01月份,496135.3078
2009年02月份,506708.07
2009年03月份,530626.7118
2009年04月份,540481.2137
2009年05月份,548263.51
2009年06月份,568916.2
2009年07月份,573102.8517
2009年08月份,576698.9535
2009年09月份,585405.3373
2009年10月份,586643.2887
2009年11月份,594604.7213
2009年12月份,610224.5231
2010年01月份,625609.29
2010年02月份,636072.2646
2010年03月份,649947.4643
2010年04月份,656561.217
2010年05月份,663351.37
2010年06月份,673921.7239
2010年07月份,674051.4789
2010年08月份,687506.9183
2010年09月份,696471.5
2010年10月份,699776.7409
2010年11月份,710339.025
2010年12月份,725851.79
2011年01月份,733884.8297
2011年02月份,736130.8633
2011年03月份,758130.88
2011年04月份,757384.5619
2011年05月份,763409.2151
2011年06月份,780820.85
2011年07月份,772923.65
2011年08月份,780852.3021
2011年09月份,787406.2038
2011年10月份,816829.2489
2011年11月份,825493.9445
2011年12月份,851590.9
2012年01月份,855898.89
2012年02月份,867171.42
2012年03月份,895565.5
2012年04月份,889604.04
2012年05月份,900048.77
2012年06月份,924991.2
2012年07月份,919072.4019
2012年08月份,924894.5865
2012年09月份,943688.7534
2012年10月份,936404.2792
2012年11月份,944832.4
2012年12月份,974148.8
2013年01月份,992129.25
2013年02月份,998600.83
2013年03月份,1035858.37
2013年04月份,1032551.903
2013年05月份,1042169.16
2013年06月份,1054403.69
2013年07月份,1052212.34
2013年08月份,1061256.43
2013年09月份,1077379.163
2013年10月份,1070242.167
2013年11月份,1079257.055
2013年12月份,1106524.98
2014年01月份,1123521.21
2014年02月份,1131760.83
2014年03月份,1160687.38
2014年04月份,1168812.67
2014年05月份,1182293.96
2014年06月份,1209587.2
2014年07月份,1194249.24
2014年08月份,1197499.08
2014年09月份,1202051.41
2014年10月份,1199236.314
2014年11月份,1208605.95
2014年12月份,1228374.807
2015年01月份,1242710.2185386
2015年02月份,1257380.4784755
2015年03月份,1275332.78
2015年04月份,1280779.14
2015年05月份,1307357.63
2015年06月份,1333375.36453853
2015年07月份,1353210.92482599
2015年08月份,1356907.98
2015年09月份,1359824.06
2015年10月份,1361020.70462698
2015年11月份,1373956.01
2015年12月份,1392278.10919881
2016年01月份,1416319.55
2016年02月份,1424618.67792204
2016年03月份,1446198.03
2016年04月份,1445209.59
2016年05月份,1461695.11
2016年06月份,1490491.83
2016年07月份,1491558.72
2016年08月份,1510982.91
2016年09月份,1516360.5
2016年10月份,1519485.4
2016年11月份,1530432.06
2016年12月份,1550066.66781086
2017年01月份,1584194.56383135
2017年02月份,1589856.99535048
2017年03月份,1607938.98002212
2017年04月份,1603918.84024284
2017年05月份,1609740.77375527
2017年06月份,1639497.04513491
2017年07月份,1636341.10524859
2017年08月份,1652947.30031106
2017年09月份,1663666.05438742
2017年10月份,1662449.96019881
2017年11月份,1679156.63613009
2017年12月份,1690235.31468079
2018年01月份,1720814.46207142
2018年02月份,1729070.11807809
2018年03月份,1739859.47770953
2018年04月份,1737683.72947489
2018年05月份,1743063.7923233
2018年06月份,1770178.373
2018年07月份,1776196.10516409
2018年08月份,1788670.42970175
2018年09月份,1801665.58145761
2018年10月份,1795561.59556379
2018年11月份,1813175.06539151
2018年12月份,1826744.21571345
2019年01月份,1865935.33
2019年02月份,1867427.45
2019年03月份,1889412.14
2019年04月份,1884670.33
2019年05月份,1891153.7
2019年06月份,1921360.19
2019年07月份,1919410.82
2019年08月份,1935492.43
2019年09月份,1952250.49
