date,PMI
2008年01月份,53.0
2008年02月份,53.4
2008年03月份,58.4
2008年04月份,59.2
2008年05月份,53.3
2008年06月份,52.0
2008年07月份,48.4
2008年08月份,48.4
2008年09月份,51.2
2008年10月份,44.6
2008年11月份,38.8
2008年12月份,41.2
2009年01月份,45.3
2009年02月份,49.0
2009年03月份,52.4
2009年04月份,53.5
2009年05月份,53.1
2009年06月份,53.2
2009年07月份,53.3
2009年08月份,54.0
2009年09月份,54.3
2009年10月份,55.2
2009年11月份,55.2
2009年12月份,56.6
2010年01月份,55.8
2010年02月份,52.0
2010年03月份,55.1
2010年04月份,55.7
2010年05月份,53.9
2010年06月份,52.1
2010年07月份,51.2
2010年08月份,51.7
2010年09月份,53.8
2010年10月份,54.7
2010年11月份,55.2
2010年12月份,53.9
2011年01月份,52.9
2011年02月份,52.2
2011年03月份,53.4
2011年04月份,52.9
2011年05月份,52.0
2011年06月份,50.9
2011年07月份,50.7
2011年08月份,50.9
2011年09月份,51.2
2011年10月份,50.4
2011年11月份,49.0
2011年12月份,50.3
2012年01月份,50.5
2012年02月份,51.0
2012年03月份,53.1
2012年04月份,53.3
2012年05月份,50.4
2012年06月份,50.2
2012年07月份,50.1
2012年08月份,49.2
2012年09月份,49.8
2012年10月份,50.2
2012年11月份,50.6
2012年12月份,50.6
2013年01月份,50.4
2013年02月份,50.1
2013年03月份,50.9
2013年04月份,50.6
2013年05月份,50.8
2013年06月份,50.1
2013年07月份,50.3
2013年08月份,51.0
2013年09月份,51.1
2013年10月份,51.4
2013年11月份,51.4
2013年12月份,51.0
2014年01月份,50.5
2014年02月份,50.2
2014年03月份,50.3
2014年04月份,50.4
2014年05月份,50.8
2014年06月份,51.0
2014年07月份,51.7
2014年08月份,51.1
2014年09月份,51.1
2014年10月份,50.8
2014年11月份,50.3
2014年12月份,50.1
2015年01月份,49.8
2015年02月份,49.9
2015年03月份,50.1
2015年04月份,50.1
2015年05月份,50.2
2015年06月份,50.2
2015年07月份,50.0
2015年08月份,49.7
2015年09月份,49.8
2015年10月份,49.8
2015年11月份,49.6
2015年12月份,49.7
2016年01月份,49.4
2016年02月份,49.0
2016年03月份,50.2
2016年04月份,50.1
2016年05月份,50.1
2016年06月份,50.0
2016年07月份,49.9
2016年08月份,50.4
2016年09月份,50.4
2016年10月份,51.2
2016年11月份,51.7
2016年12月份,51.4
2017年01月份,51.3
2017年02月份,51.6
2017年03月份,51.8
2017年04月份,51.2
2017年05月份,51.2
2017年06月份,51.7
2017年07月份,51.4
2017年08月份,51.7
2017年09月份,52.4
2017年10月份,51.6
2017年11月份,51.8
2017年12月份,51.6
2018年01月份,51.3
2018年02月份,50.3
2018年03月份,51.5
2018年04月份,51.4
2018年05月份,51.9
2018年06月份,51.5
2018年07月份,51.2
2018年08月份,51.3
2018年09月份,50.8
2018年10月份,50.2
2018年11月份,50.0
2018年12月份,49.4
2019年01月份,49.5
2019年02月份,49.2
2019年03月份,50.5
2019年04月份,50.1
2019年05月份,49.4
2019年06月份,49.4
2019年07月份,49.7
2019年08月份,49.5
2019年09月份,49.8
2019年10月份,49.3
2019年11月份,50.2
2019年12月份,50.2
2020年01月份,50.0
2020年02月份,35.7
2020年03月份,52.0
2020年04月份,50.8
2020年05月份,50.6
2020年06月份,50.9
2020年07月份,51.1
2020年08月份,51.0
2020年09月份,51.5
2020年10月份,51.4
2020年11月份,52.1
2020年12月份,51.9
2021年01月份,51.3
2021年02月份,50.6
2021年03月份,51.9
2021年04月份,51.1
2021年05月份,51.0
2021年06月份,50.9
2021年07月份,50.4
2021年08月份,50.1
2021年09月份,49.6
2021年10月份,49.2
2021年11月份,50.1
2021年12月份,50.3
2022年01月份,50.1
2022年02月份,50.2
2022年03月份,49.5
2022年04月份,47.4
2022年05月份,49.6
2022年06月份,50.2
2022年07月份,49.0
2022年08月份,49.4
2022年09月份,50.1
2022年10月份,49.2
2022年11月份,48.0
2022年12月份,47.0
2023年01月份,50.1
2023年02月份,52.6
2023年03月份,51.9
2023年04月份,49.2
2023年05月份,48.8
2023年06月份,49.0
2023年07月份,49.3
2023年08月份,49.7
2023年09月份,50.2
2023年10月份,49.5
2023年11月份,49.4
2023年12月份,49.0
2024年01月份,49.2
2024年02月份,49.1
2024年03月份,50.8
2024年04月份,50.4
2024年05月份,49.5
2024年06月份,49.5
2024年07月份,49.4
2024年08月份,49.1
2024年09月份,49.8
2024年10月份,50.1
2024年11月份,50.3
2024年12月份,50.1
2025年01月份,49.1
2025年02月份,50.2
2025年03月份,50.5
2025年04月份,49.0
2025年05月份,49.5
2025年06月份,49.7
2025年07月份,49.3
2025年08月份,49.4
2025年09月份,49.8
2025年10月份,49.0
2025年11月份,49.2
2025年12月份,50.1
2026年01月份,49.3
2026年02月份,49.0
2026年03月份,50.4
2026年04月份,50.3
2026年05月份,50.0
2026年06月份,50.3
2026年07月份,49.2
