time,隔夜,1周,2周,1月,3月,6月,9月,1年
2015-05-08,1.443,2.334,2.834,3.211,3.7985,4.1831,4.396,4.5
2017-03-17,2.633,2.725,3.236,4.2775,4.3507,4.2909,4.134,4.1246
2017-03-20,2.6325,2.7471,3.269,4.3172,4.3711,4.3091,4.1504,4.1435
2017-03-21,2.6477,2.768,3.307,4.3558,4.3846,4.3218,4.1621,4.1559
2017-03-22,2.6507,2.791,3.3372,4.3959,4.4077,4.346,4.1713,4.1649
2017-03-23,2.657,2.807,3.365,4.4475,4.4396,4.3592,4.1772,4.1717
2017-03-24,2.604,2.784,3.362,4.4581,4.4516,4.3663,4.1788,4.1835
2017-03-27,2.482,2.7993,3.3378,4.4296,4.4364,4.3597,4.1829,4.1874
2017-03-28,2.448,2.791,3.3341,4.4105,4.423,4.356,4.1883,4.1918
2017-03-29,2.521,2.81,3.3544,4.3955,4.4135,4.353,4.1919,4.1952
2017-03-30,2.507,2.821,3.383,4.3843,4.3995,4.349,4.1942,4.2006
2017-03-31,2.5384,2.85,3.405,4.3501,4.393,4.35,4.195,4.2
2017-04-01,2.497,2.778,3.356,4.317,4.3642,4.351,4.197,4.2
2017-04-05,2.4868,2.74,3.3053,4.2525,4.3355,4.347,4.197,4.2
2017-04-06,2.537,2.7506,3.2754,4.1783,4.3183,4.345,4.197,4.2
2017-04-07,2.4957,2.741,3.249,4.118,4.301,4.339,4.197,4.2
2017-04-10,2.442,2.707,3.2203,4.0746,4.2906,4.332,4.1977,4.201
2017-04-11,2.408,2.687,3.1897,4.0382,4.2774,4.322,4.1975,4.201
2017-04-12,2.3885,2.6631,3.1637,4.0132,4.2653,4.316,4.1968,4.2011
2017-04-13,2.413,2.6566,3.1553,4.0016,4.2631,4.3166,4.1987,4.2022
2017-04-14,2.429,2.674,3.1617,3.9972,4.2634,4.3177,4.1989,4.2013
2017-04-17,2.444,2.69,3.1735,3.9972,4.2609,4.3148,4.1989,4.2022
2017-04-18,2.486,2.7175,3.188,3.9978,4.2621,4.3145,4.1999,4.2023
2017-04-19,2.575,2.752,3.2125,4.0008,4.2661,4.3225,4.2069,4.2113
2017-04-20,2.5987,2.758,3.2275,4.005,4.2725,4.3242,4.2096,4.2121
2017-04-21,2.6163,2.76,3.229,4.0095,4.2781,4.3254,4.2139,4.2145
2017-04-24,2.7157,2.79,3.241,4.01,4.2789,4.3276,4.2164,4.2175
2017-04-25,2.7514,2.814,3.268,4.01,4.2839,4.3288,4.2217,4.2228
2017-04-26,2.759,2.8203,3.2799,4.011,4.2884,4.3309,4.2232,4.2243
2017-04-27,2.792,2.8449,3.2935,4.0161,4.2917,4.3331,4.2244,4.2255
2017-04-28,2.819,2.8699,3.3038,4.0237,4.2974,4.3364,4.2265,4.2296
2017-05-02,2.8175,2.873,3.317,4.027,4.3002,4.3397,4.2317,4.233
2017-05-03,2.8451,2.913,3.349,4.0361,4.3309,4.35,4.2412,4.2453
2017-05-04,2.8506,2.927,3.365,4.0436,4.3476,4.3602,4.2449,4.2503
2017-05-05,2.8348,2.9186,3.366,4.0469,4.3608,4.3664,4.2466,4.2512
2017-05-08,2.818,2.9091,3.3683,4.0447,4.3731,4.3744,4.251,4.2555
2017-05-09,2.8199,2.9233,3.3752,4.0441,4.3848,4.3799,4.2557,4.2612
2017-05-10,2.827,2.93,3.3805,4.0463,4.3933,4.3857,4.2623,4.2674
2017-05-11,2.813,2.9294,3.3846,4.0507,4.4083,4.392,4.2644,4.2715
2017-05-12,2.7911,2.9107,3.3872,4.0468,4.4088,4.3952,4.2665,4.2724
2017-05-15,2.716,2.8833,3.389,4.0462,4.4184,4.3996,4.2679,4.2739
2017-05-16,2.746,2.8827,3.393,4.0477,4.4278,4.402,4.2727,4.2784
2017-05-17,2.7525,2.882,3.397,4.0495,4.4349,4.4021,4.2765,4.2831
2017-05-18,2.7641,2.8867,3.4134,4.0525,4.4439,4.4043,4.2814,4.2864
2017-05-19,2.715,2.88,3.419,4.0571,4.4641,4.413,4.285,4.2925
2017-05-22,2.6745,2.8679,3.4366,4.061,4.4744,4.4148,4.2881,4.3024
2017-05-23,2.654,2.8571,3.4489,4.0624,4.4956,4.4215,4.2965,4.3137
2017-05-24,2.623,2.8426,3.4513,4.0643,4.5177,4.4262,4.3107,4.322
2017-05-25,2.611,2.843,3.4576,4.0646,4.5338,4.4368,4.3251,4.3342
