time,北向成交总额(亿),沪股通成交额(亿),沪股通余额,沪股通笔数,深股通成交额(亿),深股通余额,深股通笔数,上证指数,上证涨跌幅(%),深证成指,深证涨跌幅(%)
2016-12-05,94.6932,68.0004,14392.44,239393,26.6928,10289.13,110295,3204.709,-1.206409,10784.331,-1.175666
2016-12-06,67.4063,45.328500000000005,13396.6,198408,22.077800000000003,11061.06,99705,3199.647,-0.157955,10779.765,-0.042339
2016-12-07,56.136,37.2055,12783.83,182287,18.9305,11220.87,84504,3222.242,0.706172,10855.717,0.704579
2016-12-08,67.10340000000001,47.6678,12354.44,216755,19.4356,11291.61,92059,3215.366,-0.213392,10812.297,-0.399974
2016-12-09,108.8608,72.7393,13223.45,372653,36.1215,12577.34,167432,3232.883,0.54479,10789.624,-0.209696
2016-12-12,73.44800000000001,54.4871,13117.29,195764,18.9609,11774.24,66830,3152.97,-2.47188,10302.853,-4.511473
2016-12-13,53.0638,36.0643,12506.59,161858,16.9995,11748.56,63288,3155.037,0.065557,10332.275,0.285571
2016-12-14,56.3709,42.4356,12874.45,191467,13.9353,12126.08,54766,3140.531,-0.459773,10232.819,-0.962576
2016-12-15,59.7653,43.8662,13195.4,191509,15.8991,12241.33,57721,3117.677,-0.727711,10256.108,0.227591
2016-12-16,59.0567,44.3654,12642,182404,14.691300000000002,12067,49951,3122.982,0.170159,10334.756,0.766841
2016-12-19,40.6964,32.1286,13982.16,150250,8.5678,12518.43,34775,3118.0846,-0.156802,10283.164,-0.499209
2016-12-20,58.14020000000001,48.8939,15637.42,192067,9.2463,12830.14,43646,3102.8759,-0.487758,10245.332,-0.367902
2016-12-21,34.715,27.9694,13150.65,132003,6.7456,12634.39,30419,3137.4297,1.113606,10313.569,0.66603
2016-12-22,34.2658,26.6933,13848.62,143018,7.5725,12609.93,33668,3139.558,0.067836,10306.923,-0.064439
2016-12-28,42.0726,32.4049,13784.87,136201,9.6677,12615.38,37560,3102.2357,-0.399025,10187.159,-0.424326
2016-12-29,33.7752,26.6477,13324.96,135693,7.1275,12651.47,32844,3096.0968,-0.197886,10159.447,-0.272029
2016-12-30,31.2786,22.0463,13200,113657,9.2323,12700,49445,3103.6373,0.243549,10177.137,0.174124
2017-01-03,42.6591,31.1387,13582.47,146763,11.5204,12384.51,44701,3135.9208,1.040183,10262.846,0.842172
2017-01-04,58.811800000000005,43.5729,14348.85,195593,15.2389,12370.3,59264,3158.794,0.729393,10384.867,1.188959
2017-01-05,54.9324,40.8448,13912.34,164618,14.0876,12366.5,57543,3165.4109,0.209476,10371.47,-0.129005
2017-01-06,57.4556,44.5098,15103,180452,12.945799999999998,12356,54776,3154.321,-0.350346,10289.361,-0.791681
2017-01-09,49.415200000000006,35.1471,13846.78,147051,14.2681,12113.82,51341,3171.2362,0.536255,10331.792,0.412377
2017-01-10,43.292,27.718400000000003,13565.52,111488,15.5736,12046.88,60053,3161.6713,-0.301614,10306.336,-0.246385
2017-01-11,46.976400000000005,30.866,12153.73,131864,16.1104,12076.95,57091,3136.7535,-0.788121,10215.476,-0.881594
2017-01-12,41.1042,28.8013,12307.58,129092,12.3029,12395.88,46858,3119.2886,-0.556783,10131.23,-0.82469
2017-01-13,51.2314,36.3858,12366,146738,14.8456,12379,58651,3112.7644,-0.209157,10008.3,-1.213377
2017-01-16,71.046,53.1716,14266.15,165621,17.8744,12440.74,67058,3103.428,-0.299939,9712.795,-2.952599
2017-01-17,44.1638,29.9538,12336.02,143345,14.21,12415.82,53111,3108.7746,0.17228,9826.788,1.173637
2017-01-18,50.3472,35.5267,12139.16,188843,14.8205,12385.2,108863,3113.0123,0.136314,9804.758,-0.224183
2017-01-19,43.4879,28.2973,12666.54,180432,15.1906,12191.39,110324,3101.2992,-0.376263,9768.574,-0.369045
2017-01-20,40.5169,25.8044,12076,163891,14.7125,12157,116104,3123.1389,0.704211,9906.139,1.40824
2017-01-23,42.1638,27.7176,12280.1,153405,14.4462,12235.51,125915,3136.7748,0.436609,9976.191,0.707157
2017-01-24,42.7958,28.5393,12265.44,178393,14.2565,12292.63,125368,3142.5533,0.184218,9941.547,-0.347267
2017-01-25,37.3704,26.8629,13011.15,120483,10.5075,12709.49,43662,3149.5547,0.222793,9977.962,0.366291
2017-01-26,34.943400000000004,24.9574,12518.49,93248,9.986,12515.9,42176,3159.166,0.305164,10052.049,0.742506
2017-02-03,45.3097,31.4099,12312,146228,13.8998,12284,61154,3140.17,-0.601298,10004.844,-0.469606
2017-02-06,56.9473,42.3623,10852.99,166280,14.585,12260.27,62746,3156.9838,0.535442,10078.733,0.738532
2017-02-07,54.4145,38.4979,11883.21,160845,15.9166,12330.78,68246,3153.0878,-0.123409,10055.565,-0.22987
2017-02-08,45.8171,30.6465,12438.71,138062,15.1706,12223.94,63983,3166.9818,0.440647,10130.121,0.74144
2017-02-09,59.8857,44.26,11225.81,203611,15.6257,12733.4,122367,3183.1794,0.511452,10182.728,0.519313
2017-02-10,59.6308,40.097,11884,201045,19.5338,12359,127321,3196.699,0.42472,10186.376,0.035825
2017-02-13,69.0813,49.0457,11697.7,203367,20.0356,12492.12,125064,3216.8394,0.630037,10270.825,0.829039
2017-02-14,55.8548,38.5743,12103.19,181229,17.2805,12437.15,126815,3217.928,0.033841,10264.917,-0.057522
2017-02-15,73.1403,50.772200000000005,11078.64,214542,22.3681,12475.11,143006,3212.9857,-0.153586,10177.252,-0.854025
2017-02-16,52.9754,33.9567,11851.06,148948,19.0187,12137.28,69412,3229.6184,0.517671,10253.956,0.753681
2017-02-17,54.1147,31.6652,12763,133247,22.4495,11919,77405,3202.0756,-0.852819,10197.917,-0.546511
2017-02-20,54.0541,34.2744,11686.51,120373,19.7797,12318.96,70899,3239.9613,1.183161,10328.997,1.285361
2017-02-21,55.2183,33.731500000000004,12388.49,148574,21.4868,12149.13,85526,3253.3257,0.412486,10405.745,0.743034
2017-02-22,51.64770000000001,32.6887,12570.67,114838,18.959,12205.62,77547,3261.2184,0.242604,10444.376,0.371247
2017-02-23,55.1364,32.7134,12548.75,152417,22.423,11908.45,90030,3251.375,-0.301832,10432.639,-0.112376
2017-02-24,47.6874,29.9571,12637,117261,17.7303,12429,71129,3253.4327,0.063287,10443.729,0.106301
2017-02-27,60.5114,39.4996,12870.93,154939,21.0118,12610.41,98076,3228.6602,-0.761427,10353.554,-0.863437
2017-02-28,47.110600000000005,29.3668,13054.47,128431,17.7438,12660.52,73293,3241.7331,0.404902,10391.344,0.364995
2017-03-01,48.1167,27.885900000000003,12441.46,129841,20.2308,12296.45,79423,3246.9335,0.16042,10418.621,0.262497
2017-03-02,63.5976,37.9774,13099.34,162062,25.6202,12392.86,113171,3230.0281,-0.520657,10367.306,-0.492532
2017-03-03,61.6928,37.5455,13294,147321,24.1473,12462,107000,3218.3118,-0.362731,10397.047,0.286873
2017-03-06,55.3408,31.5359,13243.37,141417,23.8049,12321,104315,3233.8657,0.483294,10522.276,1.204467
2017-03-07,63.3689,36.4058,13356.55,160357,26.9631,12191.76,118492,3242.4063,0.264099,10552.144,0.283855
2017-03-08,57.777,36.7988,13267.88,157427,20.9782,12522.59,88989,3240.6646,-0.053716,10498.312,-0.510152
2017-03-09,69.8832,47.2285,15073.91,188477,22.6547,12723.41,100186,3216.7457,-0.738086,10421.057,-0.73588
2017-03-10,69.3456,44.7548,14605,171112,24.5908,12119,101076,3212.7601,-0.123902,10451.008,0.287408
2017-03-13,65.5311,36.1012,13072.03,194822,29.4299,12054.87,142002,3237.0244,0.755248,10559.883,1.041766
2017-03-14,64.8361,39.4198,13837.65,158405,25.4163,13048.78,106943,3239.3278,0.071158,10531.728,-0.266622
2017-03-15,63.6261,35.8408,13285.89,150207,27.785300000000003,12242.81,110948,3241.7597,0.075074,10543.009,0.107114
2017-03-16,58.3309,35.791599999999995,11705.14,132417,22.5393,12377.1,93343,3268.9354,0.838301,10624.421,0.772189
2017-03-17,89.69709999999999,56.6162,11904,203979,33.0809,12756,140141,3237.4471,-0.963259,10515.414,-1.026004
2017-03-20,68.6551,44.2179,11482.36,168907,24.4372,12741.42,90994,3250.8082,0.412705,10532.331,0.160878
2017-03-21,75.898,49.8328,12155.11,168797,26.0652,12851.69,90615,3261.6108,0.332305,10586.621,0.51546
2017-03-22,70.4828,42.0732,12987.57,163921,28.4096,12359.21,100007,3245.2198,-0.502543,10553.526,-0.312612
2017-03-23,77.1784,45.9785,12177.31,163424,31.1999,12019.86,106792,3248.5495,0.102603,10583.043,0.279689
2017-03-24,81.0154,50.6068,11869,168620,30.4086,12308,105029,3269.4451,0.643229,10646.723,0.601717
2017-03-27,80.06,50.98,13112.84,187575,29.08,12510.11,104741,3266.9552,-0.076157,10581.918,-0.608685
2017-03-28,67.833,43.9869,12350.14,163378,23.8461,12709.27,104467,3252.9479,-0.428757,10563.285,-0.176083
2017-03-29,65.26939999999999,40.4513,12777.14,156164,24.8181,12892.17,95379,3241.3144,-0.357629,10520.816,-0.402043
2017-03-30,76.4547,47.03020000000001,11885.1,171797,29.4245,12843.05,112347,3210.2369,-0.958793,10348.27,-1.640044
2017-03-31,65.6947,40.6474,13152,154378,25.0473,12975,96593,3222.5142,0.382442,10428.722,0.777444
2017-04-05,108.7091,72.94890000000001,12235.42,218511,35.7602,11929.59,134702,3270.3054,1.483041,10627.133,1.902544
2017-04-06,81.04220000000001,52.1699,13017.37,191628,28.8723,12833.73,137139,3281.0047,0.327165,10656.174,0.273272
2017-04-07,73.8824,45.7907,12930,166028,28.0917,12423,104238,3286.616,0.171024,10669.48,0.124867
2017-04-10,77.3601,44.0278,12853.2,174798,33.332300000000004,12201.74,123410,3269.3926,-0.524047,10603.275,-0.620508
2017-04-11,89.27940000000001,55.4788,13633.88,198582,33.8006,12729.02,117425,3288.9657,0.598677,10655.791,0.495281
2017-04-12,86.8553,53.2645,13397.69,201626,33.5908,12797.79,128683,3273.8301,-0.460193,10587.312,-0.642646
2017-04-18,107.9649,67.69239999999999,13527.27,270634,40.2725,12350.98,161070,3196.7133,-0.789965,10411.438,-0.377232
2017-04-19,84.1788,53.2122,12549.31,205817,30.9666,12224.83,122546,3170.6867,-0.814167,10348.406,-0.605411
2017-04-20,87.07860000000001,52.685100000000006,12069.94,212014,34.3935,12180.89,129192,3172.1003,0.044583,10359.089,0.103233
2017-04-21,71.9105,44.5016,12919,178643,27.4089,12350,104897,3173.1512,0.033129,10314.353,-0.431853
2017-04-24,76.52029999999999,45.953500000000005,12949.55,195738,30.5668,12583.49,119058,3129.5312,-1.374659,10091.887,-2.156859
2017-04-25,82.19409999999999,47.0308,12200.42,202229,35.1633,12208.19,148502,3134.5674,0.160925,10165.215,0.726603
2017-04-26,84.5245,50.2293,12579.6,199700,34.2952,12274.14,126598,3140.8471,0.200337,10204.842,0.389829
2017-04-27,93.9442,55.2362,12769.16,225921,38.708,12327.14,221586,3152.1869,0.361043,10229.194,0.238632
2017-04-28,85.01180000000001,49.8133,12205,185933,35.1985,12028,148516,3154.6584,0.078406,10234.652,0.053357
2017-05-04,113.3194,65.2718,13500.46,286972,48.0476,11321.52,260677,3127.3687,-0.254431,10147.44,-0.360325
2017-05-05,85.60860000000001,51.8324,13774,210627,33.7762,12423,138687,3103.0378,-0.777999,10024.435,-1.212178
2017-05-08,79.52890000000001,46.5786,13569.92,207154,32.9503,12113.31,138608,3078.6129,-0.787129,9833.167,-1.908018
2017-05-09,68.2634,37.0946,11858.87,164885,31.1688,11855.96,123220,3080.5269,0.062171,9885.344,0.530623
2017-05-10,75.54,39.7343,11851.24,180720,35.8057,11866.37,140495,3052.785,-0.900557,9756.808,-1.300268
2017-05-11,87.30879999999999,51.20439999999999,11593.58,220689,36.1044,12039.2,150616,3061.5003,0.285487,9776.45,0.201316
2017-05-12,76.6927,45.9879,13387,168149,30.7048,12324,120003,3083.5132,0.719023,9787.986,0.117998
2017-05-15,78.4632,48.0465,12119.12,193679,30.4167,12123.97,153060,3090.2289,0.217794,9845.603,0.58865
2017-05-16,88.4586,49.5334,11346.68,197681,38.9252,11491.21,175593,3112.9642,0.735716,10046.662,2.04212
2017-05-17,72.6118,37.7091,12399.81,196582,34.9027,12045.56,150125,3104.4415,-0.273781,10030.111,-0.164741
2017-05-18,69.58840000000001,34.4752,12833.71,177410,35.1132,12155.46,185731,3090.139,-0.460711,9974.348,-0.555956
2017-05-19,63.5815,32.1139,12612,159017,31.4676,12017,152760,3090.6309,0.015918,9970.962,-0.033947
2017-05-22,66.0063,36.0799,12914.67,168824,29.9264,12440.6,120936,3075.6756,-0.483891,9899.645,-0.715247
2017-05-23,92.9831,60.3842,13272.15,258831,32.5989,12337.74,161474,3061.947,-0.44636,9763.782,-1.372403
2017-05-24,72.6337,42.3047,12648.74,194499,30.329,12155.49,158528,3064.0759,0.069528,9812.457,0.498526
2017-05-25,85.1947,55.0003,11925.35,215933,30.1944,12400.16,145045,3107.8311,1.428006,9893.778,0.828753
2017-05-26,86.2145,50.731300000000005,13300,205423,35.483200000000004,12656,157873,3110.0587,0.071677,9859.234,-0.349149
2017-05-31,94.9074,59.1694,14331.55,220564,35.738,13213.71,153817,3117.1778,0.228906,9864.845,0.056911
2017-06-01,100.5058,64.8083,14872.28,219358,35.6975,12733.98,153407,3102.6232,-0.466916,9730.326,-1.36362
2017-06-02,72.2636,41.4673,12296,189997,30.7963,11974,149702,3105.54,0.094011,9794.888,0.663513
2017-06-05,72.083,41.1501,12128.82,187898,30.9329,11983.21,161735,3091.6561,-0.447069,9842.602,0.487132
2017-06-06,68.57520000000001,36.4649,12106.63,174428,32.1103,11767.4,156717,3102.126,0.33865,9915.923,0.744935
2017-06-07,92.7173,45.9811,12426.42,184337,46.7362,11192.07,158236,3140.3249,1.231378,10109.876,1.955975
2017-06-08,86.1913,46.8282,11969.19,182686,39.3631,11609.65,134698,3150.3336,0.318715,10148.721,0.384228
2017-06-09,108.831,64.0809,12097,288287,44.7501,12436,210999,3158.4004,0.256062,10177.446,0.283041
2017-06-12,93.3155,51.1035,14019.22,220899,42.212,12902.28,164185,3139.8766,-0.586493,10119.986,-0.564582
2017-06-13,80.2417,42.200500000000005,13096.42,183099,38.0412,12302.7,142511,3153.7429,0.441619,10224.817,1.035881
2017-06-14,82.648,47.5949,14006.74,236690,35.0531,13258.04,161465,3130.674,-0.731477,10151.534,-0.716717
2017-06-15,90.1871,51.9257,11565.86,204070,38.2614,12130.7,152789,3132.4863,0.057888,10221.691,0.691098
2017-06-16,92.0329,48.326800000000006,12347,213797,43.7061,12511,147637,3123.1662,-0.29753,10191.24,-0.297906
2017-06-19,78.1613,42.9048,11796.76,179937,35.2565,11805.15,133448,3144.3739,0.679045,10262.799,0.702162
2017-06-20,66.6799,35.903400000000005,13092.74,156537,30.7765,12505.54,121093,3140.0136,-0.13867,10288.526,0.250682
2017-06-21,85.70700000000001,50.431,12522.71,181222,35.276,11949.53,120222,3156.2118,0.515864,10367.173,0.764415
2017-06-22,106.6828,58.8187,12509.48,207229,47.8641,11720.15,184422,3147.4532,-0.277504,10265.199,-0.983624
2017-06-23,88.2559,47.4915,12415,181569,40.7644,11938,156075,3157.873,0.331055,10366.776,0.989528
2017-06-26,99.6125,60.3784,13246.57,192934,39.2341,12524.36,136913,3185.4439,0.873085,10537.59,1.647706
2017-06-27,106.28,68.2162,11006.08,242729,38.0638,12249.74,156516,3191.1969,0.180603,10535.364,-0.021124
