time,当日净买额(亿),买入成交额(亿),卖出成交额(亿),历史累计净买额(亿),当日资金流入,当日余额,持股市值,领涨股,领涨股-涨跌幅,沪深300,沪深300-涨跌幅,领涨股-代码
2014-11-17,21.3208,22.3811,1.0603,0.0021320799999999,-87.32,87.32,0.0,上海医药,3.74,23797.08,-1.21,02607.HK
2014-11-18,9.3716,10.8311,1.4594999999999998,0.00306924,-97.0,97.0,0.0,统一企业中国,5.53,23529.17,-1.13,00220.HK
2014-11-19,2.6592,3.8092,1.15,0.0033351599999999,-102.47,102.47,0.0,复星医药,7.58,23373.31,-0.66,02196.HK
2014-11-20,1.8736,2.815,0.9414,0.00352252,-103.04,103.04,0.0,东方电气,5.26,23349.64,-0.1,01072.HK
2014-11-21,1.7453,3.0867,1.3414,0.00369705,-103.14,103.14,0.0,第一拖拉机股份,6.45,23437.12,0.37,00038.HK
2014-11-24,1.2375,3.7368,2.4993,0.0038207999999999,-103.59,103.59,0.0,中国交通建设,12.63,23893.14,1.95,01800.HK
2014-11-25,1.589,3.1979,1.6088999999999998,0.0039797,-103.45,103.45,0.0,华润燃气,6.82,23843.91,-0.21,01193.HK
2014-11-26,1.9981,3.3609,1.3628,0.00417951,-102.87,102.87,0.0,新华保险,8.5,24111.98,1.12,01336.HK
2014-11-27,1.5569,3.2946,1.7377,0.0043352,-103.25,103.25,0.0,中国光大控股,3.37,24004.28,-0.45,00165.HK
2014-11-28,2.9349000000000003,4.6315,1.6966,0.0046286899999999,-102.07,102.07,0.0,中信银行,8.87,23987.45,-0.07,00998.HK
2014-12-01,2.9601,4.6713,1.7112,0.0049247,-102.19,102.19,0.0,国泰航空,3.4,23367.45,-2.58,00293.HK
2014-12-02,2.8899,4.6851,1.7952,0.00521369,-102.01,102.01,0.0,绿城中国,8.38,23654.3,1.23,03900.HK
2014-12-03,4.9591,7.011900000000001,2.0528,0.0057096,-100.43,100.43,0.0,中船防务,7.34,23428.62,-0.95,00317.HK
2014-12-04,4.083600000000001,6.652,2.5684,0.00611796,-100.85,100.85,0.0,中信证券,11.51,23832.56,1.72,06030.HK
2014-12-05,16.5097,20.917,4.4073,0.00776893,-90.69,90.69,0.0,长城汽车,7.2,24002.64,0.71,02333.HK
2014-12-08,5.528200000000001,9.2757,3.7475,0.00832175,-99.75,99.75,0.0,中信证券,12.79,24047.67,0.19,06030.HK
2014-12-09,8.5031,13.5857,5.0826,0.00917206,-97.37,97.37,0.0,创科实业,2.79,23485.83,-2.34,00669.HK
2014-12-10,4.022,6.4684,2.4464,0.00957426,-101.09,101.09,0.0,北控水务集团,9.33,23524.52,0.16,00371.HK
2014-12-11,5.1486,7.2362,2.0876,0.01008912,-100.17,100.17,0.0,中国东方航空股份,8.58,23312.54,-0.9,00670.HK
2014-12-12,3.1107,4.9942,1.8835,0.01040019,-101.89,101.89,0.0,四川成渝高速公路,8.7,23249.2,-0.27,00107.HK
2014-12-15,1.6863,3.4981,1.8118,0.01056882,-103.04,103.04,0.0,中远海发,6.25,23027.85,-0.95,02866.HK
2014-12-16,4.0925,6.3337,2.2412,0.01097807,-101.07,101.07,0.0,中信证券,6.6,22670.5,-1.55,06030.HK
2014-12-17,3.3327,6.8058000000000005,3.4731,0.01131134,-101.7,101.7,0.0,中国交通建设,8.19,22585.84,-0.37,01800.HK
2014-12-18,4.129700000000001,6.8611,2.7314,0.01172431,-101.02,101.02,0.0,康哲药业,7.67,22832.21,1.09,00867.HK
2014-12-19,2.2743,6.7064,4.4321,0.0119517399999999,-102.52,102.52,0.0,中国铝业,6.53,23116.63,1.25,02600.HK
2014-12-22,3.6857,7.636,3.9503,0.01232031,-101.32,101.32,0.0,招商银行,7.7,23408.57,1.26,03968.HK
2014-12-23,5.5139,7.6278,2.1139,0.0128717,-99.84,99.84,0.0,长城汽车,4.41,23333.69,-0.32,02333.HK
2014-12-24,2.7646,3.6848,0.9202,0.0131481599999999,-102.08,102.08,0.0,绿城中国,20.66,23349.34,0.07,03900.HK
2015-01-05,19.3574,25.969,6.611599999999999,0.0150838999999999,-87.7,87.7,0.0,凯盛新能,13.07,23721.32,-0.57,01108.HK
2015-01-06,10.4646,14.1114,3.6468,0.01613036,-95.32,95.32,0.0,凯盛新能,6.18,23485.41,-0.99,01108.HK
2015-01-07,9.406,13.0096,3.6036,0.01707096,-95.91,95.91,0.0,凯盛新能,11.14,23681.26,0.83,01108.HK
2015-01-08,6.2125,9.9483,3.7358,0.01769221,-98.63,98.63,0.0,辽港股份,7.27,23835.53,0.65,02880.HK
2015-01-09,8.458300000000001,14.1146,5.6563,0.01853804,-96.98,96.98,0.0,中国生物制药,7.63,23919.95,0.35,01177.HK
2015-01-12,9.3783,13.1679,3.7896,0.01947587,-96.3,96.3,0.0,吉利汽车,4.3,24026.46,0.45,00175.HK
2015-01-13,6.4572,9.4119,2.9547000000000003,0.02012159,-98.74,98.74,0.0,白云山,18.76,24215.97,0.79,00874.HK
2015-01-14,7.481,10.2108,2.7298,0.02086969,-98.22,98.22,0.0,华电国际电力股份,6.51,24112.6,-0.43,01071.HK
2015-01-15,5.9814,8.1815,2.2001,0.02146783,-99.3,99.3,0.0,时代电气,5.66,24350.91,0.99,03898.HK
2015-01-16,10.4511,13.5599,3.1088,0.02251294,-95.31,95.31,0.0,白云山,7.59,24103.52,-1.02,00874.HK
2015-01-19,8.7133,13.2746,4.5613,0.02338427,-96.76,96.76,0.0,金山软件,2.02,23738.49,-1.51,03888.HK
2015-01-20,6.2791,9.6547,3.3756,0.02401218,-98.7,98.7,0.0,金山软件,8.17,23951.16,0.9,03888.HK
2015-01-21,9.9085,12.9585,3.05,0.02500303,-95.6,95.6,0.0,中国太平,8.26,24352.58,1.68,00966.HK
2015-01-22,5.4947,9.4371,3.9424,0.0255525,-99.53,99.53,0.0,华润啤酒,5.07,24522.63,0.7,00291.HK
2015-01-23,4.9983,9.0403,4.042,0.02605233,-99.79,99.79,0.0,华润啤酒,6.71,24850.45,1.34,00291.HK
2015-01-26,6.5131,9.9271,3.414,0.02670364,-98.47,98.47,0.0,金山软件,6.48,24909.9,0.24,03888.HK
2015-01-27,8.769400000000001,12.4856,3.7162,0.02758058,-96.09,96.09,0.0,永利澳门,8.42,24807.28,-0.41,01128.HK
