time,3月,6月,1年,3年,5年,7年,10年,30年,2年,10年-2年
2026-01-04,1.26,1.34,1.33,1.38,1.62,1.73,1.84,2.25,1.35,0.49
2026-01-05,1.25,1.32,1.36,1.41,1.64,1.75,1.86,2.28,1.38,0.48
2026-01-06,1.26,1.33,1.36,1.44,1.67,1.77,1.88,2.31,1.4,0.48
2026-01-07,1.26,1.32,1.36,1.48,1.67,1.78,1.9,2.33,1.44,0.46
2026-01-08,1.26,1.31,1.32,1.46,1.66,1.76,1.89,2.32,1.44,0.45
2026-01-09,1.28,1.32,1.29,1.46,1.66,1.76,1.88,2.3,1.44,0.44
2026-01-12,1.27,1.31,1.25,1.46,1.64,1.75,1.86,2.29,1.44,0.42
2026-01-13,1.27,1.32,1.26,1.46,1.64,1.75,1.85,2.29,1.44,0.41
2026-01-14,1.27,1.32,1.27,1.46,1.63,1.74,1.85,2.3,1.43,0.42
2026-01-15,1.29,1.3,1.26,1.45,1.63,1.74,1.85,2.31,1.42,0.43
2026-01-16,1.29,1.3,1.24,1.43,1.61,1.72,1.84,2.3,1.4,0.44
2026-01-19,1.32,1.32,1.29,1.43,1.61,1.72,1.84,2.34,1.41,0.43
2026-01-20,1.34,1.32,1.27,1.42,1.6,1.71,1.83,2.34,1.39,0.44
2026-01-21,1.35,1.33,1.29,1.42,1.6,1.7,1.83,2.3,1.4,0.43
2026-01-22,1.36,1.31,1.29,1.43,1.61,1.71,1.84,2.31,1.4,0.44
2026-01-23,1.35,1.31,1.28,1.42,1.6,1.69,1.83,2.29,1.4,0.43
2026-01-26,1.36,1.31,1.29,1.42,1.6,1.7,1.82,2.27,1.4,0.42
2026-01-27,1.36,1.32,1.3,1.42,1.6,1.7,1.83,2.29,1.41,0.42
2026-01-28,1.36,1.36,1.31,1.42,1.58,1.69,1.82,2.28,1.4,0.42
2026-01-29,1.36,1.35,1.3,1.41,1.58,1.69,1.82,2.28,1.39,0.43
2026-01-30,1.35,1.33,1.3,1.4,1.58,1.68,1.81,2.29,1.38,0.43
2026-02-02,1.35,1.32,1.31,1.4,1.58,1.69,1.82,2.28,1.39,0.43
2026-02-03,1.35,1.32,1.31,1.39,1.57,1.68,1.82,2.28,1.38,0.44
2026-02-04,1.35,1.32,1.31,1.39,1.57,1.69,1.82,2.28,1.38,0.44
2026-02-05,1.34,1.31,1.31,1.38,1.57,1.68,1.82,2.27,1.36,0.46
2026-02-06,1.34,1.33,1.32,1.38,1.56,1.67,1.81,2.25,1.36,0.45
2026-02-09,1.34,1.33,1.32,1.38,1.55,1.66,1.81,2.25,1.36,0.45
2026-02-10,1.34,1.32,1.32,1.38,1.55,1.66,1.81,2.25,1.36,0.45
2026-02-11,1.33,1.32,1.31,1.38,1.54,1.65,1.8,2.25,1.36,0.44
2026-02-12,1.33,1.31,1.32,1.38,1.54,1.64,1.79,2.25,1.36,0.43
2026-02-13,1.34,1.32,1.32,1.38,1.54,1.66,1.79,2.24,1.36,0.43
2026-02-14,1.34,1.32,1.31,1.37,1.54,1.65,1.79,2.25,1.35,0.44
2026-02-24,1.33,1.31,1.32,1.37,1.54,1.65,1.8,2.24,1.36,0.44
2026-02-25,1.33,1.31,1.32,1.38,1.55,1.66,1.82,2.26,1.36,0.46
2026-02-26,1.31,1.29,1.33,1.39,1.56,1.68,1.83,2.3,1.37,0.46
2026-02-27,1.3,1.29,1.32,1.38,1.55,1.68,1.79,2.29,1.36,0.43
2026-02-28,1.28,1.28,1.32,1.38,1.54,1.66,1.78,2.27,1.36,0.42
2026-03-02,1.29,1.28,1.31,1.37,1.54,1.66,1.78,2.27,1.36,0.42
2026-03-03,1.26,1.27,1.3,1.36,1.54,1.67,1.78,2.28,1.35,0.43
2026-03-04,1.25,1.26,1.29,1.36,1.53,1.65,1.78,2.28,1.33,0.45
2026-03-05,1.24,1.25,1.29,1.36,1.53,1.65,1.78,2.27,1.35,0.43
2026-03-06,1.23,1.26,1.29,1.36,1.53,1.66,1.78,2.28,1.34,0.44
2026-03-09,1.26,1.26,1.29,1.37,1.56,1.69,1.81,2.33,1.36,0.45
2026-03-10,1.25,1.25,1.28,1.38,1.56,1.69,1.81,2.33,1.36,0.45
2026-03-11,1.25,1.25,1.28,1.38,1.56,1.69,1.81,2.35,1.36,0.45
2026-03-12,1.24,1.24,1.26,1.38,1.55,1.68,1.81,2.34,1.36,0.45
2026-03-13,1.23,1.24,1.28,1.37,1.56,1.7,1.81,2.37,1.35,0.46
2026-03-16,1.24,1.25,1.28,1.38,1.58,1.71,1.83,2.39,1.36,0.47
2026-03-17,1.23,1.24,1.27,1.36,1.58,1.71,1.83,2.38,1.34,0.49
2026-03-18,1.21,1.22,1.26,1.35,1.56,1.69,1.82,2.36,1.32,0.5
2026-03-19,1.2,1.21,1.26,1.35,1.57,1.69,1.83,2.39,1.31,0.52
2026-03-20,1.2,1.2,1.26,1.35,1.56,1.7,1.83,2.39,1.31,0.52
2026-03-23,1.18,1.19,1.26,1.36,1.57,1.71,1.83,2.37,1.32,0.51
2026-03-24,1.18,1.18,1.26,1.35,1.58,1.71,1.83,2.35,1.31,0.52
2026-03-25,1.18,1.19,1.27,1.34,1.57,1.7,1.82,2.35,1.31,0.51
2026-03-26,1.18,1.16,1.26,1.34,1.56,1.7,1.82,2.35,1.3,0.52
2026-03-27,1.16,1.16,1.25,1.32,1.55,1.68,1.82,2.35,1.3,0.52
2026-03-30,1.12,1.12,1.21,1.29,1.53,1.67,1.81,2.33,1.27,0.54
2026-03-31,1.14,1.14,1.22,1.31,1.54,1.67,1.82,2.35,1.27,0.55
2026-04-01,1.15,1.15,1.23,1.33,1.55,1.69,1.82,2.37,1.29,0.53
2026-04-02,1.15,1.16,1.24,1.33,1.55,1.69,1.82,2.37,1.29,0.53
2026-04-03,1.15,1.16,1.24,1.33,1.55,1.68,1.82,2.37,1.3,0.52
2026-04-07,1.17,1.17,1.22,1.34,1.55,1.68,1.82,2.36,1.3,0.52
2026-04-08,1.18,1.18,1.21,1.36,1.55,1.68,1.81,2.34,1.32,0.49
2026-04-09,1.17,1.18,1.21,1.36,1.56,1.69,1.82,2.34,1.33,0.49
2026-04-10,1.17,1.18,1.21,1.36,1.55,1.68,1.81,2.31,1.33,0.48
2026-04-13,1.17,1.17,1.19,1.36,1.55,1.67,1.79,2.28,1.33,0.46
2026-04-14,1.18,1.18,1.19,1.35,1.55,1.66,1.78,2.28,1.32,0.46
2026-04-15,1.17,1.17,1.16,1.34,1.53,1.65,1.78,2.28,1.31,0.47
2026-04-16,1.17,1.17,1.16,1.34,1.52,1.65,1.78,2.28,1.31,0.47
2026-04-17,1.17,1.17,1.16,1.33,1.5,1.63,1.76,2.25,1.29,0.47
2026-04-20,1.17,1.17,1.16,1.33,1.5,1.63,1.76,2.26,1.29,0.47
2026-04-21,1.15,1.15,1.15,1.32,1.49,1.61,1.75,2.24,1.28,0.47
2026-04-22,1.14,1.14,1.15,1.3,1.48,1.61,1.74,2.21,1.26,0.48
2026-04-23,1.12,1.12,1.15,1.29,1.48,1.62,1.75,2.24,1.26,0.49
2026-04-24,1.11,1.12,1.14,1.28,1.48,1.63,1.76,2.25,1.24,0.52
2026-04-27,1.11,1.14,1.15,1.3,1.49,1.65,1.77,2.26,1.26,0.51
2026-04-28,1.11,1.11,1.15,1.3,1.49,1.64,1.77,2.24,1.26,0.51
2026-04-29,1.11,1.11,1.17,1.27,1.47,1.62,1.74,2.22,1.26,0.48
2026-04-30,1.08,1.1,1.16,1.28,1.48,1.63,1.75,2.22,1.26,0.49
2026-05-06,1.09,1.11,1.18,1.29,1.49,1.64,1.77,2.24,1.28,0.49
2026-05-07,1.1,1.1,1.18,1.29,1.49,1.64,1.76,2.24,1.27,0.49
2026-05-08,1.09,1.1,1.19,1.29,1.49,1.64,1.76,2.25,1.28,0.48
2026-05-09,1.1,1.1,1.19,1.3,1.49,1.64,1.77,2.25,1.28,0.49
2026-05-11,1.11,1.11,1.19,1.29,1.48,1.64,1.76,2.24,1.28,0.48
2026-05-12,1.1,1.11,1.19,1.29,1.48,1.63,1.76,2.23,1.28,0.48
2026-05-13,1.1,1.12,1.21,1.29,1.47,1.63,1.75,2.23,1.27,0.48
2026-05-14,1.09,1.14,1.21,1.3,1.47,1.63,1.76,2.24,1.27,0.49
2026-05-15,1.09,1.14,1.21,1.29,1.47,1.62,1.77,2.25,1.27,0.5
2026-05-18,1.1,1.13,1.2,1.29,1.46,1.61,1.76,2.24,1.27,0.49
2026-05-19,1.1,1.13,1.19,1.29,1.44,1.6,1.73,2.22,1.26,0.47
2026-05-20,1.1,1.13,1.18,1.29,1.44,1.59,1.74,2.23,1.26,0.48
2026-05-21,1.09,1.12,1.18,1.29,1.44,1.6,1.74,2.23,1.26,0.48
2026-05-22,1.09,1.12,1.18,1.3,1.46,1.61,1.75,2.23,1.26,0.49
2026-05-25,1.11,1.14,1.18,1.3,1.46,1.6,1.75,2.23,1.26,0.49
2026-05-26,1.09,1.14,1.17,1.3,1.45,1.6,1.74,2.22,1.25,0.49
2026-05-27,1.09,1.13,1.17,1.28,1.44,1.58,1.72,2.21,1.24,0.48
