time,社会融资规模增量,其中-人民币贷款,其中-委托贷款外币贷款,其中-委托贷款,其中-信托贷款,其中-未贴现银行承兑汇票,其中-企业债券,其中-非金融企业境内股票融资,环比增速,同比增速
201501,20516,14708.0,212.0,832.0,52.0,1946.0,1868.0,526.0,,
201502,13609,11437.0,-146.0,1299.0,38.0,-592.0,716.0,542.0,-0.3366640670696041,
201503,12433,9920.0,-4.0,1111.0,-77.0,-910.0,1344.0,639.0,-0.0864134028951428,
201504,10582,8045.0,-265.0,344.0,-46.0,-74.0,1616.0,597.0,-0.1488779860049867,
201505,12397,8510.0,81.0,324.0,-195.0,961.0,1710.0,584.0,0.1715176715176716,
201506,18384,13240.0,560.0,1414.0,536.0,-1028.0,2132.0,1051.0,0.4829394208276196,
201507,7511,5890.0,-133.0,1137.0,99.0,-3317.0,2832.0,615.0,-0.5914382071366406,
201508,11097,7756.0,-620.0,1198.0,317.0,-1577.0,3121.0,479.0,0.4774330981227532,
201509,13571,10417.0,-2344.0,2422.0,-159.0,-1279.0,3805.0,349.0,0.2229431377849868,
201510,5593,5574.0,-1317.0,1390.0,-201.0,-3697.0,3331.0,121.0,-0.5878711959325031,
201511,10255,8873.0,-1142.0,910.0,-301.0,-2545.0,3378.0,568.0,0.8335419274092615,
201512,18114,8323.0,-1308.0,3530.0,370.0,1546.0,3535.0,1518.0,0.7663578742077035,
201601,34758,25370.0,-1727.0,2175.0,552.0,1327.0,5083.0,1469.0,0.918847300430606,0.6941899005654124
201602,8312,8105.0,-569.0,1650.0,308.0,-3705.0,1386.0,810.0,-0.7608608090223834,-0.3892277169520171
201603,23931,13176.0,6.0,1660.0,732.0,173.0,7081.0,562.0,1.879090471607315,0.9247969114453471
201604,7809,5642.0,-706.0,1694.0,269.0,-2776.0,2366.0,951.0,-0.673686849692867,-0.262048762048762
201605,6770,9374.0,-524.0,1566.0,121.0,-5067.0,-250.0,1073.0,-0.1330516071199897,-0.4539001371299508
201606,16479,13141.0,-267.0,1721.0,809.0,-2720.0,-250.0,1158.0,1.4341211225997044,-0.1036227154046997
201607,4791,4550.0,-401.0,1775.0,210.0,-5118.0,2208.0,1135.0,-0.7092663389768796,-0.3621355345493277
201608,14605,7969.0,70.0,1432.0,736.0,-376.0,3236.0,1075.0,2.0484241285744105,0.3161214742723259
201609,17115,12628.0,-487.0,1451.0,1057.0,-2230.0,2872.0,1368.0,0.1718589524135569,0.2611450887922777
201610,8865,6010.0,-335.0,725.0,530.0,-1801.0,2192.0,1125.0,-0.4820333041191936,0.5850169855176113
201611,18328,8463.0,-310.0,1994.0,1625.0,1171.0,3859.0,861.0,1.0674562887760857,0.7872257435397367
201612,16397,9943.0,-389.0,4011.0,1643.0,1606.0,-2016.0,828.0,-0.1053579223046704,-0.094788561333775
201701,36970,23133.0,126.0,3136.0,3175.0,6130.0,-510.0,1225.0,1.2546807342806612,0.0636400253179123
201702,10908,10317.0,368.0,1172.0,1062.0,-1719.0,-1125.0,570.0,-0.704949959426562,0.3123195380173242
201703,21186,11586.0,288.0,2039.0,3113.0,2390.0,129.0,800.0,0.9422442244224424,-0.114704776231666
201704,13880,10806.0,-283.0,-48.0,1473.0,345.0,501.0,769.0,-0.3448503728877561,0.7774362914585735
201705,10631,11780.0,-99.0,-278.0,1812.0,-1245.0,-2488.0,458.0,-0.2340778097982708,0.5703101920236338
201706,17718,14474.0,73.0,-32.0,2481.0,-230.0,-169.0,487.0,0.6666353118239112,0.0751866011287092
201707,11956,9152.0,-213.0,163.0,1232.0,-2037.0,2621.0,536.0,-0.3252060051924597,1.4955124191191818
201708,14895,11466.0,-332.0,-82.0,1143.0,242.0,1137.0,653.0,0.24581799933088,0.0198562136254707
201709,18335,11885.0,-232.0,775.0,2368.0,784.0,1654.0,519.0,0.2309499832158441,0.0712825007303534
201710,10357,6635.0,-44.0,43.0,1019.0,12.0,1482.0,601.0,-0.4351240796291246,0.1683023124647489
201711,16128,11428.0,198.0,280.0,1434.0,15.0,853.0,1324.0,0.55720768562325,-0.1200349192492361
201712,11481,5769.0,169.0,601.0,2245.0,676.0,337.0,817.0,-0.2881324404761904,-0.2998109410257974
201801,30793,26850.0,266.0,-714.0,455.0,1437.0,1222.0,500.0,1.6820834422088669,-0.1670814173654314
201802,11894,10199.0,86.0,-750.0,660.0,106.0,644.0,379.0,-0.6137433832364498,0.0903923725705904
201803,15848,11425.0,139.0,-1850.0,-357.0,-323.0,3536.0,404.0,0.3324365226164452,-0.2519588407438875
201804,17761,10987.0,-26.0,-1481.0,-94.0,1454.0,4047.0,533.0,0.1207092377587077,0.2796109510086455
201805,9518,11396.0,-228.0,-1570.0,-904.0,-1741.0,-382.0,438.0,-0.4641067507460166,-0.1046938199604928
201806,14877,16787.0,-364.0,-1642.0,-1623.0,-3649.0,1349.0,258.0,0.5630384534566086,-0.1603454114459871
201807,12254,12861.0,-773.0,-950.0,-1192.0,-2744.0,2195.0,175.0,-0.1763124285810311,0.0249247239879557
201808,19391,13140.0,-344.0,-1207.0,-688.0,-779.0,3402.0,141.0,0.5824220662640771,0.3018462571332663
201809,21691,14341.0,-670.0,-1432.0,-909.0,-548.0,382.0,272.0,0.1186117270898869,0.1830379056449413
201810,7420,7141.0,-800.0,-949.0,-1273.0,-453.0,1476.0,176.0,-0.6579226407265686,-0.2835763251906923
201811,15239,12302.0,-787.0,-1310.0,-467.0,-127.0,3127.0,200.0,1.0537735849056604,-0.0551215277777777
201812,15898,9281.0,-702.0,-2210.0,-509.0,1023.0,3757.0,130.0,0.0432443073692498,0.3847225851406672
201901,46791,35668.0,343.0,-699.0,345.0,3787.0,4829.0,289.0,1.9432004025663607,0.5195336602474587
201902,9665,7641.0,-105.0,-508.0,-37.0,-3103.0,875.0,119.0,-0.793443183518198,-0.1874054144947031
201903,29602,19584.0,3.0,-1070.0,528.0,1365.0,3546.0,122.0,2.0628039317123643,0.8678697627460878
201904,16710,8733.0,-330.0,-1197.0,129.0,-357.0,3949.0,262.0,-0.4355111141139112,-0.0591745960249986
201905,17124,11855.0,191.0,-631.0,-52.0,-768.0,1033.0,259.0,0.0247755834829443,0.7991174616516075
201906,26243,16737.0,-4.0,-827.0,15.0,-1311.0,1439.0,153.0,0.5325274468582106,0.7639981179001143
201907,12872,8086.0,-221.0,-987.0,-676.0,-4562.0,2944.0,593.0,-0.509507297184011,0.050432511832871
201908,21956,13045.0,-247.0,-513.0,-658.0,157.0,3384.0,256.0,0.7057178371659416,0.132277860863287
201909,25142,17612.0,-440.0,-22.0,-672.0,-431.0,2431.0,289.0,0.1451083986154127,0.1590982435111336
201910,8680,5470.0,-10.0,-667.0,-624.0,-1053.0,2032.0,180.0,-0.6547609577599236,0.1698113207547169
201911,19937,13633.0,-249.0,-959.0,-673.0,570.0,3330.0,524.0,1.2968894009216592,0.3082879454032416
201912,22013,10770.0,-205.0,-1316.0,-1092.0,951.0,3593.0,432.0,0.1041280032101119,0.3846395773053215
202001,50535,34924.0,513.0,-26.0,432.0,1403.0,3967.0,609.0,1.2956889110979877,0.0800153875745335
202002,8737,7202.0,252.0,-356.0,-540.0,-3961.0,3894.0,449.0,-0.8271099238151776,-0.0960165545783755
202003,51838,30390.0,1145.0,-588.0,-21.0,2818.0,9931.0,198.0,4.933157834496967,0.751165461793122
202004,31027,16239.0,910.0,-579.0,23.0,577.0,9237.0,315.0,-0.4014622477719047,0.8567923399162178
202005,31866,15502.0,457.0,-273.0,-337.0,836.0,2879.0,353.0,0.0270409643213975,0.860896986685354
202006,34681,19029.0,204.0,-484.0,-852.0,2190.0,3686.0,538.0,0.0883386681729743,0.321533361277293
202007,16928,10221.0,-524.0,-152.0,-1367.0,-1130.0,2358.0,1215.0,-0.5118941207000951,0.315102548166563
202008,35853,14201.0,397.0,-415.0,-316.0,1441.0,3659.0,1282.0,1.1179702268431,0.6329477136090362
202009,34693,19171.0,-302.0,-317.0,-1159.0,1503.0,1316.0,1141.0,-0.0323543357599085,0.3798822687137062
